taxid	ppi_count_after
10256	18104
10266	7652
10271	15833
10273	19001
10276	10728
10317	14444
10320	84
10326	13775
10331	12010
10334	11286
10345	14357
10353	13927
10366	16322
10371	13539
10381	11591
10385	11356
10397	15552
10398	11488
10406	770
10497	10336
10537	2739
10561	1643
10564	1203
10565	1588
10567	1605
10570	2076
10623	2104
10986	765
10987	738
10989	629
10990	509
10991	1215
10995	209
11002	175
11023	1382
11024	1864
11240	1450
11241	1406
11246	1617
11263	1310
11307	809
11318	2212
11636	1142
11657	672
11660	730
11665	615
11673	883
11746	973
11757	972
11768	743
11786	1223
11809	1270
11840	691
11855	848
11856	749
11864	746
11901	1421
11970	1011
11976	160
11978	143
12064	440
12643	37730
12657	14629
12804	700
28295	680
28304	16176
28871	18611
28873	18460
28874	18952
33706	13341
33708	13574
33724	424
33756	159
35243	13655
35244	560
35246	9067
35252	12175
35258	2123
35269	838
35279	106
36370	659
38170	2139
38525	1589
38804	17875
39637	13940
39720	985
40004	105
40012	133
40050	918
40051	948
40053	2098
40054	926
40056	1057
40060	1059
40061	971
40062	887
40065	1491
40067	1507
40537	1538
42475	392
44158	1204
45455	17250
47000	172
47418	7543
47929	20886
48543	1967
48544	870
48981	96
50292	22157
53182	73
55744	12880
55987	636
56094	1303
56144	1630
57747	1423
59302	2057
59304	1433
59380	752
59509	8119
59816	177
60879	967
62352	861
64280	157
64283	175
64284	136
64288	253
64291	220
64294	175
64296	118
64297	145
64299	140
64300	51
64307	174
64309	120
64310	150
64311	236
64312	128
64319	232
64894	104
70796	165
74501	284
75888	592
77698	327
79891	11238
80341	13798
82676	1565
84589	324
85708	94
104395	54
104580	773
104581	1241
106331	12639
106966	222
109270	2157
114424	2322
118140	144
122291	1954
129728	15659
129950	3061
129952	860
129953	3378
129954	2669
129955	2532
129956	2865
130327	1426
130499	1705
133704	113
137443	15023
138184	13151
144752	327
152177	978
154334	16255
170325	7584
181667	2125
183405	946
183407	524
185782	1748
185954	580
186805	7634
188763	22129
194965	353
195059	931
195060	898
201490	998
202910	11435
205895	458
205896	624
205899	403
205908	728
205910	573
207343	1095
209854	908
219584	828
226613	1061
237020	331
240426	16412
242710	3238
246280	977
273810	1029
279896	1326
306276	1599
310907	412
311228	832
311229	1272
312185	378
329862	307
332097	1558
333919	1896
334212	1854
335100	943
337052	1881
338781	819
340907	15035
341721	393
348823	1324
356862	943
365327	9384
369960	1643
381543	1113
390157	134
394239	865
405554	304
488317	884
519014	1661
519497	507
574549	1056
686984	169
686985	132
691956	118
693066	153
693997	1172
693998	751
693999	834
694000	695
694001	803
694005	900
694006	970
694007	825
694008	1068
694014	790
694015	1271
696863	1021
698672	1005
745716	816
948741	781
1002359	1007
1002360	1013
1094373	1047
1146873	2451
1155188	164
1157337	647
1159195	847
1159902	973
1159904	811
1159907	644
1159908	966
1170234	62
1231903	582
1239437	308
1239438	291
1239439	302
1239566	388
1239567	6
1239569	317
1239574	397
1239577	349
1244203	920
1256869	996
1297661	666
1298633	183
1300113	914
1308859	923
1330066	112
1330068	293
1330520	187
1330521	232
1431460	109
1481452	135
1511084	721
1511772	103
1511776	157
1511779	296
1511781	143
1511783	192
1511803	206
1511805	461
1548713	590
1548720	449
1548722	579
1603962	144
1637496	672
1658615	489
1659771	327
1678144	413
1678145	959
1678146	385
1678147	206
1679172	1318
1755588	99
1755590	244
1821751	159
1881950	723
1884453	831
1884878	580
1891729	1171
1891730	1464
1891754	1128
1891770	1008
1897731	177
1913642	803
1913643	869
1914568	92
1914574	91
1914575	96
1914576	91
1933178	434
1933181	437
1933185	726
1933263	422
1965074	285
1965089	659
1965093	1139
1972564	1118
1972565	829
1972566	1091
1972567	1016
1972569	978
1972570	1109
1972571	806
1972574	1781
1972580	735
1972581	812
1972584	811
1972586	970
1972587	1194
1972588	948
1972589	892
1972592	780
1972593	1125
1972594	900
1972595	1143
1972596	1277
1972597	1345
1972612	912
1972613	1076
1972614	847
1972615	1149
