taxid	ppi_count_before
10256	115712.0
10266	57255.0
10271	95275.0
10273	110499.0
10276	71518.0
10317	71537.0
10320	493.0
10326	70695.0
10331	61790.0
10334	59831.0
10345	70264.0
10353	68167.0
10366	90210.0
10371	73312.0
10381	61343.0
10385	59137.0
10397	81746.0
10398	62021.0
10406	8492.0
10497	65442.0
10537	16258.0
10561	10317.0
10564	8160.0
10565	10352.0
10567	10815.0
10570	13308.0
10623	12335.0
10986	5271.0
10987	4471.0
10989	4431.0
10990	4170.0
10991	7039.0
10995	1097.0
11002	975.0
11023	8805.0
11024	12003.0
11240	9740.0
11241	9195.0
11246	12533.0
11263	9365.0
11307	4289.0
11318	10764.0
11636	7066.0
11657	3047.0
11660	8366.0
11665	3213.0
11673	5171.0
11746	5069.0
11757	4653.0
11768	4614.0
11786	7592.0
11809	8168.0
11840	4259.0
11855	4191.0
11856	3634.0
11864	4100.0
11901	7391.0
11970	6130.0
11976	860.0
11978	1094.0
12064	2357.0
12643	234570.0
12657	76596.0
12804	3721.0
28295	3529.0
28304	89362.0
28871	116498.0
28873	115703.0
28874	118110.0
33706	73159.0
33708	70118.0
33724	3508.0
33756	819.0
35243	66761.0
35244	2927.0
35246	49731.0
35252	63723.0
35258	13069.0
35269	7380.0
35279	584.0
36370	3258.0
38170	11807.0
38525	9647.0
38804	124995.0
39637	70974.0
39720	5560.0
40004	636.0
40012	712.0
40050	5349.0
40051	5324.0
40053	12165.0
40054	5390.0
40056	5828.0
40060	6025.0
40061	5687.0
40062	5140.0
40065	7423.0
40067	7602.0
40537	9946.0
42475	3500.0
44158	6232.0
45455	91005.0
47000	878.0
47418	43361.0
47929	115056.0
48543	12387.0
48544	5362.0
48981	685.0
50292	120424.0
53182	481.0
55744	66116.0
55987	3917.0
56094	7104.0
56144	10368.0
57747	7281.0
59302	11537.0
59304	8559.0
59380	4264.0
59509	60374.0
59816	1007.0
60879	5845.0
62352	5635.0
64280	818.0
64283	853.0
64284	707.0
64288	1348.0
64291	1062.0
64294	911.0
64296	693.0
64297	762.0
64299	725.0
64300	449.0
64307	833.0
64309	665.0
64310	777.0
64311	1126.0
64312	707.0
64319	1085.0
64894	625.0
70796	915.0
74501	2230.0
75888	4348.0
77698	3267.0
79891	56094.0
80341	68880.0
82676	9557.0
84589	1756.0
85708	679.0
104395	568.0
104580	5395.0
104581	6621.0
106331	67277.0
106966	1113.0
109270	11022.0
114424	14442.0
118140	738.0
122291	12505.0
129728	83733.0
129950	16479.0
129952	5143.0
129953	19066.0
129954	16027.0
129955	15367.0
129956	14941.0
130327	10116.0
130499	11519.0
133704	766.0
137443	77876.0
138184	70040.0
144752	1882.0
152177	5266.0
154334	84689.0
170325	44690.0
181667	12844.0
183405	6130.0
183407	4201.0
185782	8791.0
185954	4671.0
186805	57534.0
188763	114604.0
194965	1590.0
195059	4752.0
195060	4726.0
201490	5583.0
202910	56636.0
205895	3820.0
205896	4340.0
205899	3198.0
205908	5029.0
205910	4528.0
207343	5653.0
209854	5278.0
219584	4799.0
226613	6044.0
237020	2554.0
240426	89567.0
242710	17538.0
246280	5851.0
273810	6276.0
279896	6725.0
306276	8542.0
310907	2060.0
311228	5295.0
311229	7380.0
312185	1864.0
329862	2217.0
332097	9358.0
333919	11881.0
334212	11758.0
335100	6855.0
337052	12655.0
338781	5647.0
340907	74004.0
341721	3277.0
348823	6407.0
356862	5440.0
365327	47892.0
369960	10712.0
381543	5614.0
390157	608.0
394239	5318.0
405554	1922.0
488317	4680.0
519014	8598.0
519497	3960.0
574549	5427.0
686984	768.0
686985	643.0
691956	568.0
693066	714.0
693997	7802.0
693998	3981.0
693999	4843.0
694000	3660.0
694001	4311.0
