taxid	ppi_count_before
10243	239205.0
10244	215075.0
10245	127311.0
10255	201512.0
10258	175860.0
10279	187371.0
10298	82127.0
10310	80273.0
10325	76240.0
10335	57355.0
10359	111847.0
10368	51793.0
10372	43427.0
10376	81022.0
10407	56377.0
10566	14211.0
11020	8912.0
11021	8971.0
11029	9507.0
11033	7328.0
11034	9238.0
11036	9240.0
11039	9126.0
11041	1502.0
11072	1106.0
11079	1144.0
11080	1183.0
11082	1153.0
11083	1245.0
11084	1596.0
11085	796.0
11086	785.0
11089	1023.0
11137	7346.0
11216	6500.0
11234	10734.0
11250	14174.0
11292	33892.0
11320	29207.0
11520	19264.0
11552	4337.0
11569	11065.0
11642	5545.0
11676	117654.0
11709	38973.0
11723	37407.0
11827	615.0
11983	5179.0
12066	1613.0
12092	7123.0
12110	4273.0
12455	3543.0
12475	1578.0
12538	17337.0
12542	800.0
12637	1241.0
12721	24670.0
12730	6323.0
28300	8033.0
28875	82091.0
28876	10065.0
33743	1036.0
33758	1285.0
35612	1864.0
36427	10964.0
37124	12030.0
37296	96869.0
38766	18092.0
38767	28126.0
38837	796.0
40052	10977.0
40057	13658.0
40058	13871.0
40059	13087.0
44024	1152.0
44025	1139.0
44026	811.0
45617	615.0
46221	833.0
46839	7625.0
57282	3817.0
57482	13876.0
57483	15272.0
59300	12167.0
59301	11130.0
59305	10897.0
59563	1068.0
60875	9502.0
60876	9397.0
60877	9052.0
64285	1414.0
64290	1073.0
64292	981.0
64293	1003.0
64295	861.0
64303	1080.0
64305	1181.0
64320	1626.0
67605	368.0
68887	715.0
72149	1675.0
72197	5612.0
77763	7972.0
90961	29936.0
93678	587.0
93830	9205.0
95342	3096.0
99000	132333.0
99182	2530.0
108098	44026.0
118027	14806.0
129726	167865.0
129727	174465.0
129875	39181.0
129951	47322.0
130308	49228.0
130309	34381.0
130310	43736.0
136966	1796.0
138948	3561.0
138949	2535.0
138950	2512.0
138951	2391.0
145856	988.0
147711	2199.0
147712	2183.0
162145	10841.0
164416	884.0
169066	1047.0
186538	8203.0
186539	8702.0
186540	8551.0
186541	8474.0
192971	12967.0
194440	9102.0
194441	12092.0
194443	11707.0
204269	15443.0
211977	31053.0
237716	31917.0
249583	28828.0
249584	15460.0
272636	15345.0
277944	6666.0
290028	5357.0
291484	3205.0
318279	6846.0
329641	3284.0
333754	40291.0
333757	25810.0
333766	26697.0
333767	29920.0
333924	26247.0
333926	24430.0
333928	23775.0
333929	20988.0
333930	22700.0
333931	22198.0
334203	29525.0
334204	25829.0
334205	22331.0
334207	24167.0
334208	25010.0
334209	22487.0
337039	27505.0
337041	33842.0
337042	31466.0
337043	26278.0
337044	25991.0
337048	30384.0
337049	24933.0
337050	27179.0
337051	25354.0
338079	5662.0
338478	5727.0
351073	6368.0
393049	1422.0
432261	1131.0
463676	2105.0
565995	10311.0
642022	13764.0
645161	4885.0
652810	14211.0
682382	1962.0
683172	1719.0
683174	1915.0
687347	2440.0
687350	782.0
687351	2254.0
687355	744.0
687366	3176.0
687367	2650.0
688436	9489.0
694003	6574.0
694009	14279.0
694448	426.0
742919	352.0
746543	20201.0
749224	409.0
931244	23868.0
1072176	31658.0
1146877	18786.0
1167696	7324.0
1172985	4148.0
1175848	9534.0
1175849	12118.0
1175850	12275.0
1175851	11743.0
1175852	12055.0
1193974	1753.0
1208309	6511.0
1231709	6648.0
1233383	656.0
1239565	2994.0
1239570	3379.0
1239572	3805.0
1239573	3903.0
1247113	1885.0
1247114	1696.0
1303334	8171.0
1330491	1384.0
1330524	2316.0
1335626	11221.0
1341019	1400.0
1348384	7640.0
1391667	2523.0
1407638	1246.0
1440170	9561.0
1455626	398.0
1459003	6362.0
1511891	19316.0
1511892	8445.0
1513256	11101.0
1513257	12841.0
1513258	11121.0
1513259	11007.0
1513260	12000.0
1513261	11225.0
1513262	11762.0
1513263	11840.0
1513264	10936.0
1513265	11697.0
1518574	2061.0
1525173	1036.0
1547495	904.0
1572667	425.0
1582094	690.0
1595998	517.0
1609138	1707.0
1647924	12233.0
1678143	6375.0
1714619	4492.0
1780507	62850.0
1803956	1008.0
1803957	1742.0
1803958	497.0
1805494	881.0
1820160	483.0
1821749	1630.0
1821750	1240.0
1848960	4011.0
1851215	11020.0
1851219	12021.0
1862824	1516.0
1868658	2061.0
1883111	3521.0
1891726	7862.0
1891727	10040.0
1891728	7974.0
1891745	8444.0
1891762	23840.0
1891763	22282.0
1891764	5226.0
1891765	4978.0
1891767	22788.0
1897087	7231.0
1904876	465.0
1904885	23579.0
1906670	1077.0
1907210	31283.0
1914415	548.0
1930509	441.0
1933180	5121.0
1933189	6991.0
1933190	3941.0
1933191	7352.0
1938392	5495.0
1954248	451.0
1955166	1853.0
1960046	984.0
1961678	10131.0
1961679	10817.0
1961680	10655.0
1961681	12056.0
1961682	11093.0
1961683	10507.0
1961783	14310.0
1962300	20397.0
1965018	407.0
1972568	5375.0
1972572	10022.0
1972573	11079.0
1972575	9680.0
1972576	10788.0
1972577	9214.0
1972578	10895.0
1972579	8937.0
1980456	12437.0
1983771	362.0
1983780	456.0
1986022	21850.0
1987017	5302.0
1987018	11516.0
1987019	12901.0
2003649	2396.0
2003650	1310.0
2003651	1266.0
2003652	1348.0
2015370	17953.0
2017080	904.0
2017081	954.0
2017082	337.0
2017083	485.0
2021738	749.0
2025360	105159.0
2025396	1925.0
2030127	2749.0
2049444	11198.0
