	Mollentze's study	Brierley's study	ViralZone	HVD	Virus-Host DB	VIRION
10243	1.0	0.0	1.0	0.0	0.0	0.0
10244	1.0	0.0	0.0	0.0	0.0	0.0
10245	0.0	0.0	0.0	0.0	1.0	0.0
10255	1.0	0.0	0.0	0.0	0.0	0.0
10258	1.0	0.0	0.0	0.0	0.0	0.0
10261	0.0	0.0	0.0	1.0	0.0	0.0
10271	0.0	0.0	0.0	1.0	0.0	0.0
10273	0.0	0.0	0.0	1.0	0.0	0.0
10279	1.0	0.0	0.0	0.0	0.0	0.0
10298	1.0	0.0	0.0	0.0	0.0	0.0
10310	1.0	0.0	0.0	0.0	0.0	0.0
10325	1.0	0.0	0.0	0.0	0.0	0.0
10335	1.0	0.0	0.0	0.0	0.0	0.0
10359	1.0	0.0	0.0	0.0	0.0	0.0
10368	0.0	0.0	0.0	1.0	0.0	0.0
10372	1.0	0.0	0.0	0.0	0.0	0.0
10376	1.0	0.0	0.0	0.0	0.0	0.0
10407	1.0	0.0	0.0	0.0	0.0	0.0
10484	0.0	0.0	0.0	1.0	0.0	0.0
10493	0.0	0.0	0.0	1.0	0.0	0.0
10535	0.0	0.0	0.0	1.0	0.0	0.0
10566	0.0	0.0	0.0	0.0	1.0	0.0
10570	0.0	0.0	0.0	1.0	0.0	0.0
10970	0.0	0.0	0.0	1.0	0.0	0.0
11020	1.0	1.0	1.0	0.0	0.0	0.0
11021	1.0	1.0	0.0	0.0	0.0	0.0
11029	1.0	1.0	0.0	0.0	0.0	0.0
11033	1.0	1.0	0.0	0.0	0.0	0.0
11034	1.0	1.0	0.0	0.0	0.0	0.0
11036	1.0	1.0	0.0	0.0	0.0	0.0
11039	1.0	1.0	0.0	0.0	0.0	0.0
11041	1.0	0.0	0.0	0.0	0.0	0.0
11072	1.0	0.0	0.0	0.0	0.0	0.0
11079	1.0	0.0	0.0	0.0	0.0	0.0
11080	1.0	0.0	0.0	0.0	0.0	0.0
11082	1.0	0.0	0.0	0.0	0.0	0.0
11083	1.0	0.0	0.0	0.0	0.0	0.0
11084	1.0	0.0	0.0	0.0	0.0	0.0
11085	1.0	0.0	0.0	0.0	0.0	0.0
11086	1.0	0.0	0.0	0.0	0.0	0.0
11089	1.0	0.0	0.0	0.0	0.0	0.0
11137	1.0	1.0	0.0	0.0	0.0	0.0
11216	1.0	0.0	0.0	0.0	0.0	0.0
11234	1.0	0.0	0.0	0.0	0.0	0.0
11250	1.0	0.0	0.0	0.0	0.0	0.0
11292	1.0	1.0	0.0	0.0	0.0	0.0
11320	1.0	0.0	0.0	0.0	0.0	0.0
11520	1.0	0.0	0.0	0.0	0.0	0.0
11552	1.0	0.0	0.0	0.0	0.0	0.0
11569	1.0	1.0	0.0	0.0	0.0	0.0
11642	0.0	1.0	0.0	0.0	0.0	0.0
11665	0.0	0.0	0.0	1.0	0.0	0.0
11676	1.0	1.0	0.0	0.0	0.0	0.0
11709	1.0	1.0	0.0	0.0	0.0	0.0
11723	1.0	1.0	0.0	0.0	0.0	0.0
11827	0.0	0.0	0.0	0.0	0.0	1.0
11901	0.0	0.0	0.0	1.0	0.0	0.0
11983	1.0	1.0	0.0	0.0	1.0	0.0
12066	0.0	0.0	0.0	1.0	0.0	0.0
12092	1.0	1.0	0.0	0.0	0.0	0.0
12110	1.0	1.0	0.0	0.0	0.0	0.0
12286	0.0	0.0	0.0	1.0	0.0	0.0
12455	0.0	0.0	0.0	1.0	0.0	0.0
12475	0.0	1.0	0.0	0.0	0.0	0.0
12480	0.0	0.0	0.0	1.0	0.0	0.0
12538	1.0	1.0	0.0	0.0	0.0	0.0
12542	1.0	0.0	0.0	0.0	0.0	0.0
12637	1.0	0.0	0.0	0.0	0.0	0.0
12721	0.0	0.0	0.0	0.0	1.0	0.0
12730	1.0	0.0	0.0	0.0	0.0	0.0
28300	0.0	0.0	0.0	1.0	0.0	0.0
28871	0.0	0.0	0.0	1.0	0.0	0.0
28873	0.0	0.0	0.0	1.0	0.0	0.0
28875	1.0	1.0	0.0	0.0	0.0	0.0
28876	1.0	1.0	0.0	0.0	0.0	0.0
33743	1.0	0.0	0.0	0.0	0.0	0.0
33758	0.0	0.0	0.0	1.0	0.0	0.0
35269	0.0	0.0	0.0	1.0	0.0	0.0
35612	1.0	1.0	0.0	0.0	0.0	0.0
36427	1.0	1.0	0.0	0.0	0.0	0.0
37124	1.0	1.0	0.0	0.0	1.0	0.0
37140	0.0	0.0	0.0	1.0	0.0	0.0
37296	1.0	0.0	0.0	0.0	0.0	0.0
37741	0.0	0.0	0.0	1.0	0.0	0.0
38016	0.0	0.0	0.0	0.0	0.0	1.0
38766	1.0	0.0	0.0	0.0	0.0	0.0
38767	1.0	1.0	0.0	0.0	0.0	0.0
38837	1.0	0.0	0.0	0.0	0.0	0.0
40052	1.0	0.0	0.0	0.0	0.0	0.0
40057	1.0	1.0	0.0	0.0	0.0	0.0
