vtaxid,Genome Type,Virulence,Transmissibility,Tissue Tropism,Transmission Route,virulence
1032690,ssRNA(+/-),low level,no human-to-human,gastrointestinal,faecal-oral,low level
1032691,ssRNA(+/-),low level,no human-to-human,gastrointestinal,faecal-oral,low level
104580,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
106966,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1074213,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1076281,ssRNA(-),high level,no human-to-human,viraemic,respiratory,low level
1076282,ssRNA(-),high level,no human-to-human,viraemic,respiratory,low level
1076283,ssRNA(-),high level,no human-to-human,viraemic,respiratory,low level
1076284,ssRNA(-),high level,no human-to-human,viraemic,respiratory,low level
1076285,ssRNA(-),high level,no human-to-human,viraemic,respiratory,low level
1095764,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
10970,dsRNA,high level,sustained human-to-human,viraemic,direct contact,low level
1105379,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1112700,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1141625,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1156749,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
11665,ssRNA-RT,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1181292,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1186059,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
11901,ssRNA-RT,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1194163,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1194164,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1203029,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1221646,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222038,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222039,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222040,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222041,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222042,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222043,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222044,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222045,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222046,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222047,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222048,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222049,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222050,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1222051,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
12286,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1239438,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1239439,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1239567,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1239568,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1239569,ssRNA(+),low level,no human-to-human,gastrointestinal,faecal-oral,low level
1244521,ssRNA(-),high level,no human-to-human,viraemic,respiratory,low level
1244522,ssRNA(-),high level,no human-to-human,viraemic,respiratory,high level
1244525,ssRNA(-),high level,no human-to-human,viraemic,respiratory,low level
1254425,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1285463,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1293419,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1293420,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1312874,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1329782,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1330066,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1330068,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1330521,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1330993,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1402035,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1408279,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1417603,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1417604,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1417605,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1417606,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1417607,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1417608,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1417609,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1417610,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
