feature,shap_importance,gene
Q9Y2J4,0.007798823605747,51421
Q9H2K0,0.0073266233883439,219402
Q5TEC6,0.0072202356094838,440686
Q13151,0.0071968668435709,10949
Q9BWG6,0.0069817423423464,100534012
Q14204,0.0069172565825692,1778
Q5TCX8,0.0062140910545101,84451
Q96BQ5,0.0061774728474099,133957
Q12837,0.0060825262360504,5458
Q9Y605,0.0060622279515384,93621
P32242,0.0060568609545479,5013
Q96EP5,0.0057501888976529,26528
Q96S53,0.0057289212971764,10420
Q9P2G9,0.0056416238195768,57563
Q9BYD3,0.005429054157806,51073
O15127,0.0054077246096992,10066
Q7Z2W4,0.005329197531037,56829
P33151,0.0053148910653501,1003
O15524,0.0052740557474234,8651
Q99848,0.0049328000522266,10969
Q93074,0.004886757925708,9968
P60228,0.0048638925493316,3646
Q9UM73,0.0046788756422672,238
Q14254,0.0046155118094443,2319
Q8TED0,0.0045067404045936,84135
Q15008,0.0044758033196595,9861
Q9HBM6,0.0044073702576974,51616
O15534,0.004330832608123,5187
Q15061,0.0042418047277041,23160
O43678,0.0041779221760486,4695
O60496,0.0041633977706168,9046
Q02878,0.0041602934252046,6128
O14519,0.0041283777454831,8099
O75521,0.0040559488223124,10455
O15151,0.0039673051250656,4194
P17655,0.0039525314648801,824
Q32NC0,0.003828567918962,83608
Q9BTT4,0.0037413593386682,84246
Q9Y3A5,0.0036951765323381,51119
Q9NYV4,0.0036366268824196,51755
Q9UFB7,0.0036253348040345,92999
Q9BU76,0.0036018602905646,79169
Q9BTM1,0.0036014347998925,55766
Q9Y4B6,0.0035843549969371,9730
Q15633,0.0035728666245959,6895
Q02930,0.0035060436172351,9586
Q9UHB9,0.0034582747180267,6730
P38606,0.0034560918301329,523
Q08043,0.0034471109985126,89
P42858,0.0034275839911373,3064
P55081,0.0034203353586665,4236
P07996,0.0034178511011233,7057
P43115,0.003346316200061,5733
P18859,0.0032674082664052,522
P06756,0.0031973650758468,3685
Q9BZ76,0.0031671152626695,79937
Q15165,0.0031456093931912,5445
O15155,0.0030893588725573,10282
Q9Y4Z0,0.0030473808915679,25804
P29972,0.0030097164914297,358
Q08117,0.0030068011759094,166
O43482,0.0029913270687451,11339
P04156,0.0029752723965269,5621
Q9NVH1,0.0029591815753933,55735
Q6ZW31,0.0029384584851581,85360
Q9Y5S9,0.0029316256710123,9939
Q9NPF5,0.0029080815258211,55929
O00487,0.0028943402464943,10213
P52435,0.0028805833723174,5439
Q16629,0.0028542045941789,6432
Q8NI38,0.0028083969592388,84807
Q96LR2,0.0027860330242057,541468
P35226,0.0027845754002145,648
P12235,0.0027405198200041,291
P38117,0.0026785057722834,2109
P19387,0.0026459683084229,5432
Q9BUN8,0.002623778216203,79139
Q13895,0.0026064693148336,705
Q5QNW6,0.0025965337456678,440689
P22735,0.0025737115781885,7051
O15226,0.002491968863224,55922
Q92567,0.0024908436777373,23201
Q9BUF5,0.0024176936360729,84617
Q9Y3Z3,0.0023581995207799,25939
Q96MT8,0.0023071027333082,80254
Q96ED9,0.0022967541959204,29911
Q8N5Z5,0.0022541431490183,79734
Q66GS9,0.0022347037678827,9662
P63252,0.0021819845725707,3759
P50613,0.0021743931476312,1022
P23246,0.0021630601302085,6421
P49459,0.0021570668480005,7319
P60468,0.0021552025248395,10952
Q05209,0.0021488293903144,5782
P26038,0.0021219758061118,4478
P37231,0.0021161467053058,5468
Q12929,0.0021123829667414,2059
Q9UN86,0.0021001546311558,9908
Q9NQ55,0.0020827344300569,692312
Q92844,0.0020821471925271,10010
P09234,0.0020747408313397,6631
Q0VD86,0.0020245449396785,388324
Q4G0J3,0.0020086322681362,51574
Q8TBB1,0.0019949429006548,84708
P16615,0.0019599045522624,488
P24534,0.0019284854387973,1933
P27449,0.0019252528684216,527
Q7L5N1,0.0019207033494465,10980
P40855,0.0018762881486271,5824
P49760,0.001875141970482,1196
P29084,0.0018697338579937,2961
P29590,0.0018683365910412,5371
Q07812,0.0018600247230374,581
Q9NX58,0.0018567772594243,55646
Q93008,0.0018474459434977,8239
P61604,0.0018458791526239,3336
O60563,0.0018437277426212,904
Q9NW13,0.0018264762065033,55131
P46108,0.001819400288306,1398
Q15397,0.0017897565177376,9933
Q06609,0.0017868960425959,5888
Q53G59,0.0017724675197199,59349
Q8TDD1,0.0017695471355215,79039
P84103,0.0017681678112284,6428
Q7Z7A1,0.0017478979157853,11064
P29401,0.0017473594975696,7086
Q6P158,0.0017427768127089,90957
O60231,0.001738039148154,8449
P49327,0.001737937262525,2194
Q15628,0.0017327530611592,8717
Q6ZW49,0.0017320767652856,22976
P05198,0.0017299773287659,1965
Q9NZB2,0.0017289388830231,23196
P47929,0.0017207778283269,653499
Q9ULK4,0.0017186067770317,9439
Q8N6Y0,0.0017182734091557,83878
Q96NL6,0.0017033508574208,132320
O15014,0.0017015865760631,23060
Q7KZF4,0.0016990157914683,27044
Q8N5R6,0.0016857921009197,80125
Q14938,0.0016539009494191,4784
Q13555,0.0016377427587502,818
Q9NZ43,0.0016376772375211,55850
P15531,0.0016275599862495,4830
Q96AQ6,0.0016272942029356,57326
O75496,0.0016141393476634,51053
P25398,0.0016079954867811,6206
Q92820,0.0016036382280012,8836
O15514,0.0015946751439108,5433
P68104,0.0015878640154352,1915
O43852,0.0015712945392188,813
Q13188,0.0015545225854799,6788
P30825,0.00155403792791,6541
Q15907,0.0015302024736331,9230
P21912,0.0015195521569596,6390
Q9NYL9,0.0015161269428987,29766
Q9Y3E0,0.0014936095110654,51026
Q9UI12,0.00148102111185,51606
P08758,0.0014807773841039,308
Q13595,0.0014768525782727,29896
Q15750,0.0014748909085169,10454
O76024,0.0014587002742763,7466
O14744,0.0014509430984902,10419
P01889,0.0014476006568645,3106
Q6Y7W6,0.0014453508488169,26058
Q15303,0.0014368944395597,2066
P83111,0.0014350491786121,114294
Q14498,0.0014337243681142,9584
P38159,0.0014322809798214,27316
Q9H9B4,0.0014305408438726,94081
