prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,taxid,true,pred
0.0,0.17933016064036258,0.0,0.43198663109723,0.17232895293999195,0.21635425532241542,2955935,respiratory,respiratory
0.0,0.0,0.0,0.0,0.6138068213516609,0.3861931786483391,1933190,viraemic,systemic
1.0,0.0,0.0,0.0,0.0,0.0,11983,gastrointestinal,gastrointestinal
0.0,0.0,0.0,0.0,0.8739096187198446,0.12609038128015543,3052459,viraemic,systemic
0.0,0.600955734733809,0.0,0.0,0.0,0.399044265266191,3048448,neural,neural
0.0,0.3526451074695231,0.0,0.0,0.0,0.647354892530477,11029,other,viraemic
0.0,0.17985808456022012,0.0,0.0,0.4042367298339256,0.4159051856058543,3052317,systemic,viraemic
0.0,0.0,0.0,0.0,0.7875080498146074,0.21249195018539258,3052600,viraemic,systemic
0.0,0.0,0.5842738814012075,0.0,0.4157261185987925,0.0,11642,other,other
0.0,0.0,0.11943968130930177,0.0,0.7641138485236468,0.11644647016705136,3052458,systemic,systemic
0.0,0.8518155962909068,0.0,0.0,0.0,0.14818440370909325,12538,neural,neural
0.0,0.5946979731355034,0.0,0.0,0.4053020268644965,0.0,3052314,systemic,neural
0.0,0.20705245904698705,0.20211326052806827,0.0,0.0,0.5908342804249447,3052610,other,viraemic
0.0,0.0,0.6066776951208055,0.0,0.0,0.3933223048791946,3052480,other,other
0.0,0.5756786327135378,0.0,0.0,0.0,0.42432136728646225,60877,viraemic,neural
0.0,0.0,0.36365972827620696,0.0,0.3907199142866006,0.24562035743719235,1933189,viraemic,systemic
0.6847704576349409,0.31522954236505907,0.0,0.0,0.0,0.0,1239565,gastrointestinal,gastrointestinal
0.0,0.8397182716903536,0.0,0.0,0.0,0.16028172830964632,2951619,neural,neural
0.0,0.20529907860943242,0.0,0.0,0.4034572502507133,0.3912436711398543,1897087,neural,systemic
0.0,0.0,0.0,0.0,0.8824148502127471,0.11758514978725289,3052461,systemic,systemic
0.0,0.0,0.0,0.0,1.0,0.0,3052537,viraemic,systemic
0.0,0.15042305275369033,0.0,0.0,0.0,0.8495769472463097,3052428,viraemic,viraemic
0.626851139131254,0.0,0.0,0.24262102136795818,0.0,0.1305278395007878,147712,respiratory,gastrointestinal
0.0,0.19639857463627644,0.0,0.0,0.0,0.8036014253637236,2846071,viraemic,viraemic
0.0,0.0,0.19777068174711623,0.0,0.203833164189838,0.5983961540630457,3052456,viraemic,viraemic
0.5175969006755432,0.16520988878690993,0.0,0.0,0.16330209450369587,0.153891116033851,1348384,gastrointestinal,gastrointestinal
0.668055380631971,0.0,0.0,0.20371959518744903,0.0,0.1282250241805799,138951,gastrointestinal,gastrointestinal
0.0,0.0,0.0,0.1641044769934698,0.16113140858806788,0.6747641144184624,204269,neural,viraemic
0.0,0.18542880500569706,0.0,0.0,0.0,0.8145711949943031,3052429,viraemic,viraemic
0.0,0.0,0.0,0.5662167760681547,0.2363200770803271,0.1974631468515181,3049952,respiratory,respiratory
