prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,taxid,true,pred
0.184,0.414,0.054,0.042,0.04,0.266,12110,3,1
0.082,0.01,0.128,0.186,0.048,0.546,3052397,5,5
0.366,0.034,0.218,0.18,0.062,0.14,138951,0,0
0.072,0.05,0.102,0.112,0.1,0.564,3052428,5,5
0.124,0.204,0.04,0.078,0.272,0.282,1897087,1,5
0.17,0.094,0.444,0.086,0.094,0.112,194440,2,2
0.054,0.074,0.034,0.044,0.35,0.444,3052505,4,5
0.11,0.202,0.03,0.036,0.068,0.554,1972579,5,5
0.168,0.01,0.518,0.146,0.066,0.092,338478,2,2
0.014,0.04,0.048,0.026,0.778,0.094,2169991,4,4
0.016,0.464,0.012,0.006,0.19,0.312,2951619,1,1
0.026,0.036,0.056,0.04,0.734,0.108,3052307,4,4
0.028,0.344,0.012,0.012,0.012,0.592,11029,2,5
0.1,0.268,0.212,0.058,0.138,0.224,12475,2,1
0.144,0.062,0.054,0.132,0.03,0.578,3052387,5,5
0.026,0.408,0.06,0.026,0.056,0.424,3047837,5,5
0.338,0.18,0.126,0.148,0.098,0.11,1330524,0,0
0.026,0.5,0.012,0.014,0.022,0.426,3048443,1,1
0.028,0.078,0.05,0.016,0.408,0.42,3052303,1,5
0.044,0.104,0.046,0.046,0.118,0.642,3052518,4,5
0.052,0.26,0.046,0.024,0.216,0.402,3051375,5,5
0.116,0.142,0.036,0.144,0.116,0.446,1987018,5,5
0.118,0.028,0.096,0.258,0.216,0.284,3052557,3,5
0.016,0.238,0.046,0.016,0.03,0.654,37124,5,5
0.022,0.362,0.05,0.016,0.034,0.516,3048459,5,5
0.396,0.04,0.236,0.14,0.086,0.102,1239572,0,0
0.298,0.134,0.036,0.128,0.088,0.316,28876,0,5
0.032,0.346,0.03,0.01,0.248,0.334,249583,1,1
0.018,0.474,0.006,0.008,0.022,0.472,3052463,5,1
0.094,0.024,0.134,0.248,0.08,0.42,3048148,3,5
