prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,taxid,true,pred
0.07,0.075,0.045,0.235,0.29,0.285,3052557,3,4
0.055,0.135,0.08,0.08,0.35,0.3,3052600,5,4
0.27,0.13,0.13,0.08,0.165,0.225,2003649,0,0
0.03,0.13,0.015,0.06,0.025,0.74,3052384,5,5
0.06,0.525,0.045,0.035,0.1,0.235,3052468,1,1
0.06,0.035,0.565,0.125,0.13,0.085,194443,2,2
0.04,0.17,0.075,0.1,0.195,0.42,3052518,4,5
0.05,0.19,0.105,0.11,0.19,0.355,3052537,5,5
0.01,0.41,0.035,0.01,0.135,0.4,3048233,2,1
0.025,0.12,0.08,0.09,0.285,0.4,3052505,4,5
0.035,0.37,0.065,0.025,0.2,0.305,38767,1,1
0.04,0.175,0.055,0.11,0.39,0.23,3052310,4,4
0.125,0.085,0.575,0.07,0.065,0.08,11642,2,2
0.05,0.205,0.345,0.065,0.09,0.245,3052610,2,2
0.11,0.185,0.125,0.105,0.16,0.315,40057,5,5
0.005,0.23,0.145,0.0,0.015,0.605,59300,5,5
0.335,0.13,0.015,0.275,0.03,0.215,36427,0,0
0.01,0.425,0.085,0.02,0.205,0.255,2951618,1,1
0.005,0.21,0.06,0.075,0.23,0.42,1972576,1,5
0.01,0.07,0.07,0.03,0.585,0.235,3052462,4,4
0.705,0.03,0.065,0.135,0.025,0.04,1821749,5,0
0.005,0.335,0.025,0.005,0.19,0.44,3052463,5,5
0.225,0.135,0.02,0.445,0.075,0.1,3049954,3,3
0.005,0.11,0.05,0.05,0.22,0.565,1933189,5,5
0.07,0.065,0.09,0.18,0.395,0.2,3052558,5,4
0.59,0.035,0.16,0.09,0.05,0.075,95342,0,0
0.32,0.105,0.025,0.18,0.055,0.315,28876,0,0
0.025,0.38,0.03,0.035,0.265,0.265,249583,1,1
0.09,0.115,0.095,0.145,0.16,0.395,1972578,5,5
0.115,0.09,0.04,0.615,0.055,0.085,11137,3,3
