prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,taxid,true,pred
0.027179385,0.013381454,0.022331357,0.32593733,0.02300356,0.58816695,3048148,respiratory,viraemic
0.0012953777,0.0006384707,0.0011418284,0.0008220956,0.0005763005,0.9955259,3052389,viraemic,viraemic
0.5247157,0.030034903,0.075925894,0.055461634,0.023357924,0.2905039,1239573,gastrointestinal,gastrointestinal
0.016499765,0.007568872,0.020514531,0.3710853,0.010153405,0.5741781,3052397,viraemic,viraemic
0.0027391878,0.9612401,0.0038182763,0.0023467385,0.016765492,0.01309023,11292,neural,neural
0.011177126,0.00978672,0.92739964,0.011016189,0.02344521,0.017175099,3052619,other,other
0.0046748607,0.006164643,0.0074409093,0.0065822983,0.78158903,0.19354829,3052462,systemic,systemic
0.0023431932,0.22890782,0.007995334,0.00243616,0.008941706,0.74937576,3048459,viraemic,viraemic
0.034869134,0.01177932,0.87528425,0.04095688,0.02569526,0.011415172,338478,other,other
0.0015390771,0.0011015487,0.0033124126,0.0010317381,0.9919934,0.0010217486,3052302,systemic,systemic
0.0062336856,0.025065301,0.0059157014,0.011211901,0.24526082,0.70631254,3052225,neural,viraemic
0.009137532,0.027515803,0.008406765,0.01361189,0.14580315,0.7955249,3052460,systemic,viraemic
0.007284529,0.0027548727,0.97537756,0.002902932,0.0032584164,0.0084217135,194440,other,other
0.5296321,0.011234816,0.036148198,0.088375896,0.016678518,0.31793043,3052493,other,gastrointestinal
0.01656982,0.02809007,0.02596277,0.04763429,0.03594259,0.8458005,1987017,viraemic,viraemic
0.0072897095,0.0033868356,0.012975313,0.7650524,0.00662627,0.20466949,3052384,viraemic,respiratory
0.106260695,0.059642844,0.06525038,0.68483055,0.032512985,0.051502537,2003650,gastrointestinal,respiratory
0.0068895803,0.003273969,0.0019561418,0.0028095816,0.005082871,0.97998786,11021,neural,viraemic
0.0014178343,0.015945405,0.0012464216,0.00073667825,0.0015723859,0.9790813,11039,neural,viraemic
0.023443013,0.018263968,0.01198083,0.019898169,0.12737961,0.79903436,3052461,systemic,viraemic
0.024354035,0.9095675,0.010610449,0.004014673,0.01326296,0.03819036,2748762,viraemic,neural
0.00312936,0.0970692,0.002796519,0.0012821268,0.0011506581,0.89457214,59301,viraemic,viraemic
0.045478195,0.196282,0.026003791,0.016485117,0.031061245,0.68468964,2955291,respiratory,viraemic
0.0018084021,0.013395086,0.0060722614,0.0023554114,0.0017904557,0.9745783,37124,viraemic,viraemic
0.0064258156,0.73450303,0.023819154,0.0039911238,0.0035171465,0.22774369,3047395,viraemic,neural
0.763426,0.027028823,0.1616809,0.015918594,0.0115314005,0.020414304,72149,gastrointestinal,gastrointestinal
0.45879832,0.05865416,0.07107312,0.029775783,0.29293346,0.08876513,138948,gastrointestinal,gastrointestinal
0.0017919218,0.9142249,0.002258297,0.0018630179,0.016225442,0.0636364,2951619,neural,neural
0.011104178,0.06005976,0.020036278,0.004630319,0.003962095,0.9002074,59300,viraemic,viraemic
0.39508715,0.100536354,0.04491711,0.04219512,0.23593909,0.18132521,118027,respiratory,gastrointestinal
