prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,taxid,true,pred
0.030956725,0.113524966,0.047423765,0.26147163,0.329969,0.2166539,3048148,respiratory,systemic
0.04470075,0.019001486,0.056339353,0.7045624,0.06809608,0.10729993,3052456,viraemic,respiratory
0.95119923,0.008259942,0.008581065,0.012063653,0.0113913035,0.008504795,1239572,gastrointestinal,gastrointestinal
0.006345002,0.72699344,0.051328406,0.010741105,0.08085192,0.12374009,3052514,viraemic,neural
0.02051794,0.1939048,0.08259951,0.02536238,0.02374903,0.65386635,1972576,neural,viraemic
0.013882426,0.03619979,0.2529754,0.0183049,0.5894344,0.089203075,3052477,other,systemic
0.0064308112,0.15604416,0.36164832,0.03110636,0.12427596,0.32049438,3052518,systemic,other
0.048882965,0.15080234,0.038469754,0.081882894,0.09736634,0.5825957,3052444,viraemic,viraemic
0.009338574,0.013152451,0.08927973,0.010123207,0.5373227,0.3407833,3052498,other,systemic
0.010610937,0.009874717,0.044698246,0.01762261,0.7890724,0.1281211,3052458,systemic,systemic
0.012098829,0.83566636,0.008171641,0.013170086,0.11047279,0.020420242,11292,neural,neural
0.051398516,0.16697781,0.30257767,0.05289407,0.20359921,0.2225527,3052676,systemic,other
0.014544388,0.026046714,0.09285467,0.022323739,0.58504206,0.2591884,3052493,other,systemic
0.007421666,0.0499754,0.005400203,0.0049038474,0.010502475,0.9217964,11029,other,viraemic
0.0077064256,0.029773392,0.007483927,0.009388209,0.01619788,0.9294501,1972573,viraemic,viraemic
0.007272567,0.20375822,0.008138193,0.012147023,0.0071495343,0.76153445,59301,viraemic,viraemic
0.12873031,0.038792893,0.06497994,0.16978864,0.35893938,0.23876888,67605,gastrointestinal,systemic
0.0015175043,0.007847448,0.0044589005,0.0037032997,0.9689025,0.013570319,3052303,neural,systemic
0.933687,0.006575441,0.0012165031,0.031017262,0.0027062565,0.024797596,77763,neural,gastrointestinal
0.0034976478,0.033303473,0.029975578,0.0049778847,0.9063639,0.021881508,3052489,systemic,systemic
0.012536491,0.013953187,0.008778404,0.008928769,0.00854841,0.9472548,40057,viraemic,viraemic
0.008708656,0.05322411,0.007137308,0.008653749,0.019001039,0.90327513,3048225,viraemic,viraemic
0.010284642,0.0064063286,0.0065122144,0.9561538,0.012446554,0.00819643,290028,respiratory,respiratory
0.0117237065,0.15936458,0.11363994,0.4639083,0.017008826,0.23435466,3052684,viraemic,respiratory
0.97447914,0.0021151332,0.0050924956,0.01299461,0.0018195589,0.0034990564,1821749,viraemic,gastrointestinal
0.93588555,0.007589288,0.0101386355,0.020031838,0.007408874,0.018945854,95342,gastrointestinal,gastrointestinal
0.58674324,0.024725826,0.15044835,0.12176881,0.045853514,0.07046025,72149,gastrointestinal,gastrointestinal
0.004885247,0.95993465,0.002632207,0.0020535388,0.010557287,0.019937044,3052468,neural,neural
0.083447695,0.10639447,0.04837162,0.060211055,0.06232808,0.63924706,1972575,viraemic,viraemic
0.055513844,0.041103955,0.03273061,0.29794657,0.09529606,0.47740895,2955465,respiratory,viraemic
