prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,taxid,true,pred
0.136,0.116,0.11,0.14,0.12,0.378,1335626,3,5
0.106,0.156,0.094,0.096,0.118,0.43,1972579,5,5
0.212,0.15,0.21,0.076,0.126,0.226,2956252,0,5
0.118,0.214,0.106,0.108,0.102,0.352,1972575,5,5
0.046,0.1,0.272,0.052,0.072,0.458,3052465,1,5
0.106,0.164,0.196,0.092,0.15,0.292,11723,2,5
0.104,0.164,0.108,0.142,0.132,0.35,3052345,4,5
0.104,0.234,0.09,0.082,0.084,0.406,11020,5,5
0.14,0.118,0.288,0.1,0.146,0.208,194441,2,2
0.096,0.11,0.116,0.11,0.334,0.234,3052317,4,4
0.102,0.138,0.124,0.158,0.152,0.326,3052225,1,5
0.152,0.142,0.094,0.116,0.244,0.252,3052331,4,5
0.152,0.124,0.278,0.084,0.128,0.234,194440,2,2
0.122,0.152,0.212,0.108,0.114,0.292,1678143,2,5
0.15,0.146,0.236,0.11,0.094,0.264,2846071,5,5
0.066,0.15,0.098,0.112,0.116,0.458,40057,5,5
0.136,0.096,0.324,0.082,0.096,0.266,67605,0,2
0.052,0.106,0.284,0.048,0.072,0.438,3048184,1,5
0.06,0.232,0.09,0.064,0.09,0.464,3048158,1,5
0.11,0.138,0.122,0.116,0.322,0.192,3052307,4,4
0.09,0.166,0.108,0.088,0.104,0.444,1972577,5,5
0.078,0.09,0.148,0.094,0.11,0.48,3047837,5,5
0.098,0.174,0.092,0.122,0.138,0.376,2955465,3,5
0.04,0.12,0.052,0.026,0.056,0.706,3048225,5,5
0.038,0.086,0.066,0.058,0.06,0.692,3052428,5,5
0.082,0.146,0.188,0.086,0.134,0.364,95342,0,5
0.306,0.102,0.132,0.166,0.106,0.188,138951,0,0
0.114,0.144,0.088,0.124,0.114,0.416,77763,1,5
0.062,0.09,0.078,0.086,0.076,0.608,3052418,5,5
0.098,0.128,0.134,0.168,0.142,0.33,3049952,3,5
