prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,taxid,true,pred
0.24859913,0.024006648,0.13520959,0.5367811,0.02425265,0.03115088,277944,respiratory,respiratory
0.01350179,0.32705137,0.028527247,0.008691789,0.007603878,0.6146239,332097,viraemic,viraemic
0.42592853,0.03094223,0.00960194,0.093467936,0.054884605,0.38517478,28876,gastrointestinal,gastrointestinal
0.0057832757,0.6964283,0.01709609,0.0056310208,0.09696325,0.17809804,1933191,viraemic,neural
0.015893236,0.025568955,0.011184368,0.06568499,0.8176009,0.06406755,1897087,neural,systemic
0.13375537,0.044162482,0.09449324,0.14074658,0.032989144,0.5538532,3052619,other,viraemic
0.0086208675,0.0060067843,0.005491601,0.0058837896,0.9705236,0.0034733466,3052331,systemic,systemic
0.016575882,0.71902305,0.019624235,0.018353296,0.013995947,0.21242765,60876,viraemic,neural
0.04257156,0.014455934,0.4207954,0.014455472,0.36137778,0.14634389,3052498,other,other
0.023140227,0.021387879,0.7975012,0.07938344,0.05331381,0.025273446,3052474,systemic,other
0.029542949,0.18652366,0.04401726,0.014090442,0.10325181,0.6225739,3048215,neural,viraemic
0.023166578,0.01281699,0.76426786,0.020281281,0.045538392,0.13392891,1980456,systemic,other
0.01834715,0.020434195,0.5267956,0.021148982,0.012314356,0.40095964,338478,other,other
0.0070406743,0.0060476293,0.9202277,0.02120526,0.017613487,0.027865237,3052503,other,other
0.024409244,0.054726202,0.022827618,0.009694675,0.01718383,0.8711585,3048360,viraemic,viraemic
0.018403707,0.007223603,0.006376133,0.0068627037,0.018709932,0.94242394,3052396,viraemic,viraemic
0.71067506,0.022621464,0.029139701,0.11231619,0.08081604,0.044431563,2003649,gastrointestinal,gastrointestinal
0.0030757925,0.0028836092,0.00886983,0.007018189,0.0045370925,0.9736155,3052390,neural,viraemic
0.008579285,0.11110944,0.0073423255,0.0061918087,0.0063692746,0.8604079,11039,neural,viraemic
0.0047249985,0.0021923047,0.0011012799,0.074175164,0.90310675,0.014699577,3052461,systemic,systemic
0.004921399,0.08294821,0.013875315,0.0028583526,0.03877812,0.8566186,1972577,viraemic,viraemic
0.007519192,0.8292698,0.0120992195,0.0066290884,0.012678858,0.13180383,3048168,viraemic,neural
0.0078160195,0.012512914,0.026504116,0.25760466,0.012135279,0.68342704,2955935,respiratory,viraemic
0.012172481,0.017115023,0.009843603,0.004937341,0.0046134475,0.9513181,40058,viraemic,viraemic
0.04575198,0.010187868,0.02025428,0.15485327,0.04042818,0.7285244,3052440,viraemic,viraemic
0.091307856,0.40784213,0.09075089,0.18954961,0.09552495,0.12502459,138949,gastrointestinal,neural
0.47746953,0.011826066,0.01725951,0.104893334,0.11028078,0.27827072,138951,gastrointestinal,gastrointestinal
0.022851463,0.19519806,0.12662451,0.030805076,0.0132962065,0.61122465,11033,neural,viraemic
0.012842965,0.008236163,0.04394052,0.040581394,0.01903563,0.8753633,3052789,viraemic,viraemic
0.29535317,0.16039574,0.048353396,0.06508623,0.35930067,0.07151079,118027,respiratory,systemic
