prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,taxid,true,pred
0.0022384604,0.0089852605,0.0059648976,0.0039894963,0.044048928,0.93477297,2955935,respiratory,viraemic
0.002733091,0.001936374,0.011802303,0.0009818772,0.1748399,0.8077064,1972574,viraemic,viraemic
0.9775828,0.00046101637,0.00066489406,0.004818462,0.0025910467,0.01388175,138948,gastrointestinal,gastrointestinal
0.0035578615,0.25192156,0.010695594,0.0025005601,0.012013854,0.7193106,3048459,viraemic,viraemic
0.016032144,0.33314344,0.030448772,0.016379828,0.010181797,0.593814,11021,neural,viraemic
0.0023226063,0.0027999072,0.95604485,0.0012886483,0.032987956,0.004555989,338079,other,other
0.2104218,0.009634542,0.36269644,0.031801187,0.111786135,0.27365986,1980456,systemic,other
0.0005896479,0.0005326758,0.00032680362,0.0047786725,0.0035132607,0.99025893,3052387,viraemic,viraemic
0.009855419,0.034710377,0.012168651,0.03904142,0.008283794,0.89594036,11029,other,viraemic
0.0071711373,0.0030227283,0.02414689,0.010058796,0.93942136,0.016179066,3052317,systemic,systemic
0.0023481443,0.7303923,0.19693457,0.005745125,0.0057127015,0.0588672,3052465,neural,neural
0.0023166796,0.0018464421,0.015923081,0.0039089047,0.95071274,0.025292201,3052489,systemic,systemic
0.053291496,0.015968474,0.17035624,0.044357996,0.026690459,0.68933535,12092,other,viraemic
0.008555626,0.0030597744,0.95201683,0.012394286,0.015378574,0.008594933,194441,other,other
0.012199843,0.034302175,0.0037002042,0.004258767,0.005102796,0.9404362,1987018,viraemic,viraemic
0.0010532083,0.006916993,0.00174148,0.0021058267,0.00058406114,0.9875985,59304,viraemic,viraemic
0.00901276,0.06281776,0.05544058,0.015219401,0.0024103287,0.85509914,1239572,gastrointestinal,viraemic
0.014530133,0.30087382,0.07079935,0.012903289,0.0730385,0.5278549,11569,neural,viraemic
0.018824402,0.0013556104,0.005330113,0.057443094,0.022542592,0.89450425,3052390,neural,viraemic
0.008932601,0.016496258,0.03485664,0.017626364,0.28217703,0.6399111,3052310,systemic,viraemic
0.0005511275,0.0016829388,0.0017907983,0.000537691,0.00052617147,0.99491125,2169701,viraemic,viraemic
0.010098246,0.15798935,0.7876615,0.0040866104,0.0082988385,0.031865496,2846071,viraemic,other
0.005319564,0.0008061068,0.0015415204,0.64498293,0.01144065,0.33590922,3052557,respiratory,respiratory
0.10380155,0.010423792,0.08989876,0.016841698,0.44374138,0.3352928,3052537,viraemic,systemic
0.1791547,0.0025351406,0.005384395,0.18960229,0.006400332,0.61692315,3052456,viraemic,viraemic
0.1289772,0.0041610287,0.011651333,0.82709765,0.012379481,0.015733283,1821750,gastrointestinal,respiratory
0.27540216,0.022338385,0.008867188,0.63981086,0.007034839,0.046546582,2956252,gastrointestinal,respiratory
0.053140763,0.7510819,0.07327328,0.02816896,0.037965897,0.05636923,2951619,neural,neural
0.02654613,0.32562664,0.006551158,0.07350971,0.057946853,0.5098195,3048440,viraemic,viraemic
0.010019292,0.0010509915,0.0012885561,0.98592746,0.0008623939,0.000851358,463676,respiratory,respiratory
