prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.0,0.0,1.0,0.0,1980456,respiratory,respiratory
0.0,0.0,0.0,1.0,3052401,vector,vector
1.0,0.0,0.0,0.0,3052223,direct contact,direct contact
0.0,0.0,0.3017936073945769,0.698206392605423,3052514,vector,vector
1.0,0.0,0.0,0.0,3052462,direct contact,direct contact
1.0,0.0,0.0,0.0,95342,faecal-oral,direct contact
0.0,0.0,0.0,1.0,3048459,vector,vector
0.0,0.0,0.0,1.0,3052468,vector,vector
0.0,0.0,0.0,1.0,3052303,respiratory,vector
0.0,0.0,0.0,1.0,3052381,vector,vector
1.0,0.0,0.0,0.0,11676,direct contact,direct contact
0.0,0.0,0.0,1.0,1933189,vector,vector
0.0,1.0,0.0,0.0,1330491,faecal-oral,faecal-oral
0.0,0.3385528864392127,0.6614471135607872,0.0,12092,faecal-oral,respiratory
0.0,0.0,0.0,1.0,3052440,vector,vector
0.0,0.0,0.0,1.0,1972577,vector,vector
0.3401534831240228,0.0,0.0,0.6598465168759772,3052230,direct contact,vector
1.0,0.0,0.0,0.0,3051375,direct contact,direct contact
1.0,0.0,0.0,0.0,249583,direct contact,direct contact
0.0,0.0,0.0,1.0,3052418,vector,vector
0.0,0.0,0.0,1.0,3052413,vector,vector
0.0,0.0,0.0,1.0,3048447,vector,vector
0.3335149811185136,0.0,0.6664850188814864,0.0,3052310,respiratory,respiratory
0.0,0.0,0.0,1.0,3052426,vector,vector
0.0,0.0,0.0,1.0,3052428,vector,vector
1.0,0.0,0.0,0.0,11292,direct contact,direct contact
0.7683377350313874,0.23166226496861272,0.0,0.0,194443,direct contact,direct contact
0.0,0.6780323781820348,0.0,0.3219676218179652,28876,faecal-oral,faecal-oral
0.0,0.0,1.0,0.0,3052789,respiratory,respiratory
