prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.06,0.21,0.55,0.18,290028,respiratory,respiratory
0.05,0.03,0.01,0.91,3048459,vector,vector
0.66,0.03,0.13,0.18,1987017,direct contact,direct contact
0.09,0.0,0.01,0.9,3048168,vector,vector
0.21,0.2,0.04,0.55,3052610,direct contact,vector
0.47,0.27,0.09,0.17,2003652,faecal-oral,direct contact
0.36,0.07,0.21,0.36,1933189,vector,direct contact
0.1,0.04,0.12,0.74,3052418,vector,vector
0.24,0.05,0.4,0.31,3052303,respiratory,respiratory
0.35,0.15,0.09,0.41,1972572,vector,vector
0.18,0.2,0.02,0.6,3052230,direct contact,vector
0.06,0.0,0.01,0.93,3048225,vector,vector
0.34,0.43,0.09,0.14,1330524,faecal-oral,faecal-oral
0.15,0.49,0.08,0.28,1348384,faecal-oral,faecal-oral
0.13,0.09,0.01,0.77,3052426,vector,vector
0.27,0.07,0.23,0.43,1933190,vector,vector
0.74,0.04,0.14,0.08,3052557,direct contact,direct contact
0.55,0.07,0.15,0.23,3049954,direct contact,direct contact
0.63,0.04,0.17,0.16,3052223,direct contact,direct contact
0.06,0.17,0.07,0.7,3052440,vector,vector
0.1,0.08,0.01,0.81,11034,vector,vector
0.2,0.11,0.07,0.62,3048440,vector,vector
0.5,0.09,0.21,0.2,3052480,respiratory,direct contact
0.04,0.01,0.01,0.94,3048448,vector,vector
0.05,0.02,0.0,0.93,11024,vector,vector
0.58,0.13,0.03,0.26,11676,direct contact,direct contact
0.82,0.08,0.01,0.09,3052345,direct contact,direct contact
0.35,0.34,0.13,0.18,1239573,faecal-oral,direct contact
0.29,0.27,0.05,0.39,2846071,respiratory,vector
