prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.03333333333333333,0.04666666666666667,0.4666666666666667,0.4533333333333333,3052789,respiratory,respiratory
0.04,0.006666666666666667,0.006666666666666667,0.9466666666666667,3048158,vector,vector
0.4,0.09,0.19333333333333333,0.31666666666666665,2951619,direct contact,direct contact
0.1,0.05,0.043333333333333335,0.8066666666666666,3052464,vector,vector
0.7266666666666667,0.07333333333333333,0.04,0.16,3049953,direct contact,direct contact
0.37333333333333335,0.16,0.29,0.17666666666666667,67605,faecal-oral,direct contact
0.14,0.02666666666666667,0.09333333333333334,0.74,1933189,vector,vector
0.05,0.0033333333333333335,0.006666666666666667,0.94,3048360,vector,vector
0.13333333333333333,0.04,0.5366666666666666,0.29,3052303,respiratory,respiratory
0.07,0.03666666666666667,0.013333333333333334,0.88,3052468,vector,vector
0.6566666666666666,0.14666666666666667,0.05,0.14666666666666667,3052557,direct contact,direct contact
0.05333333333333334,0.01,0.02,0.9166666666666666,3047395,vector,vector
0.3,0.4266666666666667,0.03666666666666667,0.23666666666666666,1239572,faecal-oral,faecal-oral
0.21,0.5666666666666667,0.043333333333333335,0.18,1239570,faecal-oral,faecal-oral
0.016666666666666666,0.013333333333333334,0.023333333333333334,0.9466666666666667,3052396,vector,vector
0.02666666666666667,0.02,0.013333333333333334,0.94,60875,vector,vector
0.5333333333333333,0.09,0.14333333333333334,0.23333333333333334,90961,direct contact,direct contact
0.06666666666666667,0.17333333333333334,0.48333333333333334,0.27666666666666667,694009,direct contact,respiratory
0.4633333333333333,0.08666666666666667,0.12333333333333334,0.32666666666666666,38767,direct contact,direct contact
0.38666666666666666,0.03666666666666667,0.03333333333333333,0.5433333333333333,3048170,vector,vector
0.02,0.016666666666666666,0.07666666666666666,0.8866666666666667,11033,vector,vector
0.3433333333333333,0.016666666666666666,0.043333333333333335,0.5966666666666667,3048287,vector,vector
0.043333333333333335,0.013333333333333334,0.67,0.2733333333333333,3052470,respiratory,respiratory
0.10666666666666667,0.006666666666666667,0.01,0.8766666666666667,3046277,vector,vector
0.03333333333333333,0.023333333333333334,0.02666666666666667,0.9166666666666666,3048440,vector,vector
0.52,0.10666666666666667,0.10333333333333333,0.27,11723,direct contact,direct contact
0.38,0.08333333333333333,0.18,0.3566666666666667,2951618,direct contact,direct contact
0.16,0.38666666666666666,0.11,0.3433333333333333,36427,faecal-oral,faecal-oral
0.15666666666666668,0.06333333333333334,0.6266666666666667,0.15333333333333332,3052331,respiratory,respiratory
