prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.19531559330575154,0.05528029751543433,0.581342656533601,0.16806145264521352,3052470,respiratory,respiratory
0.05723391014949175,0.014259729001768693,0.02637855135812479,0.9021278094906149,3052389,vector,vector
0.6628855323540465,0.1692584261145325,0.07806620125513683,0.08978984027628426,3052560,direct contact,direct contact
0.03680236266055815,0.031179727067026496,0.011174436618592621,0.9208434736538228,204269,vector,vector
0.6628913463934439,0.16450705244311845,0.10379656969606528,0.06880503146737232,1897087,direct contact,direct contact
0.3245329556125059,0.383215822091771,0.2534580755971894,0.038793146698533704,1330491,faecal-oral,faecal-oral
0.318813799200536,0.06596639552646401,0.06320684195084343,0.5520129633221568,1972573,vector,vector
0.13617592703827283,0.034454355121837574,0.013794015360307138,0.8155757024795822,59304,vector,vector
0.10026515068542653,0.37216981578457053,0.4854023339095653,0.042162699620437755,694003,respiratory,respiratory
0.14445824239352567,0.009967852579841159,0.007289911744562361,0.8382839932820708,2169701,vector,vector
0.6003984550061715,0.09101010854783527,0.07711890549510181,0.23147253095089163,3052459,direct contact,direct contact
0.18346267006981526,0.039852005810076724,0.1735198333134517,0.6031654908066566,3052537,vector,vector
0.3458116447518541,0.3073374406123113,0.19506925257935148,0.151781662056483,1239573,faecal-oral,faecal-oral
0.18198489550274688,0.5668983958160535,0.16035872851153093,0.09075798016966838,2956252,faecal-oral,faecal-oral
0.12362505869854942,0.042598366460957805,0.025546038659931634,0.8082305361805611,60877,vector,vector
0.10934366800320504,0.016352010229071495,0.033034291599936066,0.8412700301677875,11034,vector,vector
0.6482107869351532,0.310999914867548,0.03841236865802201,0.0023769295392767143,194440,direct contact,direct contact
0.6994910264665628,0.14036475410327007,0.03972263078427312,0.12042158864589377,3052556,direct contact,direct contact
0.7086108380805309,0.05396876885419074,0.06129868460566331,0.17612170845961492,3051375,direct contact,direct contact
0.0765405106952025,0.030694796706880453,0.12225358172703484,0.7705111108708826,3052381,vector,vector
0.046047685630724096,0.004774695919624263,0.010206946581102787,0.9389706718685488,3048215,vector,vector
0.42052920198001525,0.1131521020603224,0.06452736017286481,0.40179133578679754,1972578,vector,direct contact
0.2661994085359032,0.13433024662885681,0.5167320754913192,0.08273826934392109,3052325,respiratory,respiratory
0.15093039583550152,0.026351964310530825,0.00960686230500503,0.8131107775489628,59300,vector,vector
0.11146602828142353,0.01961604851285958,0.025004716840951697,0.8439132063647652,3052426,vector,vector
0.47939003099001626,0.20295311414920209,0.10805115670982356,0.20960569815095811,138949,direct contact,direct contact
0.5037021062096401,0.1827462910380872,0.08989947352811073,0.22365212922416255,138948,direct contact,direct contact
0.38191641582436514,0.24423542686277055,0.2318893150586886,0.14195884225417557,1803956,faecal-oral,direct contact
0.23300266349615997,0.13221286851703087,0.427453883744194,0.20733058424261502,3052789,respiratory,respiratory
