prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.13634446668762715,0.06553678262866791,0.5082940591043165,0.2898246915793881,3052499,respiratory,respiratory
0.08388599014069682,0.0524975607219251,0.29140308479340854,0.5722133643439695,3052381,vector,vector
0.9711509588514843,0.008258689599996427,0.01923592277267739,0.001354428775842216,194443,direct contact,direct contact
0.07797631759046604,0.047371058847142176,0.16014351478189698,0.714509108780495,3052444,vector,vector
0.583140954703148,0.2381518322530039,0.08143526061799533,0.09727195242585256,463676,direct contact,direct contact
0.34978752804899,0.35433984160917287,0.08340447838280095,0.21246815195903632,28876,faecal-oral,direct contact
0.24167936301991105,0.09116244814744941,0.020868424804891254,0.6462897640277484,40053,vector,vector
0.3323881643347367,0.0260599124393895,0.17746363465393242,0.46408828857194123,3052684,vector,vector
0.15184936297113538,0.03975254091807428,0.7098384699623963,0.09855962614839411,3052477,respiratory,respiratory
0.10958100143826985,0.011227332436346786,0.061003592361056125,0.8181880737643275,3046277,vector,vector
0.8272599216042343,0.09676428845617326,0.03582694128410134,0.04014884865549109,147712,direct contact,direct contact
0.03481066533799437,0.010488259261825757,0.033496210119682165,0.9212048652804978,3052468,vector,vector
0.22599195436477484,0.6074614281776896,0.08037973443732443,0.08616688302021128,1239572,faecal-oral,faecal-oral
0.1164412914879033,0.7539726913080825,0.07798863546246529,0.05159738174154872,2003651,faecal-oral,faecal-oral
0.15185873706820952,0.052927192697355616,0.07711174624854461,0.71810232398589,37124,vector,vector
0.06672542140533119,0.015941942931144606,0.0426263810263194,0.874706254637205,3048440,vector,vector
0.323651270547916,0.08135095876160163,0.05711751257289885,0.5378802581175833,2955291,direct contact,vector
0.7059126936190651,0.2203781667228637,0.05585213648562402,0.017857003172447514,138948,direct contact,direct contact
0.5899689721149486,0.2311869238170208,0.0936819789404596,0.08516212512757097,1897087,direct contact,direct contact
0.4405102743246229,0.04038072914840624,0.12047167803639072,0.3986373184905801,3052514,vector,direct contact
0.03896431181412659,0.017905456333058314,0.08029015630721795,0.8628400755455969,3052431,vector,vector
0.07922043033333016,0.06131332602314314,0.14752047153202028,0.7119457721115068,11033,vector,vector
0.07165014041549932,0.043471663456312,0.7587246821003413,0.12615351402784733,3052789,respiratory,respiratory
0.2584401951435549,0.15753833389922298,0.10239543279066997,0.4816260381665526,11021,vector,vector
0.05649093064987805,0.009815731812198887,0.021658895905666834,0.912034441632256,3052463,vector,vector
0.5654131141642627,0.04610887979490858,0.1802181940501782,0.2082598119906509,2951618,direct contact,direct contact
0.8342467996195407,0.05644767419383355,0.027247316010151037,0.0820582101764747,3049953,direct contact,direct contact
0.16507278000234632,0.7935316796430179,0.03180315158893798,0.009592388765698002,95342,faecal-oral,faecal-oral
0.08861997421444255,0.20638434445263512,0.6644202465275958,0.04057543480532642,694003,respiratory,respiratory
