prob_0,prob_1,prob_2,prob_3,taxid,true,pred
0.8047968,0.0455616,0.0968947,0.05274693,3052480,respiratory,direct contact
0.0032679094,0.0015099063,0.0016299215,0.9935922,3052463,vector,vector
0.9030923,0.027912002,0.010970699,0.05802496,11723,direct contact,direct contact
0.015009178,0.029290868,0.0053267805,0.95037323,1972579,vector,vector
0.9872716,0.004545108,0.0035428205,0.0046404046,3052557,direct contact,direct contact
0.0063312324,0.0041287434,0.0020805022,0.98745954,28876,faecal-oral,vector
0.13264258,0.07926248,0.14314978,0.6449452,3052464,vector,vector
0.0737719,0.2488643,0.08523656,0.59212726,1972572,vector,vector
0.07766496,0.038418464,0.25243446,0.6314821,3052498,respiratory,vector
0.029430818,0.010458678,0.01843307,0.94167745,3048175,vector,vector
0.0088835675,0.0070584915,0.96584845,0.018209498,3052314,direct contact,respiratory
0.0040279035,0.0018707087,0.0014458005,0.99265563,60875,vector,vector
0.02280903,0.8053522,0.01799698,0.15384178,2956252,faecal-oral,faecal-oral
0.026150784,0.09255191,0.858422,0.022875289,693997,faecal-oral,respiratory
0.6804911,0.02088847,0.017091108,0.2815294,11020,vector,direct contact
0.0029060417,0.001737363,0.0011619794,0.9941947,11029,vector,vector
0.94441134,0.008110193,0.007286815,0.0401917,11292,direct contact,direct contact
0.016647277,0.0043034614,0.002584427,0.9764648,2955465,direct contact,vector
0.972841,0.00683946,0.0062416927,0.014077829,3051375,direct contact,direct contact
0.011702629,0.008398072,0.0057105115,0.97418875,3048440,vector,vector
0.008139935,0.0012066623,0.0009949545,0.9896584,3048225,vector,vector
0.43340743,0.029750708,0.014051209,0.5227907,3048215,vector,vector
0.00859397,0.0045077624,0.97426754,0.012630727,2169991,respiratory,respiratory
0.14036879,0.012677214,0.008432862,0.8385211,59304,vector,vector
0.31941214,0.011412733,0.012793056,0.6563821,2169701,vector,vector
0.7845949,0.19580999,0.012315185,0.007279883,138951,direct contact,direct contact
0.9592293,0.02968356,0.0060780095,0.0050091413,3052560,direct contact,direct contact
0.30930495,0.47169513,0.019010615,0.19998933,1239565,faecal-oral,faecal-oral
0.012567806,0.022063684,0.95244306,0.012925392,11137,respiratory,respiratory
