prob_0,prob_1,prob_2,prob_3,taxid,true,pred
0.024804749,0.019183863,0.689203,0.26680833,3052503,respiratory,respiratory
0.0034347516,0.001703007,0.0019799657,0.99288225,3052466,vector,vector
0.98603433,0.004126498,0.004171486,0.005667726,3052462,direct contact,direct contact
0.0010031557,0.00059545983,0.0010372928,0.9973641,3052389,vector,vector
0.9906,0.0037417004,0.0037362983,0.0019220182,11676,direct contact,direct contact
0.014402634,0.8129229,0.02264519,0.15002932,28875,faecal-oral,faecal-oral
0.0033301006,0.9068284,0.0089217685,0.08091977,77763,vector,faecal-oral
0.026353715,0.0032424547,0.011058484,0.95934534,3052464,vector,vector
0.033748787,0.005446295,0.90440726,0.05639761,3052307,respiratory,respiratory
0.04409893,0.05842726,0.06587873,0.83159506,59302,vector,vector
0.9430869,0.044646997,0.0054490324,0.006817045,3049954,direct contact,direct contact
0.4106659,0.016956838,0.3397733,0.23260397,1933191,vector,direct contact
0.12287637,0.50444186,0.044592824,0.32808894,1239565,faecal-oral,faecal-oral
0.09519437,0.6684048,0.03855623,0.19784462,351073,faecal-oral,faecal-oral
0.06233867,0.030940719,0.13864367,0.7680769,3052676,vector,vector
0.0053882613,0.0057623545,0.0077227345,0.9811266,2748762,vector,vector
0.733407,0.10647333,0.10454538,0.05557434,3052342,direct contact,direct contact
0.9948338,0.0016441407,0.0020963873,0.001425605,3052459,direct contact,direct contact
0.106745034,0.05952883,0.36541957,0.46830657,3052314,direct contact,vector
0.0035989296,0.0022290612,0.0053808643,0.9887911,3052444,vector,vector
0.003273038,0.0010422287,0.0022812246,0.9934035,3048287,vector,vector
0.0015942089,0.001065635,0.0012953023,0.9960448,3052463,vector,vector
0.06874265,0.01969183,0.28327695,0.6282886,3052302,respiratory,vector
0.0009324536,0.0009927356,0.0011191028,0.99695575,60876,vector,vector
0.0044384305,0.0023818323,0.0036065504,0.9895732,3047395,vector,vector
0.992006,0.002956114,0.0031016837,0.0019362695,338079,direct contact,direct contact
0.9945667,0.0015073861,0.0010860277,0.002839933,3052557,direct contact,direct contact
0.16587435,0.33858126,0.08174133,0.413803,1678143,faecal-oral,vector
0.0009531787,0.021717766,0.97542965,0.0018993933,290028,respiratory,respiratory
