prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.2650864408349211,0.16177780604828262,0.5731357531167962,0.0,1335626,respiratory,respiratory
0.5535560267719882,0.0,0.0,0.44644397322801166,3052518,vector,direct contact
0.20637027362795202,0.0,0.0,0.793629726372048,3048184,direct contact,vector
0.0,0.0,0.0,1.0,3048225,vector,vector
0.792762981729058,0.0,0.0,0.20723701827094201,3049953,direct contact,direct contact
0.804374079883133,0.19562592011686694,0.0,0.0,1239565,faecal-oral,direct contact
0.19255279145223214,0.0,0.19349688460013467,0.6139503239476332,1933189,vector,vector
0.0,0.0,0.0,1.0,3052440,vector,vector
0.0,0.0,1.0,0.0,3052489,respiratory,respiratory
0.0,0.0,0.0,1.0,3052418,vector,vector
0.810776250200516,0.0,0.0,0.18922374979948395,3052556,direct contact,direct contact
0.7815162463416705,0.0,0.0,0.21848375365832945,3052676,vector,direct contact
0.5927714398337027,0.0,0.4072285601662972,0.0,1803956,faecal-oral,direct contact
0.0,0.8472662099533533,0.15273379004664675,0.0,2003650,faecal-oral,faecal-oral
0.0,0.0,0.0,1.0,3052431,vector,vector
0.0,0.0,0.0,1.0,37124,vector,vector
1.0,0.0,0.0,0.0,3049952,direct contact,direct contact
0.48655708144766746,0.36498195370485736,0.0,0.14846096484747523,194441,direct contact,direct contact
1.0,0.0,0.0,0.0,3052460,direct contact,direct contact
0.0,0.0,0.0,1.0,3052384,vector,vector
0.0,0.0,0.0,1.0,11039,vector,vector
0.0,0.0,0.0,1.0,3052413,vector,vector
0.15512711706105226,0.0,0.8448728829389478,0.0,290028,respiratory,respiratory
0.0,0.0,0.0,1.0,2083198,vector,vector
0.0,0.14407399911281535,0.0,0.8559260008871846,40058,vector,vector
0.8369538203355804,0.0,0.0,0.16304617966441956,338478,direct contact,direct contact
1.0,0.0,0.0,0.0,3052505,direct contact,direct contact
0.18353111556732846,0.8164688844326716,0.0,0.0,1821750,faecal-oral,faecal-oral
0.0,0.0,1.0,0.0,3052499,respiratory,respiratory
