prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.062,0.178,0.67,0.09,290028,respiratory,respiratory
0.3714117647058824,0.15003921568627454,0.106,0.3725490196078431,3052440,vector,vector
0.282,0.356,0.06,0.302,3052230,direct contact,faecal-oral
0.2020392156862745,0.0880392156862745,0.342,0.36792156862745096,3052684,vector,vector
0.9095833333333333,0.03,0.008,0.052416666666666674,3052461,direct contact,direct contact
0.296,0.49,0.092,0.122,1330524,faecal-oral,faecal-oral
0.10333333333333335,0.036,0.004,0.8566666666666667,3048360,vector,vector
0.11814985994397759,0.156,0.048,0.6778501400560225,40053,vector,vector
0.214,0.094,0.624,0.068,3052310,respiratory,respiratory
0.29403921568627445,0.074,0.0348,0.5971607843137254,3052389,vector,vector
0.592,0.228,0.046,0.134,194443,direct contact,direct contact
0.42562254901960783,0.09,0.026,0.4583774509803922,1972572,vector,vector
0.172,0.296,0.098,0.434,1348384,faecal-oral,vector
0.180078431372549,0.272,0.132,0.41592156862745094,2956252,faecal-oral,vector
0.12407843137254902,0.036324929971988794,0.1,0.7395966386554622,3052418,vector,vector
0.03807843137254902,0.006,0.004,0.951921568627451,3047385,vector,vector
0.882,0.006,0.024,0.088,249583,direct contact,direct contact
0.5370392156862744,0.056,0.01,0.39696078431372545,3052345,direct contact,direct contact
0.51,0.276,0.044,0.17,194441,direct contact,direct contact
0.19786064425770308,0.17025,0.038,0.5938893557422968,40058,vector,vector
0.17870588235294116,0.05003921568627451,0.014,0.7572549019607843,3052464,vector,vector
0.008149859943977591,0.00603921568627451,0.0,0.985810924369748,11036,vector,vector
0.192,0.094,0.64,0.074,3052317,respiratory,respiratory
0.05807843137254902,0.01603921568627451,0.0,0.9258823529411766,3047375,vector,vector
0.04403921568627451,0.02603921568627451,0.004,0.925921568627451,3048225,vector,vector
0.746,0.048,0.01,0.196,3052556,direct contact,direct contact
0.094,0.382,0.478,0.046,694009,direct contact,respiratory
0.348,0.2104,0.042,0.3996,28876,faecal-oral,vector
0.062,0.066,0.83,0.042,3052307,respiratory,respiratory
