prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.15166666666666667,0.08672514619883041,0.4101169590643275,0.3514912280701754,3052474,respiratory,respiratory
0.125,0.013333333333333334,0.11,0.7516666666666667,11024,vector,vector
0.7952083333333333,0.03,0.03333333333333333,0.14145833333333332,38767,direct contact,direct contact
0.03333333333333333,0.016725146198830407,0.033450292397660814,0.9164912280701754,3046277,vector,vector
0.16754166666666667,0.06333333333333334,0.10666666666666667,0.6624583333333334,2955935,direct contact,vector
0.243537037037037,0.29366666666666663,0.050503703703703696,0.41229259259259254,28876,faecal-oral,vector
0.3777777777777778,0.015555555555555553,0.03,0.5766666666666667,3048287,vector,vector
0.079625,0.12616600641388417,0.1346669590643275,0.6595420345217884,3052444,vector,vector
0.10666666666666667,0.23333333333333334,0.5733333333333334,0.08666666666666667,277944,respiratory,respiratory
0.08,5.8479532163742686e-05,0.006783625730994152,0.9131578947368421,3048459,vector,vector
0.58,0.2783333333333333,0.03,0.11166666666666666,3051375,direct contact,direct contact
0.016666666666666666,0.04339181286549708,0.043450292397660815,0.8964912280701753,3048447,vector,vector
0.32222222222222224,0.4533918128654972,0.12025029239766082,0.10413567251461987,2003649,faecal-oral,faecal-oral
0.22,0.19333333333333333,0.4066666666666667,0.18,36427,faecal-oral,respiratory
0.03333333333333333,0.009391812865497076,0.030783625730994146,0.9264912280701755,3048440,vector,vector
0.04645833333333333,0.06050292397660819,0.1303891812865497,0.7626495614035087,3052396,vector,vector
0.32354166666666667,0.3167251461988304,0.16678362573099415,0.19294956140350877,138949,direct contact,direct contact
0.8933333333333333,0.03666666666666667,0.04,0.03,3052459,direct contact,direct contact
0.5045833333333334,0.17030303030303032,0.061969696969696966,0.2631439393939394,3052223,direct contact,direct contact
0.6733333333333333,0.013333333333333334,0.023333333333333334,0.29,3052465,vector,direct contact
0.0001666666666666667,0.0033333333333333335,0.006833333333333333,0.9896666666666666,11036,vector,vector
0.036833333333333336,0.02,0.030166666666666668,0.9129999999999999,48543,vector,vector
0.14725,0.03939181286549708,0.49816695906432745,0.3151912280701754,3052498,respiratory,respiratory
0.05,0.0,0.02,0.93,60876,vector,vector
0.22416666666666665,0.16255847953216374,0.22678362573099414,0.38649122807017544,3052440,vector,vector
0.22087500000000002,0.04339181286549708,0.1351169590643275,0.6006162280701755,2955465,direct contact,vector
0.3994166666666667,0.2017741935483871,0.14166666666666666,0.2571424731182796,147711,direct contact,direct contact
0.23444444444444448,0.6045029239766082,0.08456140350877193,0.07649122807017543,1330491,faecal-oral,faecal-oral
0.06953703703703704,0.0748059542796385,0.5165125819599504,0.3391444267233741,3052470,respiratory,respiratory
