prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.205,0.17,0.24,0.385,11137,respiratory,vector
0.105,0.1,0.035,0.76,2748762,vector,vector
0.195,0.19,0.28,0.335,694009,direct contact,vector
0.105,0.065,0.055,0.775,59304,vector,vector
0.28,0.085,0.155,0.48,2955291,direct contact,vector
0.19,0.14,0.26,0.41,1803956,faecal-oral,vector
0.2,0.14,0.135,0.525,3052387,vector,vector
0.18,0.095,0.22,0.505,1972574,vector,vector
0.15,0.075,0.52,0.255,3052474,respiratory,respiratory
0.18,0.1,0.09,0.63,40053,vector,vector
0.245,0.195,0.11,0.45,138950,direct contact,vector
0.145,0.055,0.06,0.74,48543,vector,vector
0.25,0.155,0.14,0.455,1239570,faecal-oral,vector
0.15,0.42,0.135,0.295,2003649,faecal-oral,faecal-oral
0.205,0.1,0.085,0.61,11024,vector,vector
0.205,0.115,0.155,0.525,3052426,vector,vector
0.675,0.05,0.05,0.225,11292,direct contact,direct contact
0.235,0.255,0.105,0.405,138951,direct contact,vector
0.325,0.13,0.175,0.37,3048148,direct contact,vector
0.28,0.065,0.165,0.49,1933189,vector,vector
0.255,0.095,0.08,0.57,3052390,vector,vector
0.245,0.11,0.185,0.46,1933191,vector,vector
0.26,0.125,0.36,0.255,3052303,respiratory,respiratory
0.135,0.07,0.075,0.72,11029,vector,vector
0.19,0.095,0.175,0.54,1933190,vector,vector
0.52,0.08,0.085,0.315,3052342,direct contact,direct contact
0.705,0.125,0.075,0.095,3052458,direct contact,direct contact
0.265,0.215,0.155,0.365,28876,faecal-oral,vector
0.155,0.215,0.41,0.22,694003,respiratory,respiratory
