prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.020281437948185186,0.1350400542358788,0.011723039461897438,0.8329554683540383,3048300,respiratory,vector
0.019334933448622613,0.011094861340217156,0.001961096394209175,0.9676091088169512,3048168,vector,vector
0.9029341637309324,0.016037534047320404,0.01783920240446689,0.06318909981728027,11709,direct contact,direct contact
0.10223810755704128,0.09082391066220706,0.12366777259371886,0.6832702091870326,3052440,vector,vector
0.8600904736977156,0.04165479646405578,0.03394342434201282,0.06431130549621578,2951618,direct contact,direct contact
0.3569794958715933,0.5077757215965139,0.0838764302744071,0.051368352257485816,1678143,faecal-oral,faecal-oral
0.009812124583647492,0.01383168552853097,0.001346988205400864,0.9750092016824207,3048448,vector,vector
0.038528353482939114,0.01513628471785614,0.0049255355292993335,0.9414098262699054,60875,vector,vector
0.0547895415023529,0.010447703752382569,0.890005732815518,0.04475702192974647,3052470,respiratory,respiratory
0.01170883982956182,0.01866836866088664,0.002019244637655848,0.9676035468718959,40058,vector,vector
0.7993436147972002,0.1010991865812275,0.02888822943330831,0.0706689691882639,3049953,direct contact,direct contact
0.06734753957256913,0.04349133091567928,0.04649188461777816,0.8426692448939733,3052429,vector,vector
0.3624799727371106,0.5789300432786214,0.037173159211470845,0.021416824772797376,72149,faecal-oral,faecal-oral
0.06749221100566723,0.48622047675776936,0.017628561351269535,0.42865875088529365,28875,faecal-oral,vector
0.06396690334447247,0.017807250372633924,0.007609815592813654,0.9106160306900802,3048175,vector,vector
0.05143505628027809,0.02249496310470853,0.009703823481420838,0.9163661571335925,11024,vector,vector
0.9005425648209264,0.05306447907308626,0.028946766190879183,0.01744618991510817,3052458,direct contact,direct contact
0.6264962466038982,0.048875331215826774,0.13812178714648413,0.18650663503379053,338079,direct contact,direct contact
0.08851703509025127,0.014978512205326566,0.005895131219030454,0.8906093214853915,3048184,direct contact,vector
0.0060968352062437435,0.013045116461188356,0.0025031211829669425,0.9783549271496009,40053,vector,vector
0.027741877946208304,0.02340409875756406,0.02109638129687572,0.9277576419993522,1933190,vector,vector
0.012411853491116311,0.013892942931947143,0.0016309606817256823,0.9720642428952109,3048225,vector,vector
0.15174949308370933,0.11166374301866125,0.7075637898743873,0.029022974023242058,290028,respiratory,respiratory
0.10941175565585551,0.026906043543106363,0.06082928770411296,0.8028529130969254,3052514,vector,vector
0.4564675794169774,0.16413742732088846,0.03783428891694318,0.34156070434519087,204269,vector,vector
0.776136952911451,0.11120178982020112,0.036815746504361,0.07584551076398656,3049954,direct contact,direct contact
0.6881913898015448,0.19207431799237903,0.05058831702225079,0.06914597518382522,3052610,direct contact,direct contact
0.14429750662446725,0.6204506888782667,0.14203801587371756,0.0932137886235487,1239570,faecal-oral,faecal-oral
0.043289388536038816,0.025949069627955207,0.8820228425782521,0.04873869925775387,1980456,respiratory,respiratory
