prob_0,prob_1,prob_2,prob_3,taxid,true,pred
0.41750333,0.06456381,0.3485778,0.1693551,3052310,respiratory,direct contact
0.032892887,0.010541801,0.013542565,0.9430227,1972573,vector,vector
0.7544071,0.05968883,0.035585303,0.15031877,11642,direct contact,direct contact
0.19170643,0.33409536,0.20568101,0.26851723,77763,vector,faecal-oral
0.5677831,0.18692264,0.12908426,0.11620999,338079,direct contact,direct contact
0.14313672,0.17578809,0.046066247,0.63500893,1239565,faecal-oral,vector
0.005111288,0.004813492,0.0015673471,0.98850787,3052389,vector,vector
0.016056217,0.0028232976,0.001286349,0.97983414,332097,vector,vector
0.38352114,0.3531251,0.013300635,0.25005314,2846071,respiratory,direct contact
0.008878028,0.0058748918,0.0040708724,0.9811762,3048440,vector,vector
0.9331896,0.016821265,0.010503755,0.039485462,11723,direct contact,direct contact
0.0020113478,0.0008380847,0.00066126394,0.9964893,3048215,vector,vector
0.13677959,0.37470916,0.43801114,0.050500114,36427,faecal-oral,respiratory
0.04231843,0.039164342,0.8828755,0.03564174,693997,faecal-oral,respiratory
0.089035556,0.0027956779,0.007169532,0.9009992,1972579,vector,vector
0.014167968,0.0020447474,0.0015276101,0.9822597,59302,vector,vector
0.87680817,0.013949105,0.022016698,0.08722598,2951618,direct contact,direct contact
0.6985548,0.02630385,0.22196692,0.053174462,138951,direct contact,direct contact
0.94843084,0.007685463,0.002951313,0.04093243,138950,direct contact,direct contact
0.33026904,0.021218395,0.008675887,0.63983667,37124,vector,vector
0.0063741123,0.0027510494,0.0033750096,0.9874999,40053,vector,vector
0.012481806,0.0012058095,0.00061038224,0.98570204,11033,vector,vector
0.16595575,0.40855336,0.23418185,0.191309,3052474,respiratory,faecal-oral
0.021854272,0.034996923,0.5642637,0.37888512,3052456,vector,respiratory
0.0431615,0.0060287192,0.0024657743,0.948344,59304,vector,vector
0.1498129,0.28525984,0.046388768,0.5185385,138948,direct contact,vector
0.9840947,0.0072483844,0.0029913976,0.0056655556,194441,direct contact,direct contact
0.13997425,0.75902164,0.036257565,0.064746484,1330491,faecal-oral,faecal-oral
0.85763013,0.044027418,0.01841192,0.07993057,3052789,respiratory,direct contact
