prob_0,prob_1,prob_2,prob_3,taxid,true,pred
0.006926876,0.003469688,0.9811746,0.008428841,3052499,respiratory,respiratory
0.006356797,0.006198475,0.006068088,0.9813766,3052381,vector,vector
0.84967583,0.13437979,0.009744814,0.0061996323,194443,direct contact,direct contact
0.0059252237,0.024099478,0.0031253705,0.96684986,3052444,vector,vector
0.7437779,0.14080599,0.035750926,0.079665236,463676,direct contact,direct contact
0.4079013,0.19510344,0.027860288,0.36913502,28876,faecal-oral,direct contact
0.026785864,0.004956302,0.0025310125,0.9657268,40053,vector,vector
0.017649729,0.0012479883,0.0012147151,0.9798876,3052684,vector,vector
0.045314386,0.0017111584,0.9478875,0.0050870017,3052477,respiratory,respiratory
0.2533277,0.29200473,0.02604396,0.42862356,3046277,vector,vector
0.15209666,0.4378521,0.0061182966,0.403933,147712,direct contact,faecal-oral
0.0051490637,0.0022295404,0.0014323976,0.991189,3052468,vector,vector
0.15799206,0.23539032,0.41813034,0.18848726,1239572,faecal-oral,respiratory
0.10323284,0.71550965,0.12100567,0.060251836,2003651,faecal-oral,faecal-oral
0.0025157405,0.002392666,0.003819107,0.9912725,37124,vector,vector
0.013236986,0.0009874187,0.0015834062,0.98419225,3048440,vector,vector
0.70882225,0.036857698,0.01514157,0.23917846,2955291,direct contact,direct contact
0.5097674,0.17254521,0.046227995,0.27145943,138948,direct contact,direct contact
0.6640958,0.063942455,0.051226143,0.22073556,1897087,direct contact,direct contact
0.14678392,0.2787716,0.37175587,0.2026886,3052514,vector,respiratory
0.007586753,0.0024886515,0.0034795292,0.986445,3052431,vector,vector
0.0021799824,0.0017184993,0.00062731904,0.99547416,11033,vector,vector
0.012702156,0.005365383,0.64124596,0.3406865,3052789,respiratory,respiratory
0.082162395,0.06691747,0.028892474,0.8220276,11021,vector,vector
0.00827883,0.0017145319,0.0010554668,0.98895115,3052463,vector,vector
0.9648008,0.02224417,0.0032793214,0.009675778,2951618,direct contact,direct contact
0.9103939,0.037923366,0.038240675,0.013442071,3049953,direct contact,direct contact
0.53714705,0.1467384,0.10939982,0.20671476,95342,faecal-oral,direct contact
0.20103902,0.21120317,0.5587755,0.02898231,694003,respiratory,respiratory
