prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,taxid,true,pred
0.16,0.298,0.114,0.028,0.088,0.312,1821749,5,5
0.208,0.17,0.074,0.09,0.19,0.268,138948,0,5
0.088,0.208,0.182,0.094,0.132,0.296,3052464,4,5
0.018,0.342,0.116,0.016,0.056,0.452,3047837,5,5
0.026,0.082,0.05,0.044,0.348,0.45,3052514,5,5
0.074,0.048,0.08,0.256,0.242,0.3,3052557,3,5
0.428,0.04,0.154,0.152,0.098,0.128,1239573,0,0
0.31,0.068,0.072,0.286,0.102,0.162,694009,3,0
0.274,0.104,0.048,0.194,0.106,0.274,28875,0,0
0.104,0.166,0.044,0.062,0.306,0.318,1897087,1,5
0.07,0.158,0.042,0.08,0.104,0.546,1972578,5,5
0.328,0.152,0.068,0.124,0.086,0.242,138949,0,0
0.058,0.09,0.054,0.05,0.38,0.368,3052505,4,4
0.072,0.036,0.14,0.072,0.346,0.334,3052501,2,4
0.028,0.266,0.072,0.012,0.046,0.576,48543,5,5
0.052,0.24,0.058,0.026,0.032,0.592,11036,1,5
0.068,0.264,0.062,0.108,0.076,0.422,11318,1,5
0.058,0.094,0.086,0.07,0.196,0.496,1987017,5,5
0.026,0.362,0.112,0.018,0.032,0.45,3047375,5,5
0.04,0.062,0.034,0.02,0.79,0.054,3052317,4,4
0.042,0.284,0.102,0.038,0.03,0.504,59304,5,5
0.084,0.046,0.136,0.09,0.202,0.442,3052498,2,5
0.012,0.102,0.014,0.042,0.282,0.548,3052225,1,5
0.048,0.088,0.038,0.044,0.646,0.136,3052310,4,4
0.052,0.056,0.156,0.076,0.284,0.376,3052503,2,5
0.066,0.074,0.086,0.312,0.078,0.384,3049952,3,5
0.08,0.2,0.078,0.086,0.078,0.478,40058,5,5
0.112,0.17,0.082,0.09,0.146,0.4,2748762,5,5
0.076,0.272,0.164,0.126,0.084,0.278,204269,1,5
0.03,0.046,0.014,0.062,0.048,0.8,3052426,5,5
