prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.9352995631050055,0.034811272677969,0.01349911224217716,0.016390051974847913,3052461,direct contact,direct contact
0.05327062455194148,0.04372850817040513,0.8568973704146636,0.04610349686298977,3052493,respiratory,respiratory
0.028143537636578345,0.015101845561678791,0.004528388412581603,0.9522262283891612,3048158,vector,vector
0.26485104069479903,0.10310601332504966,0.5889237848174153,0.043119161162735994,693997,faecal-oral,respiratory
0.7465392253455662,0.0497370798974224,0.13422872461307303,0.06949497014393834,3052505,direct contact,direct contact
0.06404150036293096,0.017385346952507787,0.011737249871658683,0.9068359028129026,3048360,vector,vector
0.12418388710616948,0.0335210477854534,0.24130596342036129,0.6009891016880157,3052684,vector,vector
0.07551767157205695,0.029330340168326006,0.8784208754077102,0.016731112851906923,2169991,respiratory,respiratory
0.025014550750237726,0.04404873831586149,0.02945878695063117,0.9014779239832695,3048447,vector,vector
0.049101522845775084,0.01924221757424254,0.8970996423333244,0.03455661724665803,3052477,respiratory,respiratory
0.07048588577930887,0.021031172070630808,0.03932521951535479,0.8691577226347057,1972573,vector,vector
0.07705973924701125,0.10385478072213683,0.037381296419109755,0.7817041836117417,2956252,faecal-oral,vector
0.051960905005729766,0.013645101582177747,0.011983417722700706,0.9224105756893921,3047385,vector,vector
0.0918517827141057,0.8137403728457743,0.07903745525388417,0.01537038918623573,2003652,faecal-oral,faecal-oral
0.13265095226488574,0.4870701162303046,0.030435547776056504,0.3498433837287531,28876,faecal-oral,faecal-oral
0.1797354614166428,0.012533527511237702,0.0025993995980857073,0.8051316114740336,37124,vector,vector
0.9117125573352487,0.015314835692661113,0.020094740755965384,0.0528778662161245,11676,direct contact,direct contact
0.13512580726674744,0.02434450717835416,0.012902948226930774,0.8276267373279675,1972576,vector,vector
0.023794541730520775,0.010557159666117269,0.016026999948801496,0.9496212986545606,3052468,vector,vector
0.24925013695067064,0.05579931462347589,0.6807863359267082,0.01416421249914526,3052325,respiratory,respiratory
0.9007428093852459,0.02743502582374938,0.046565877077767666,0.025256287713237034,11642,direct contact,direct contact
0.4375164741772148,0.3039656846575453,0.17268141122231556,0.08583642994292447,147711,direct contact,direct contact
0.04046271255662234,0.01217689942620059,0.003529009820341037,0.9438313781968363,332097,vector,vector
0.2263907606718973,0.03741018213584967,0.6997685018141738,0.03643055537807896,3052303,respiratory,respiratory
0.032408905559633716,0.00668305512215376,0.0023308952182739054,0.9585771440999389,11036,vector,vector
0.9209968321350984,0.02083500110480198,0.021364022959188652,0.036804143800911016,3052223,direct contact,direct contact
0.7122001573175194,0.23752177704151026,0.031249883719687056,0.019028181921283388,194440,direct contact,direct contact
0.024879932341943838,0.008938381824165448,0.002392244416010163,0.9637894414178807,11029,vector,vector
0.16509691760552683,0.045592066868471434,0.01882062280958285,0.7704903927164193,3052387,vector,vector
0.6711661392185019,0.2814642175593421,0.029463677229410967,0.017905965992745226,194441,direct contact,direct contact
