prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.3486956702050233,0.28645509923931595,0.013125771762530746,0.3517234587931301,12110,direct contact,vector
0.04135859792742859,0.04750615393488793,0.8327083715923768,0.07842687654530689,3052489,respiratory,respiratory
0.7653640415389109,0.05019197206816228,0.1309395014909939,0.0535044849019328,3052505,direct contact,direct contact
0.03886570050406374,0.023098134441680716,0.032512071561120494,0.9055240934931349,1972573,vector,vector
0.9338319351214837,0.03995281387447623,0.011002787502666296,0.015212463501373896,3049954,direct contact,direct contact
0.00464421890339445,0.008202827378931812,0.006683737896649601,0.9804692158210242,3048448,vector,vector
0.027445159399281032,0.7664217155269885,0.060008361736485875,0.1461247633372444,2747210,vector,faecal-oral
0.49785908498666637,0.333250917422908,0.011968912318243473,0.1569210852721824,138949,direct contact,direct contact
0.07063556041274938,0.033230338491881985,0.05927987714347264,0.8368542239518959,3052537,vector,vector
0.007460108142432661,0.005042898946868796,0.004589893290957633,0.9829070996197409,11034,vector,vector
0.18739376773896788,0.014114806830692465,0.003677727290470342,0.7948136981398692,37124,vector,vector
0.13034462316733575,0.04791684393470131,0.6822141506570555,0.13952438224090707,3052480,respiratory,respiratory
0.021879994835820392,0.7935585066307917,0.046985247339916276,0.1375762511934717,2748762,vector,faecal-oral
0.04830680910755047,0.010127505136639422,0.004984325165123929,0.936581360590686,3048184,direct contact,vector
0.02186538620633454,0.014206794678317265,0.00971653754701476,0.9542112815683333,3048360,vector,vector
0.8918118900571714,0.03192421390179036,0.05758861952879746,0.01867527651224064,3052460,direct contact,direct contact
0.1381447083554242,0.5000572105678887,0.08316947466470416,0.2786286064119832,36427,faecal-oral,faecal-oral
0.1815302230365568,0.050834225505203015,0.7519442173022105,0.015691334156029697,3052325,respiratory,respiratory
0.2893268936315427,0.11386570216318465,0.5688262523452221,0.02798115186005025,693997,faecal-oral,respiratory
0.4575965560118927,0.5168329947443036,0.0182751521262993,0.007295297117504606,1821750,faecal-oral,faecal-oral
0.03995675374444785,0.6223711451679548,0.01765535258527744,0.3200167485023203,28875,faecal-oral,faecal-oral
0.010431634736397464,0.005059686486550208,0.006135411441823743,0.9783732673352287,3047375,vector,vector
0.44955140264214516,0.24486494064954553,0.03410946907842981,0.27147418762987907,204269,vector,direct contact
0.03423627489364162,0.07049242978952848,0.8314176213847536,0.06385367393207607,3052503,respiratory,respiratory
0.008408751811651122,0.019383704826234072,0.005188895349492019,0.9670186480126229,59301,vector,vector
0.9641725580262246,0.013495822034811797,0.01710794201798036,0.0052236779209835806,3052342,direct contact,direct contact
0.08953026560726658,0.056807638609319644,0.7124511800639809,0.14121091571943303,3052498,respiratory,respiratory
0.7163460179318581,0.20408889300969354,0.04461288244922121,0.03495220660922718,3052610,direct contact,direct contact
0.011445940922100106,0.17931059215536652,0.0048938497921697625,0.8043496171303635,40058,vector,vector
0.012746216385288962,0.13002629740979685,0.00664700056383474,0.8505804856410796,40057,vector,vector
