prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.45297985358504633,0.15225345245451138,0.25526702274126173,0.1394996712191803,3052505,direct contact,direct contact
0.019773379465170837,0.013202886505859672,0.014140794177634832,0.9528829398513345,11036,vector,vector
0.025613821282485197,0.017129560071693733,0.011071722006714848,0.9461848966391067,3048158,vector,vector
0.25068645941060974,0.21770808089917376,0.0638054056987903,0.4678000539914262,3047817,vector,vector
0.03144026224452354,0.03350456519564918,0.031182033353106486,0.9038731392067213,11024,vector,vector
0.7386036582153807,0.0801372992242113,0.1738080816214125,0.007450960938995471,2955291,direct contact,direct contact
0.7140754421513591,0.0824931315512889,0.18945019659918108,0.013981229698171088,3048148,direct contact,direct contact
0.030141405537903173,0.0456614543472152,0.9143842216923721,0.009812918422509729,3052501,respiratory,respiratory
0.8465689523701336,0.07893195339888957,0.06370330961878659,0.01079578461219007,3049954,direct contact,direct contact
0.012616793040171909,0.005323600346402064,0.0035508798068689712,0.9785087268065571,3048360,vector,vector
0.050089637021689025,0.054402888492832376,0.8854591156313495,0.010048358854129202,3052470,respiratory,respiratory
0.006625932905531199,0.0031536252492584765,0.005940102511133762,0.9842803393340765,3048448,vector,vector
0.2803978954330112,0.24055486784760702,0.048843079111789846,0.4302041576075919,40053,vector,vector
0.025779928873336206,0.01803455923475412,0.018496071845685875,0.9376894400462238,11034,vector,vector
0.057632861206713654,0.9104833241867692,0.01831679498906936,0.013567019617447584,1821750,faecal-oral,faecal-oral
0.6534114112319231,0.062039410472949204,0.21501400585636662,0.06953517243876119,1335626,respiratory,direct contact
0.014264343368754857,0.04287431386763171,0.9258589376543412,0.017002405109272308,3052307,respiratory,respiratory
0.03700209206752508,0.04172594494169184,0.9005379218399181,0.0207340411508651,3052317,respiratory,respiratory
0.019969237917652385,0.014157483117549009,0.015176852180539312,0.9506964267842591,1972574,vector,vector
0.896567466823851,0.06739367843634335,0.028706937454201272,0.0073319172856045325,249583,direct contact,direct contact
0.01342855736410474,0.027215682675703377,0.02631554498716426,0.9330402149730276,3052429,vector,vector
0.024434086867802268,0.01752804673857379,0.016360252001694744,0.9416776143919294,2083198,vector,vector
0.11612557095844249,0.609423602359024,0.028868472241500947,0.24558235444103235,2955935,direct contact,faecal-oral
0.017527123097813763,0.012477671636669251,0.021920811057521215,0.9480743942079959,11020,vector,vector
0.06535408718440563,0.8141644667247645,0.029889412204486637,0.09059203388634311,1239565,faecal-oral,faecal-oral
0.06229624463424289,0.70261605054947,0.03941401955674963,0.19567368525953766,1348384,faecal-oral,faecal-oral
0.578617751443982,0.33806525547124744,0.055251926436164736,0.02806506664860568,12110,direct contact,direct contact
0.11412444848080895,0.03712916496927349,0.04659480026992874,0.802151586279989,11569,vector,vector
0.925875377828585,0.06695504569796401,0.005208071953014725,0.001961504520436432,147712,direct contact,direct contact
0.04522242665159034,0.9228896969173189,0.0163726906520035,0.015515185779087086,2003649,faecal-oral,faecal-oral
