prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,true,pred
0.72,0.175,0.055,0.05,direct contact,direct contact
0.02,0.0,0.0,0.98,vector,vector
0.33,0.29,0.19,0.19,faecal-oral,direct contact
0.06,0.015,0.1,0.825,vector,vector
0.03,0.045,0.06,0.865,vector,vector
0.79,0.105,0.025,0.08,direct contact,direct contact
0.05,0.03,0.595,0.325,respiratory,respiratory
0.665,0.02,0.105,0.21,direct contact,direct contact
0.41,0.17,0.25,0.17,faecal-oral,direct contact
0.14,0.08,0.35,0.43,vector,vector
0.03,0.01,0.03,0.93,vector,vector
0.08,0.04,0.06,0.82,vector,vector
0.44,0.455,0.025,0.08,faecal-oral,faecal-oral
0.185,0.06,0.52,0.235,respiratory,respiratory
0.77,0.03,0.085,0.115,direct contact,direct contact
0.24,0.045,0.12,0.595,vector,vector
0.52,0.345,0.07,0.065,faecal-oral,direct contact
0.18,0.125,0.29,0.405,vector,vector
0.095,0.17,0.645,0.09,respiratory,respiratory
0.29,0.04,0.44,0.23,direct contact,respiratory
0.06,0.04,0.685,0.215,respiratory,respiratory
0.865,0.025,0.04,0.07,direct contact,direct contact
0.255,0.01,0.065,0.67,direct contact,vector
0.14,0.02,0.05,0.79,vector,vector
0.235,0.01,0.04,0.715,vector,vector
0.04,0.02,0.045,0.895,vector,vector
0.395,0.055,0.3,0.25,vector,direct contact
0.23,0.07,0.115,0.585,vector,vector
0.66,0.15,0.06,0.13,direct contact,direct contact
0.285,0.07,0.46,0.185,respiratory,respiratory
