interact_type	virus_unid	human_unid	VirusName	FamilyName
physical association	P0C6L3	Q9HCE1	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9H8X9	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9UG22	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q16586	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q96DA6	Hepatitis delta virus	Kolmioviridae
physical association	P0C6L3	Q9NUN5	Hepatitis delta virus	Kolmioviridae
physical association	P0C6L3	P19338	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q7Z5P4	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q8WWG1	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P56851	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q92685	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q11201	Hepatitis delta virus	Kolmioviridae
physical association	P29996	O43699	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q7KYR7	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9UKY4	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9UGN4	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P02775	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P43115	Hepatitis delta virus	Kolmioviridae
physical association	P29996	O75027	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9UIJ5	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9P003	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P04156	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P16885	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q8N682	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P40198	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P15514	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q5QGZ9	Hepatitis delta virus	Kolmioviridae
physical association	P29996	O75427	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q1W4C9	Hepatitis delta virus	Kolmioviridae
physical association	P0C6L3	P06748	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q8IVU1	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P46108	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q15391	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P25024	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q8N6Q1	Hepatitis delta virus	Kolmioviridae
physical association	P29996	O43493	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9Y287	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P04118	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9Y257	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9Y6H8	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9H3K2	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q969E2	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P13236	Hepatitis delta virus	Kolmioviridae
physical association	P29996	O75841	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q29983	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9H0C2	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q8N0W7	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P43121	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9UKY0	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q96B96	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q5DX21	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q4U2R8	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9UK00	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q5T4F4	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q6ICI0	Hepatitis delta virus	Kolmioviridae
physical association	P29996	A0AV02	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q13421	Hepatitis delta virus	Kolmioviridae
physical association	P29996	O60896	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P58658	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q5JW98	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q8WY98	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q8TAF8	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9Y3E5	Hepatitis delta virus	Kolmioviridae
physical association	P29996	O60779	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9NUH8	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q96FX8	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P11169	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9Y5H7	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q3YBM2	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q8IYJ0	Hepatitis delta virus	Kolmioviridae
physical association	P29996	O43825	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q16853	Hepatitis delta virus	Kolmioviridae
physical association	P0C6L3	P52292	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q86T03	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q96J86	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q5W0Z9	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q92982	Hepatitis delta virus	Kolmioviridae
