,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,log10FDR
0,Reactome_2022,Platelet Degranulation,2/125,0.00335715123549,0.1125454117076834,0,0,26.914634146341463,153.323587344465,LGALS3BP;CALU,0.9486722057781023
1,Reactome_2022,Response To Elevated Platelet Cytosolic Ca2+,2/130,0.003624975058181,0.1125454117076834,0,0,25.856770833333332,145.31266993008884,LGALS3BP;CALU,0.9486722057781023
2,Reactome_2022,Telomere C-strand Synthesis Initiation,1/12,0.0083699358209422,0.1125454117076834,0,0,139.6853146853147,668.1300945358273,TERF2,0.9486722057781023
3,Reactome_2022,Removal Of Flap Intermediate From C-strand,1/17,0.0118381886593292,0.1125454117076834,0,0,96.0096153846154,425.9394239533147,TERF2,0.9486722057781023
4,Reactome_2022,"Platelet Activation, Signaling And Aggregation",2/254,0.0132201526041538,0.1125454117076834,0,0,13.051587301587302,56.46133504773323,LGALS3BP;CALU,0.9486722057781023
5,Reactome_2022,Processive Synthesis On C-strand Of Telomere,1/19,0.013222334171232,0.1125454117076834,0,0,85.33333333333333,369.13902050225767,TERF2,0.9486722057781023
6,Reactome_2022,Inflammasomes,1/21,0.0146046795939876,0.1125454117076834,0,0,76.79230769230769,324.5560291468294,AIM2,0.9486722057781023
7,Reactome_2022,Telomere Extension By Telomerase,1/23,0.015985227036696,0.1125454117076834,0,0,69.8041958041958,288.7164567086745,TERF2,0.9486722057781023
8,Reactome_2022,Polymerase Switching On C-strand Of Telomere,1/25,0.0173639786153884,0.1125454117076834,0,0,63.98076923076923,259.3369252570107,TERF2,0.9486722057781023
9,Reactome_2022,HDMs Demethylate Histones,1/26,0.0180526816175866,0.1125454117076834,0,0,61.418461538461536,246.562020931719,KDM5C,0.9486722057781023
10,Reactome_2022,DNA Repair,2/310,0.0192712479668301,0.1125454117076834,0,0,10.648268398268398,42.05151369918778,HERC2;TERF2,0.9486722057781023
11,Reactome_2022,"Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity",1/31,0.0214894793855565,0.1125454117076834,0,0,51.16923076923077,196.4996601316088,EPB41L1,0.9486722057781023
12,Reactome_2022,Packaging Of Telomere Ends,1/33,0.022861068741375,0.1125454117076834,0,0,47.96634615384615,181.23219876999113,TERF2,0.9486722057781023
