Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cellular Response To Tumor Necrosis Factor (GO:0071356)	3/119	7.415614e-04	1.077951e-01	0	0	1.901724e+01	1.370526e+02	AIM2;TANK;TNFRSF1A
GO_Biological_Process_2023	Defense Response To Symbiont (GO:0140546)	3/148	1.392368e-03	1.077951e-01	0	0	1.519157e+01	9.991115e+01	AIM2;MAP3K14;TANK
GO_Biological_Process_2023	Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209)	2/38	1.478588e-03	1.077951e-01	0	0	3.955159e+01	2.577446e+02	AIM2;TNFRSF1A
GO_Biological_Process_2023	I-kappaB kinase/NF-kappaB Signaling (GO:0007249)	2/45	2.068701e-03	1.077951e-01	0	0	3.310133e+01	2.045938e+02	MAP3K14;TANK
GO_Biological_Process_2023	Cellular Response To Mechanical Stimulus (GO:0071260)	2/48	2.350495e-03	1.077951e-01	0	0	3.093789e+01	1.872710e+02	MAP3K14;TNFRSF1A
GO_Biological_Process_2023	DNA Damage Response (GO:0006974)	4/384	2.470102e-03	1.077951e-01	0	0	7.931174e+00	4.761477e+01	AIM2;HERC2;INTS3;TANK
GO_Biological_Process_2023	Defense Response To Virus (GO:0051607)	3/189	2.794687e-03	1.077951e-01	0	0	1.181840e+01	6.949260e+01	AIM2;MAP3K14;TANK
GO_Biological_Process_2023	Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	3/232	4.964770e-03	1.087469e-01	0	0	9.578360e+00	5.081692e+01	MAP3K14;TANK;TNFRSF1A
GO_Biological_Process_2023	Response To Ionizing Radiation (GO:0010212)	2/72	5.208639e-03	1.087469e-01	0	0	2.030612e+01	1.067582e+02	INTS3;TANK
GO_Biological_Process_2023	Regulation Of Protein Deubiquitination (GO:0090085)	1/5	7.478193e-03	1.087469e-01	0	0	1.721207e+02	8.426623e+02	TANK
GO_Biological_Process_2023	Regulation Of T-Circle Formation (GO:1904429)	1/5	7.478193e-03	1.087469e-01	0	0	1.721207e+02	8.426623e+02	TERF2
GO_Biological_Process_2023	Regulation Of Lysosome Organization (GO:1905671)	1/5	7.478193e-03	1.087469e-01	0	0	1.721207e+02	8.426623e+02	SCARB2
GO_Biological_Process_2023	Aminophospholipid Transport (GO:0015917)	1/5	7.478193e-03	1.087469e-01	0	0	1.721207e+02	8.426623e+02	SCARB2
GO_Biological_Process_2023	Positive Regulation Of Helicase Activity (GO:0051096)	1/6	8.967338e-03	1.087469e-01	0	0	1.376897e+02	6.490920e+02	SSBP1
GO_Biological_Process_2023	Negative Regulation Of Telomere Capping (GO:1904354)	1/6	8.967338e-03	1.087469e-01	0	0	1.376897e+02	6.490920e+02	TERF2
GO_Biological_Process_2023	Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane (GO:0098887)	1/6	8.967338e-03	1.087469e-01	0	0	1.376897e+02	6.490920e+02	GRIPAP1
GO_Biological_Process_2023	Autophagosome Membrane Docking (GO:0016240)	1/6	8.967338e-03	1.087469e-01	0	0	1.376897e+02	6.490920e+02	STX17
GO_Biological_Process_2023	ncRNA Processing (GO:0034470)	2/100	9.828578e-03	1.087469e-01	0	0	1.448397e+01	6.695156e+01	EBNA1BP2;INTS3
GO_Biological_Process_2023	Peptidyl-Lysine Hydroxylation (GO:0017185)	1/7	1.045432e-02	1.087469e-01	0	0	1.147356e+02	5.232793e+02	PLOD3
GO_Biological_Process_2023	Peptidyl-Tyrosine Dephosphorylation Involved In Inactivation Of Protein Kinase Activity (GO:1990264)	1/7	1.045432e-02	1.087469e-01	0	0	1.147356e+02	5.232793e+02	PTPRR
GO_Biological_Process_2023	Telomeric D-loop Disassembly (GO:0061820)	1/7	1.045432e-02	1.087469e-01	0	0	1.147356e+02	5.232793e+02	TERF2
GO_Biological_Process_2023	Regulation Of Extracellular Matrix Constituent Secretion (GO:0003330)	1/7	1.045432e-02	1.087469e-01	0	0	1.147356e+02	5.232793e+02	TNFRSF1A
GO_Biological_Process_2023	Neurotransmitter Receptor Transport, Endosome To Plasma Membrane (GO:0099639)	1/7	1.045432e-02	1.087469e-01	0	0	1.147356e+02	5.232793e+02	GRIPAP1
GO_Biological_Process_2023	Positive Regulation Of Inflammatory Response (GO:0050729)	2/104	1.059539e-02	1.087469e-01	0	0	1.391317e+01	6.326784e+01	AIM2;TNFRSF1A
GO_Biological_Process_2023	Cellular Response To Cytokine Stimulus (GO:0071345)	3/308	1.079741e-02	1.087469e-01	0	0	7.163934e+00	3.244151e+01	AIM2;TANK;TNFRSF1A
GO_Biological_Process_2023	Regulation Of Endothelial Cell Development (GO:1901550)	1/8	1.193915e-02	1.087469e-01	0	0	9.833990e+01	4.354424e+02	TNFRSF1A
GO_Biological_Process_2023	Regulation Of Helicase Activity (GO:0051095)	1/8	1.193915e-02	1.087469e-01	0	0	9.833990e+01	4.354424e+02	SSBP1
GO_Biological_Process_2023	Negative Regulation Of Chromosome Organization (GO:2001251)	1/8	1.193915e-02	1.087469e-01	0	0	9.833990e+01	4.354424e+02	TERF2
GO_Biological_Process_2023	Negative Regulation Of Extracellular Matrix Organization (GO:1903054)	1/9	1.342183e-02	1.087469e-01	0	0	8.604310e+01	3.709209e+02	TNFRSF1A
GO_Biological_Process_2023	Telomeric Loop Disassembly (GO:0090657)	1/9	1.342183e-02	1.087469e-01	0	0	8.604310e+01	3.709209e+02	TERF2
GO_Biological_Process_2023	Mitochondrial DNA Replication (GO:0006264)	1/9	1.342183e-02	1.087469e-01	0	0	8.604310e+01	3.709209e+02	SSBP1
GO_Biological_Process_2023	Positive Regulation Of Mitochondrial Membrane Permeability (GO:0035794)	1/9	1.342183e-02	1.087469e-01	0	0	8.604310e+01	3.709209e+02	CHCHD10
GO_Biological_Process_2023	Neurotransmitter Receptor Transport To Postsynaptic Membrane (GO:0098969)	1/9	1.342183e-02	1.087469e-01	0	0	8.604310e+01	3.709209e+02	GRIPAP1
GO_Biological_Process_2023	Positive Regulation Of Defense Response (GO:0031349)	2/124	1.480936e-02	1.087469e-01	0	0	1.162061e+01	4.895177e+01	AIM2;TNFRSF1A
GO_Biological_Process_2023	Maintenance Of Synapse Structure (GO:0099558)	1/10	1.490236e-02	1.087469e-01	0	0	7.647893e+01	3.216884e+02	CHCHD10
GO_Biological_Process_2023	Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901030)	1/10	1.490236e-02	1.087469e-01	0	0	7.647893e+01	3.216884e+02	CHCHD10
GO_Biological_Process_2023	Positive Regulation Of DNA-templated DNA Replication (GO:2000105)	1/10	1.490236e-02	1.087469e-01	0	0	7.647893e+01	3.216884e+02	SSBP1
GO_Biological_Process_2023	Telomere Maintenance In Response To DNA Damage (GO:0043247)	1/11	1.638073e-02	1.163894e-01	0	0	6.882759e+01	2.829949e+02	TERF2
GO_Biological_Process_2023	Protein Hydroxylation (GO:0018126)	1/13	1.933106e-02	1.171694e-01	0	0	5.735057e+01	2.263078e+02	PLOD3
GO_Biological_Process_2023	Peptidyl-Methionine Modification (GO:0018206)	1/13	1.933106e-02	1.171694e-01	0	0	5.735057e+01	2.263078e+02	LSM8
GO_Biological_Process_2023	ERBB2 Signaling Pathway (GO:0038128)	1/13	1.933106e-02	1.171694e-01	0	0	5.735057e+01	2.263078e+02	PTPRR
GO_Biological_Process_2023	Protein Localization To Phagophore Assembly Site (GO:0034497)	1/13	1.933106e-02	1.171694e-01	0	0	5.735057e+01	2.263078e+02	STX17
GO_Biological_Process_2023	Mitochondrial DNA Metabolic Process (GO:0032042)	1/13	1.933106e-02	1.171694e-01	0	0	5.735057e+01	2.263078e+02	SSBP1
GO_Biological_Process_2023	Telomere Capping (GO:0016233)	1/14	2.080301e-02	1.171694e-01	0	0	5.293634e+01	2.050043e+02	TERF2
GO_Biological_Process_2023	Regulation Of Carbohydrate Catabolic Process (GO:0043470)	1/14	2.080301e-02	1.171694e-01	0	0	5.293634e+01	2.050043e+02	SCARB2
