Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	MAPK signaling pathway	3/294	9.519388e-03	1.318270e-01	0	0	7.513937e+00	3.497305e+01	PTPRR;MAP3K14;TNFRSF1A
KEGG_2021_Human	NF-kappa B signaling pathway	2/104	1.059539e-02	1.318270e-01	0	0	1.391317e+01	6.326784e+01	MAP3K14;TNFRSF1A
KEGG_2021_Human	TNF signaling pathway	2/112	1.220593e-02	1.318270e-01	0	0	1.289610e+01	5.681808e+01	MAP3K14;TNFRSF1A
KEGG_2021_Human	Sulfur metabolism	1/10	1.490236e-02	1.318270e-01	0	0	7.647893e+01	3.216884e+02	SELENBP1
KEGG_2021_Human	Osteoclast differentiation	2/127	1.549456e-02	1.318270e-01	0	0	1.134000e+01	4.725680e+01	MAP3K14;TNFRSF1A
KEGG_2021_Human	Amyotrophic lateral sclerosis	3/364	1.687514e-02	1.318270e-01	0	0	6.035396e+00	2.463596e+01	CHCHD10;TANK;TNFRSF1A
KEGG_2021_Human	Autophagy	2/137	1.787524e-02	1.318270e-01	0	0	1.049471e+01	4.223426e+01	STX17;TANK
KEGG_2021_Human	Apoptosis	2/142	1.912031e-02	1.318270e-01	0	0	1.011735e+01	4.003438e+01	MAP3K14;TNFRSF1A
KEGG_2021_Human	Spliceosome	2/150	2.118648e-02	1.318270e-01	0	0	9.566602e+00	3.687343e+01	LSM8;ACIN1
KEGG_2021_Human	NOD-like receptor signaling pathway	2/181	3.001439e-02	1.680806e-01	0	0	7.897446e+00	2.768907e+01	AIM2;TANK
KEGG_2021_Human	Mismatch repair	1/23	3.395486e-02	1.728611e-01	0	0	3.126646e+01	1.057658e+02	SSBP1
KEGG_2021_Human	Lipid and atherosclerosis	2/215	4.108336e-02	1.829641e-01	0	0	6.625419e+00	2.114935e+01	TANK;TNFRSF1A
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	2/219	4.247380e-02	1.829641e-01	0	0	6.501975e+00	2.053888e+01	MAP3K14;TNFRSF1A
KEGG_2021_Human	SNARE interactions in vesicular transport	1/33	4.836776e-02	1.934710e-01	0	0	2.148491e+01	6.507613e+01	STX17
KEGG_2021_Human	DNA replication	1/36	5.265094e-02	1.965635e-01	0	0	1.964039e+01	5.782272e+01	SSBP1
KEGG_2021_Human	Homologous recombination	1/41	5.974820e-02	2.091187e-01	0	0	1.718103e+01	4.840956e+01	SSBP1
KEGG_2021_Human	Other types of O-glycan biosynthesis	1/47	6.819709e-02	2.165274e-01	0	0	1.493553e+01	4.010718e+01	PLOD3
KEGG_2021_Human	Intestinal immune network for IgA production	1/48	6.959808e-02	2.165274e-01	0	0	1.461702e+01	3.895463e+01	MAP3K14
KEGG_2021_Human	Lysine degradation	1/63	9.037023e-02	2.331228e-01	0	0	1.107230e+01	2.661605e+01	PLOD3
KEGG_2021_Human	Cytosolic DNA-sensing pathway	1/63	9.037023e-02	2.331228e-01	0	0	1.107230e+01	2.661605e+01	AIM2
KEGG_2021_Human	Aminoacyl-tRNA biosynthesis	1/66	9.447052e-02	2.331228e-01	0	0	1.055968e+01	2.491523e+01	HARS2
