Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	TNFR1-induced Proapoptotic Signaling R-HSA-5357786	2/13	1.679192e-04	2.231450e-02	0	0	1.296039e+02	1.126521e+03	TANK;TNFRSF1A
Reactome_2022	TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway R-HSA-5676594	2/17	2.916929e-04	2.231450e-02	0	0	9.502381e+01	7.734757e+02	TANK;MAP3K14
Reactome_2022	TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541	3/100	4.464025e-04	2.276653e-02	0	0	2.276403e+01	1.756083e+02	MAP3K14;TANK;TNFRSF1A
Reactome_2022	TNFR1-induced NFkappaB Signaling Pathway R-HSA-5357956	2/26	6.912392e-04	2.643990e-02	0	0	5.936310e+01	4.319867e+02	TANK;TNFRSF1A
Reactome_2022	Regulation Of TNFR1 Signaling R-HSA-5357905	2/35	1.254936e-03	3.840105e-02	0	0	4.315368e+01	2.882955e+02	TANK;TNFRSF1A
Reactome_2022	TNF Signaling R-HSA-75893	2/44	1.978598e-03	5.045426e-02	0	0	3.389116e+01	2.109849e+02	TANK;TNFRSF1A
Reactome_2022	Defective RIPK1-mediated Regulated Necrosis R-HSA-9693928	1/5	7.478193e-03	1.634519e-01	0	0	1.721207e+02	8.426623e+02	TANK
Reactome_2022	TNFR1-mediated Ceramide Production R-HSA-5626978	1/6	8.967338e-03	1.715003e-01	0	0	1.376897e+02	6.490920e+02	TNFRSF1A
Reactome_2022	Platelet Degranulation R-HSA-114608	2/125	1.503625e-02	1.873633e-01	0	0	1.152555e+01	4.837610e+01	LGALS3BP;CALU
Reactome_2022	Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005	2/130	1.619325e-02	1.873633e-01	0	0	1.107254e+01	4.565388e+01	LGALS3BP;CALU
Reactome_2022	Dimerization Of Procaspase-8 R-HSA-69416	1/11	1.638073e-02	1.873633e-01	0	0	6.882759e+01	2.829949e+02	TANK
Reactome_2022	CASP8 Activity Is Inhibited R-HSA-5218900	1/11	1.638073e-02	1.873633e-01	0	0	6.882759e+01	2.829949e+02	TANK
Reactome_2022	TICAM1-dependent Activation Of IRF3/IRF7 R-HSA-9013973	1/12	1.785697e-02	1.873633e-01	0	0	6.256740e+01	2.518564e+02	TANK
Reactome_2022	Telomere C-strand Synthesis Initiation R-HSA-174430	1/12	1.785697e-02	1.873633e-01	0	0	6.256740e+01	2.518564e+02	TERF2
Reactome_2022	Death Receptor Signaling R-HSA-73887	2/139	1.836895e-02	1.873633e-01	0	0	1.034046e+01	4.133178e+01	TANK;TNFRSF1A
Reactome_2022	Caspase Activation Via Death Receptors In Presence Of Ligand R-HSA-140534	1/16	2.374052e-02	1.973363e-01	0	0	4.587356e+01	1.715934e+02	TANK
Reactome_2022	Activation Of IRF3/IRF7 Mediated By TBK1/IKK Epsilon R-HSA-936964	1/17	2.520608e-02	1.973363e-01	0	0	4.300431e+01	1.582847e+02	TANK
Reactome_2022	Removal Of Flap Intermediate From C-strand R-HSA-174437	1/17	2.520608e-02	1.973363e-01	0	0	4.300431e+01	1.582847e+02	TERF2
Reactome_2022	Regulation Of NF-kappa B Signaling R-HSA-9758274	1/18	2.666950e-02	1.973363e-01	0	0	4.047262e+01	1.466823e+02	TANK
Reactome_2022	Processive Synthesis On C-strand Of Telomere R-HSA-174414	1/19	2.813081e-02	1.973363e-01	0	0	3.822222e+01	1.364873e+02	TERF2
Reactome_2022	Apoptosis R-HSA-109581	2/178	2.910519e-02	1.973363e-01	0	0	8.033279e+00	2.841241e+01	ACIN1;TANK
Reactome_2022	Inflammasomes R-HSA-622312	1/21	3.104706e-02	1.973363e-01	0	0	3.439655e+01	1.194335e+02	AIM2
Reactome_2022	Telomere Extension By Telomerase R-HSA-171319	1/23	3.395486e-02	1.973363e-01	0	0	3.126646e+01	1.057658e+02	TERF2
Reactome_2022	CD28 Dependent PI3K/Akt Signaling R-HSA-389357	1/23	3.395486e-02	1.973363e-01	0	0	3.126646e+01	1.057658e+02	MAP3K14
Reactome_2022	Cytosolic tRNA Aminoacylation R-HSA-379716	1/24	3.540559e-02	1.973363e-01	0	0	2.990555e+01	9.991101e+01	AIMP1
Reactome_2022	TRAF6 Mediated NF-kB Activation R-HSA-933542	1/25	3.685421e-02	1.973363e-01	0	0	2.865805e+01	9.459406e+01	TANK
Reactome_2022	Polymerase Switching On C-strand Of Telomere R-HSA-174411	1/25	3.685421e-02	1.973363e-01	0	0	2.865805e+01	9.459406e+01	TERF2
Reactome_2022	HDMs Demethylate Histones R-HSA-3214842	1/26	3.830074e-02	1.973363e-01	0	0	2.751034e+01	8.974662e+01	KDM5C
Reactome_2022	Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769	1/26	3.830074e-02	1.973363e-01	0	0	2.751034e+01	8.974662e+01	TANK
Reactome_2022	Programmed Cell Death R-HSA-5357801	2/208	3.869339e-02	1.973363e-01	0	0	6.852982e+00	2.228649e+01	ACIN1;TANK
Reactome_2022	TRAF6 Mediated IRF7 Activation R-HSA-933541	1/28	4.118748e-02	1.976376e-01	0	0	2.546999e+01	8.123960e+01	TANK
Reactome_2022	Regulation Of Necroptotic Cell Death R-HSA-5675482	1/29	4.262772e-02	1.976376e-01	0	0	2.455911e+01	7.749016e+01	TANK
Reactome_2022	TNFs Bind Their Physiological Receptors R-HSA-5669034	1/29	4.262772e-02	1.976376e-01	0	0	2.455911e+01	7.749016e+01	TNFRSF1A
Reactome_2022	Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721	1/31	4.550191e-02	1.989083e-01	0	0	2.291954e+01	7.082140e+01	EPB41L1
Reactome_2022	RIPK1-mediated Regulated Necrosis R-HSA-5213460	1/31	4.550191e-02	1.989083e-01	0	0	2.291954e+01	7.082140e+01	TANK
Reactome_2022	Packaging Of Telomere Ends R-HSA-171306	1/33	4.836776e-02	2.000072e-01	0	0	2.148491e+01	6.507613e+01	TERF2
Reactome_2022	Telomere C-strand (Lagging Strand) Synthesis R-HSA-174417	1/33	4.836776e-02	2.000072e-01	0	0	2.148491e+01	6.507613e+01	TERF2
Reactome_2022	CD28 Co-Stimulation R-HSA-389356	1/34	4.979756e-02	2.005007e-01	0	0	2.083281e+01	6.249404e+01	MAP3K14
Reactome_2022	Post-translational Protein Modification R-HSA-597592	5/1383	5.278644e-02	2.021641e-01	0	0	2.698403e+00	7.937356e+00	HERC2;STX17;CCDC8;CALU;TANK
Reactome_2022	Cleavage Of Damaged Purine R-HSA-110331	1/37	5.407452e-02	2.021641e-01	0	0	1.909387e+01	5.570430e+01	TERF2
Reactome_2022	Platelet Activation, Signaling And Aggregation R-HSA-76002	2/254	5.536803e-02	2.021641e-01	0	0	5.589002e+00	1.617319e+01	LGALS3BP;CALU
Reactome_2022	Apoptotic Cleavage Of Cellular Proteins R-HSA-111465	1/38	5.549604e-02	2.021641e-01	0	0	1.857689e+01	5.371402e+01	ACIN1
Reactome_2022	Metabolism Of Proteins R-HSA-392499	6/1890	5.841988e-02	2.062599e-01	0	0	2.399947e+00	6.816087e+00	AIMP1;HERC2;STX17;CCDC8;CALU;TANK
Reactome_2022	tRNA Aminoacylation R-HSA-379724	1/42	6.116148e-02	2.062599e-01	0	0	1.676114e+01	4.683462e+01	AIMP1
Reactome_2022	Cleavage Of Damaged Pyrimidine R-HSA-110329	1/42	6.116148e-02	2.062599e-01	0	0	1.676114e+01	4.683462e+01	TERF2
Reactome_2022	Base-Excision Repair, AP Site Formation R-HSA-73929	1/44	6.398186e-02	2.062599e-01	0	0	1.597995e+01	4.393137e+01	TERF2
Reactome_2022	TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989	1/45	6.538898e-02	2.062599e-01	0	0	1.561599e+01	4.259107e+01	TANK
Reactome_2022	Interleukin-10 Signaling R-HSA-6783783	1/45	6.538898e-02	2.062599e-01	0	0	1.561599e+01	4.259107e+01	TNFRSF1A
Reactome_2022	Inhibition Of DNA Recombination At Telomere R-HSA-9670095	1/48	6.959808e-02	2.062599e-01	0	0	1.461702e+01	3.895463e+01	TERF2
Reactome_2022	Extension Of Telomeres R-HSA-180786	1/50	7.239397e-02	2.062599e-01	0	0	1.401900e+01	3.680874e+01	TERF2
Reactome_2022	Nonhomologous End-Joining (NHEJ) R-HSA-5693571	1/51	7.378886e-02	2.062599e-01	0	0	1.373793e+01	3.580857e+01	HERC2
Reactome_2022	Apoptotic Execution Phase R-HSA-75153	1/52	7.518173e-02	2.062599e-01	0	0	1.346788e+01	3.485282e+01	ACIN1
Reactome_2022	Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201	1/52	7.518173e-02	2.062599e-01	0	0	1.346788e+01	3.485282e+01	SSBP1
Reactome_2022	Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643	1/53	7.657257e-02	2.062599e-01	0	0	1.320822e+01	3.393875e+01	AIM2
Reactome_2022	Sensory Processing Of Sound By Outer Hair Cells Of Cochlea R-HSA-9662361	1/53	7.657257e-02	2.062599e-01	0	0	1.320822e+01	3.393875e+01	EPB41L1
Reactome_2022	DNA Repair R-HSA-73894	2/310	7.842461e-02	2.062599e-01	0	0	4.559833e+00	1.160759e+01	HERC2;TERF2
Reactome_2022	Regulated Necrosis R-HSA-5218859	1/57	8.211574e-02	2.062599e-01	0	0	1.226232e+01	3.065120e+01	TANK
Reactome_2022	Neurexins And Neuroligins R-HSA-6794361	1/57	8.211574e-02	2.062599e-01	0	0	1.226232e+01	3.065120e+01	EPB41L1
Reactome_2022	NIK To Noncanonical NF-kB Signaling R-HSA-5676590	1/58	8.349650e-02	2.062599e-01	0	0	1.204658e+01	2.991107e+01	MAP3K14
Reactome_2022	Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565	1/60	8.625199e-02	2.062599e-01	0	0	1.163705e+01	2.851639e+01	HERC2
Reactome_2022	Meiotic Synapsis R-HSA-1221632	1/60	8.625199e-02	2.062599e-01	0	0	1.163705e+01	2.851639e+01	TERF2
Reactome_2022	Cytokine Signaling In Immune System R-HSA-1280215	3/702	8.683831e-02	2.062599e-01	0	0	3.063265e+00	7.485723e+00	MAP3K14;TANK;TNFRSF1A
Reactome_2022	DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586	1/61	8.762674e-02	2.062599e-01	0	0	1.144253e+01	2.785877e+01	TERF2
Reactome_2022	DNA Double Strand Break Response R-HSA-5693606	1/61	8.762674e-02	2.062599e-01	0	0	1.144253e+01	2.785877e+01	HERC2
Reactome_2022	Dectin-1 Mediated Noncanonical NF-kB Signaling R-HSA-5607761	1/61	8.762674e-02	2.062599e-01	0	0	1.144253e+01	2.785877e+01	MAP3K14
Reactome_2022	Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949	1/63	9.037023e-02	2.094465e-01	0	0	1.107230e+01	2.661605e+01	AIM2
Reactome_2022	Mitochondrial Protein Import R-HSA-1268020	1/65	9.310575e-02	2.094465e-01	0	0	1.072522e+01	2.546187e+01	CHCHD10
Reactome_2022	COPII-mediated Vesicle Transport R-HSA-204005	1/66	9.447052e-02	2.094465e-01	0	0	1.055968e+01	2.491523e+01	STX17
Reactome_2022	Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814	1/67	9.583331e-02	2.094465e-01	0	0	1.039916e+01	2.438755e+01	PLOD3
Reactome_2022	Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360	1/67	9.583331e-02	2.094465e-01	0	0	1.039916e+01	2.438755e+01	EPB41L1
Reactome_2022	Costimulation By CD28 Family R-HSA-388841	1/68	9.719412e-02	2.094465e-01	0	0	1.024344e+01	2.387792e+01	MAP3K14
Reactome_2022	Diseases Of Programmed Cell Death R-HSA-9645723	1/71	1.012647e-01	2.150752e-01	0	0	9.802956e+00	2.244894e+01	TANK
Reactome_2022	Base Excision Repair R-HSA-73884	1/72	1.026176e-01	2.150752e-01	0	0	9.664400e+00	2.200339e+01	TERF2
Reactome_2022	RNA Polymerase II Transcribes snRNA Genes R-HSA-6807505	1/74	1.053175e-01	2.172851e-01	0	0	9.398677e+00	2.115432e+01	INTS3
Reactome_2022	Sensory Processing Of Sound R-HSA-9659379	1/75	1.066645e-01	2.172851e-01	0	0	9.271202e+00	2.074957e+01	EPB41L1
Reactome_2022	SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214	1/76	1.080095e-01	2.172851e-01	0	0	9.147126e+00	2.035726e+01	HERC2
Reactome_2022	G2/M DNA Damage Checkpoint R-HSA-69473	1/77	1.093526e-01	2.172851e-01	0	0	9.026316e+00	1.997684e+01	HERC2
