Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Signal Transduction R-HSA-162582	29/2465	1.960426786280172e-09	1.13900796282878e-06	0	0	4.842746400885936	97.09756723663688	ALK;CCNT1;TNKS;CXCR4;TANK;THBS1;SOX2;CDH5;MAPK8;CASP8;SOCS1;ERBB3;ERBB4;MYB;CAMK2G;USP7;CAV1;PLK1;PML;NFKB1;TNFRSF1A;CYLD;RARA;BAX;AMOTL2;PPARG;TP53;FGFR1;EIF4G1
Reactome_2022	Generic Transcription Pathway R-HSA-212436	20/1190	4.229591418542356e-09	1.2286963070865543e-06	0	0	6.166337935568705	118.89415106243206	USP7;CCNT1;CAV1;UBE2E1;THBS1;PML;NFKB1;SOX2;CDK7;RAD51;MYB;RARA;BAX;PPARG;CDK12;TP53;E2F6;CAMK2G;TP63;TAF1
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	20/1312	2.1983646437185173e-08	3.4080591466238028e-06	0	0	5.547749464158133	97.82328324667958	USP7;CCNT1;CAV1;UBE2E1;THBS1;PML;NFKB1;SOX2;CDK7;RAD51;MYB;RARA;BAX;PPARG;CDK12;TP53;E2F6;CAMK2G;TP63;TAF1
Reactome_2022	Cytokine Signaling In Immune System R-HSA-1280215	15/702	2.3463402042160432e-08	3.4080591466238028e-06	0	0	7.370336321152226	129.4807712345256	UBE2E1;MSN;SAMHD1;TANK;PML;NFKB1;TNFRSF1A;SOD1;SOX2;MAPK8;CASP8;SOCS1;TP53;CAMK2G;EIF4G1
GO_Biological_Process_2021	regulation of extrinsic apoptotic signaling pathway (GO:2001236)	7/64	3.0658804515860182e-09	4.6662700473139206e-06	0	0	37.543049932523616	735.953819193117	CYLD;CASP8;CAV1;FAS;THBS1;PML;FGFR1
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	16/742	6.4889467178663284e-09	4.9380884522962754e-06	0	0	7.556867375049193	142.47087213341152	ALK;ANXA5;PLK1;THBS1;NFKB1;NME1;AQP1;SOD1;MAPK8;CASP8;ALB;FAS;BAX;TP53;TP63;SNCA
GO_Biological_Process_2021	cellular response to mechanical stimulus (GO:0071260)	6/49	2.177370190770604e-08	7.171820648692587e-06	0	0	42.04016913319239	741.6963295146173	MAPK8;CASP8;FAS;NFKB1;AQP1;TNFRSF1A
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	19/1183	2.356051461462742e-08	7.171820648692587e-06	0	0	5.778966478635804	101.49999676159744	CCNT1;TNKS;ILK;PML;NFKB1;TNFRSF1A;SOX2;PER1;CDK7;PHF5A;ERBB4;MED21;MYB;REL;RARA;PPARG;OTX1;TP53;TP63
GO_Biological_Process_2021	negative regulation of apoptotic process (GO:0043066)	13/485	1.6452316752458098e-08	7.171820648692587e-06	0	0	9.082447572536628	162.7828871173311	CAV1;ANXA5;PLK1;THBS1;NFKB1;AQP1;SOD1;MAPK8;ERBB3;ALB;FAS;TP53;SNCA
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	17/948	3.0835115336023606e-08	7.821840923571322e-06	0	0	6.306981740064447	109.07680011825308	CAV1;PLK1;GMNN;BMI1;PML;NFKB1;DCAF1;SOX2;PER1;MYB;RARA;PPARG;TP53;E2F6;TP63;SNCA;TAF1
