Pathway	SHAP_sum	GeneCount
regulation of transcription by RNA polymerase II (GO:0006357)	0.12207845469952551	72
regulation of transcription, DNA-templated (GO:0006355)	0.10367034151021932	65
positive regulation of transcription, DNA-templated (GO:0045893)	0.09520121017617492	60
cellular protein modification process (GO:0006464)	0.08025646610865682	59
negative regulation of transcription, DNA-templated (GO:0045892)	0.07732960111567504	48
positive regulation of transcription by RNA polymerase II (GO:0045944)	0.0752878979400841	46
mRNA splicing, via spliceosome (GO:0000398)	0.0640906870170124	46
regulation of gene expression (GO:0010468)	0.06393256580717381	44
regulation of apoptotic process (GO:0042981)	0.06284680167349309	48
negative regulation of transcription by RNA polymerase II (GO:0000122)	0.06274888319791759	37
mRNA processing (GO:0006397)	0.0623490454774049	44
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	0.0599807431366931	42
positive regulation of cellular process (GO:0048522)	0.0525751437853276	33
regulation of cell population proliferation (GO:0042127)	0.0442437407321854	33
protein phosphorylation (GO:0006468)	0.042779262457571805	28
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	0.0423168742596345	29
RNA processing (GO:0006396)	0.041544047990578106	27
gene expression (GO:0010467)	0.0414991439702731	32
negative regulation of apoptotic process (GO:0043066)	0.041014238892637694	35
transcription by RNA polymerase II (GO:0006366)	0.040962022181333595	27
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	0.04074446423849931	28
cytokine-mediated signaling pathway (GO:0019221)	0.0404692687521805	28
neutrophil degranulation (GO:0043312)	0.03943011367025641	29
neutrophil activation involved in immune response (GO:0002283)	0.03943011367025641	29
neutrophil mediated immunity (GO:0002446)	0.03943011367025641	29
phosphorylation (GO:0016310)	0.03939695045486951	25
regulation of intracellular signal transduction (GO:1902531)	0.0386338987291321	22
protein ubiquitination (GO:0016567)	0.038373880423617196	31
negative regulation of nucleic acid-templated transcription (GO:1903507)	0.0380750440901485	26
ncRNA processing (GO:0034470)	0.0377985200218695	18
positive regulation of gene expression (GO:0010628)	0.0375623317511537	27
rRNA processing (GO:0006364)	0.0364695407183184	20
positive regulation of intracellular signal transduction (GO:1902533)	0.035268766182769	29
ubiquitin-dependent protein catabolic process (GO:0006511)	0.0347846147639291	26
ribosome biogenesis (GO:0042254)	0.0344811723405164	18
rRNA metabolic process (GO:0016072)	0.0342256533972736	17
transcription, DNA-templated (GO:0006351)	0.03409612622909449	24
negative regulation of programmed cell death (GO:0043069)	0.032934590783312095	28
cellular response to cytokine stimulus (GO:0071345)	0.0329008987241376	20
positive regulation of cell population proliferation (GO:0008284)	0.032504382230311296	23
negative regulation of cellular process (GO:0048523)	0.0320203550325425	25
protein stabilization (GO:0050821)	0.031809650971943	20
regulation of programmed cell death (GO:0043067)	0.030744476200906794	19
positive regulation of nucleic acid-templated transcription (GO:1903508)	0.030674292998912694	22
regulation of mitotic cell cycle phase transition (GO:1901990)	0.030582219065427897	20
protein modification by small protein removal (GO:0070646)	0.029921239217458602	19
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	0.029767286008762505	24
organelle assembly (GO:0070925)	0.029302859186061604	18
regulation of protein phosphorylation (GO:0001932)	0.0289642775990199	15
RNA metabolic process (GO:0016070)	0.028837180611442696	17
cellular macromolecule biosynthetic process (GO:0034645)	0.028423303465575398	22
regulation of canonical Wnt signaling pathway (GO:0060828)	0.0280763292519826	23
positive regulation of apoptotic process (GO:0043065)	0.0278777693061491	21
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	0.0278153493981128	16
cellular response to DNA damage stimulus (GO:0006974)	0.027414960912082998	23
regulation of signal transduction by p53 class mediator (GO:1901796)	0.027407692031719603	16
protein deubiquitination (GO:0016579)	0.0270769594439167	17
protein-containing complex assembly (GO:0065003)	0.027058328673944598	22
MAPK cascade (GO:0000165)	0.0269133800305467	20
mitotic cell cycle phase transition (GO:0044772)	0.0268508271437302	16
ribonucleoprotein complex assembly (GO:0022618)	0.026771120460427903	23
RNA splicing (GO:0008380)	0.026127374997183202	17
positive regulation of programmed cell death (GO:0043068)	0.025950278512519697	18
transcription initiation from RNA polymerase II promoter (GO:0006367)	0.0258344235695885	15
DNA-templated transcription, initiation (GO:0006352)	0.0258344235695885	15
regulation of cell migration (GO:0030334)	0.025603668708473203	13
post-translational protein modification (GO:0043687)	0.025109731110087595	23
regulation of mRNA splicing, via spliceosome (GO:0048024)	0.024862619560297502	14
nuclear-transcribed mRNA catabolic process (GO:0000956)	0.024823872036590495	17
protein transport (GO:0015031)	0.0247689335609763	15
protein modification by small protein conjugation (GO:0032446)	0.0244777850240966	21
proteasomal protein catabolic process (GO:0010498)	0.0239843696031321	18
regulation of cell cycle (GO:0051726)	0.0239569736429632	19
regulation of cellular macromolecule biosynthetic process (GO:2000112)	0.0238211670519224	16
cellular protein metabolic process (GO:0044267)	0.0238191536220211	21
positive regulation of phosphorylation (GO:0042327)	0.0230983248186413	16
cilium assembly (GO:0060271)	0.022769311738567798	13
cell cycle G2/M phase transition (GO:0044839)	0.022596294988931197	12
G2/M transition of mitotic cell cycle (GO:0000086)	0.022596294988931197	12
nucleic acid metabolic process (GO:0090304)	0.0225591436948821	12
positive regulation of DNA-binding transcription factor activity (GO:0051091)	0.0224400314118021	15
positive regulation of intracellular protein transport (GO:0090316)	0.022257907776458894	20
protein-DNA complex assembly (GO:0065004)	0.022102461461992098	17
negative regulation of Wnt signaling pathway (GO:0030178)	0.022021844243624203	17
negative regulation of canonical Wnt signaling pathway (GO:0090090)	0.022021844243624203	17
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	0.021850450365852096	15
positive regulation of multicellular organismal process (GO:0051240)	0.0217970282011922	13
protein autophosphorylation (GO:0046777)	0.021569604614576104	10
response to cytokine (GO:0034097)	0.021553001634211102	15
regulation of nucleic acid-templated transcription (GO:1903506)	0.021340847610616803	15
positive regulation of cell migration (GO:0030335)	0.0212253596959587	12
supramolecular fiber organization (GO:0097435)	0.0211725817684909	16
negative regulation of cell population proliferation (GO:0008285)	0.0205685628730168	18
positive regulation of developmental process (GO:0051094)	0.020558712561034302	11
protein polyubiquitination (GO:0000209)	0.020479281422419202	19
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	0.0204280962523499	16
ciliary basal body-plasma membrane docking (GO:0097711)	0.0203174608835517	10
mRNA metabolic process (GO:0016071)	0.0202888537841591	13
positive regulation of protein phosphorylation (GO:0001934)	0.0202231685476106	16
modification-dependent protein catabolic process (GO:0019941)	0.0202032204804362	16
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	0.0200978856970498	11
regulation of phosphorylation (GO:0042325)	0.019883026054380297	9
nucleotide-excision repair (GO:0006289)	0.019881865708223895	15
negative regulation of protein metabolic process (GO:0051248)	0.019878982379191	10
regulation of cell cycle G2/M phase transition (GO:1902749)	0.019815870518948397	10
transcription elongation from RNA polymerase II promoter (GO:0006368)	0.019714230053583394	12
DNA-templated transcription, elongation (GO:0006354)	0.019714230053583394	12
regulation of translation (GO:0006417)	0.0197047943169982	13
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	0.0196966419481076	11
DNA-dependent DNA replication (GO:0006261)	0.0196790065700084	13
positive regulation of macromolecule metabolic process (GO:0010604)	0.019672079797601	15
positive regulation of signal transduction (GO:0009967)	0.019636808778854306	15
regulation of mitotic cell cycle (GO:0007346)	0.0196283002416884	20
cellular response to oxygen-containing compound (GO:1901701)	0.0193448458282404	11
regulation of autophagy (GO:0010506)	0.019218621689302898	16
cellular response to hypoxia (GO:0071456)	0.019215862126997003	13
negative regulation of gene expression (GO:0010629)	0.018843374198376697	12
regulation of angiogenesis (GO:0045765)	0.0188163842064169	8
transcription-coupled nucleotide-excision repair (GO:0006283)	0.018680105215406397	14
regulation of protein binding (GO:0043393)	0.0186132509442517	15
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	0.018454303582800903	9
negative regulation of intracellular signal transduction (GO:1902532)	0.0184238002058229	12
inflammatory response (GO:0006954)	0.0182042862122385	8
response to endoplasmic reticulum stress (GO:0034976)	0.0181868959395603	11
cellular calcium ion homeostasis (GO:0006874)	0.0181405033606218	10
snRNA transcription by RNA polymerase II (GO:0042795)	0.017919487080245197	11
snRNA transcription (GO:0009301)	0.017919487080245197	11
positive regulation of Wnt signaling pathway (GO:0030177)	0.0178893189152357	15
regulation of cell differentiation (GO:0045595)	0.017605304550324302	6
negative regulation of DNA-binding transcription factor activity (GO:0043433)	0.0175472049214438	9
regulation of viral transcription (GO:0046782)	0.017459410931900197	10
positive regulation of transferase activity (GO:0051347)	0.017320812819227302	13
cellular component assembly (GO:0022607)	0.0171822065831629	14
positive regulation of protein modification process (GO:0031401)	0.0171615344452894	10
cellular response to organic cyclic compound (GO:0071407)	0.0170201893380479	8
regulation of protein modification process (GO:0031399)	0.0169795118031231	7
negative regulation of signal transduction (GO:0009968)	0.0168776862513773	10
positive regulation of cellular protein metabolic process (GO:0032270)	0.0167643902807344	11
regulation of DNA-templated transcription, initiation (GO:2000142)	0.0167222268175153	8
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	0.016699434816468902	12
DNA metabolic process (GO:0006259)	0.0166609548884185	12
inorganic cation transmembrane transport (GO:0098662)	0.016606273424943998	10
regulation of mRNA catabolic process (GO:0061013)	0.016551694362088	10
cell-matrix adhesion (GO:0007160)	0.016435150087267397	7
positive regulation of viral process (GO:0048524)	0.016418636106278698	10
cellular response to tumor necrosis factor (GO:0071356)	0.0164049453951387	12
