Pathway	SHAP_sum	GeneCount
Signal Transduction R-HSA-162582	0.17175276568397532	114
Disease R-HSA-1643685	0.15565190616123628	108
Metabolism Of Proteins R-HSA-392499	0.1418157232481402	93
Gene Expression (Transcription) R-HSA-74160	0.1264436491137926	81
RNA Polymerase II Transcription R-HSA-73857	0.11978690311594241	77
Immune System R-HSA-168256	0.1077839673781676	79
Generic Transcription Pathway R-HSA-212436	0.1024189606404296	65
Metabolism Of RNA R-HSA-8953854	0.09821204392189932	68
Developmental Biology R-HSA-1266738	0.09437118355714033	68
Post-translational Protein Modification R-HSA-597592	0.088955302439478	61
Infectious Disease R-HSA-5663205	0.08647780632137199	64
Metabolism R-HSA-1430728	0.0795390949751798	52
Cell Cycle R-HSA-1640170	0.07350096198481097	49
Cellular Responses To Stimuli R-HSA-8953897	0.07052625060648302	55
Cellular Responses To Stress R-HSA-2262752	0.07052625060648302	55
Innate Immune System R-HSA-168249	0.07032075393477462	50
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	0.0609870129566446	46
Signaling By Receptor Tyrosine Kinases R-HSA-9006934	0.06074125073476111	38
Cell Cycle, Mitotic R-HSA-69278	0.05491515864493809	40
Adaptive Immune System R-HSA-1280218	0.0511753072926535	30
Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203	0.048891692432691695	36
Transcriptional Regulation By TP53 R-HSA-3700989	0.04861540036377329	28
Cytokine Signaling In Immune System R-HSA-1280215	0.0485705598179903	38
mRNA Splicing R-HSA-72172	0.048522997939122396	35
mRNA Splicing - Major Pathway R-HSA-72163	0.048522997939122396	35
Translation R-HSA-72766	0.048106624038616715	27
M Phase R-HSA-68886	0.0451914329703826	33
Axon Guidance R-HSA-422475	0.044707378994932996	34
Nervous System Development R-HSA-9675108	0.044707378994932996	34
Neutrophil Degranulation R-HSA-6798695	0.0433025370531924	29
Programmed Cell Death R-HSA-5357801	0.04198368404863061	30
HIV Infection R-HSA-162906	0.0403976328270046	28
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	0.0393963851076261	28
Signaling By Rho GTPases R-HSA-194315	0.0393963851076261	28
Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169	0.039082748556619	23
Transport Of Small Molecules R-HSA-382551	0.03830213469571501	28
Signaling By Interleukins R-HSA-449147	0.036596356344406715	28
Apoptosis R-HSA-109581	0.03541399858228031	26
Deubiquitination R-HSA-5688426	0.034341267608109	21
Ub-specific Processing Proteases R-HSA-5689880	0.0336187877641034	20
rRNA Processing In Nucleus And Cytosol R-HSA-8868773	0.0326544127991253	18
rRNA Processing R-HSA-72312	0.0326544127991253	18
Mitotic G2-G2/M Phases R-HSA-453274	0.0325741074006512	20
G2/M Transition R-HSA-69275	0.0325741074006512	20
Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226	0.031630251516753805	17
Transcriptional Regulation By RUNX1 R-HSA-8878171	0.0304162316831932	21
Hemostasis R-HSA-109582	0.030276021093116293	23
Organelle Biogenesis And Maintenance R-HSA-1852241	0.028397141789524998	15
DNA Repair R-HSA-73894	0.02821504891061479	20
Signaling By WNT R-HSA-195721	0.027946325778540303	22
Cell Cycle Checkpoints R-HSA-69620	0.027862892645608803	19
Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168	0.027695268836408903	18
Signaling By ROBO Receptors R-HSA-376176	0.0275556011568407	22
Signaling By Nuclear Receptors R-HSA-9006931	0.027338583266953893	20
RNA Polymerase II Pre-transcription Events R-HSA-674695	0.027157343889734998	16
Metabolism Of Lipids R-HSA-556833	0.0269308916112219	15
Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553	0.0267448209160996	21
HIV Life Cycle R-HSA-162587	0.026230253404673994	18
Mitotic Metaphase And Anaphase R-HSA-2555396	0.025567351312418503	20
Mitotic Anaphase R-HSA-68882	0.025567351312418503	20
Regulation Of TP53 Activity R-HSA-5633007	0.0254529600222117	14
Late Phase Of HIV Life Cycle R-HSA-162599	0.025419473163932896	17
Intracellular Signaling By Second Messengers R-HSA-9006925	0.0247811497951473	20
ESR-mediated Signaling R-HSA-8939211	0.024338405416787393	18
Transcription Of HIV Genome R-HSA-167172	0.024249262363913896	15
PIP3 Activates AKT Signaling R-HSA-1257604	0.023143407036397102	19
TCF Dependent Signaling In Response To WNT R-HSA-201681	0.0230366286227733	19
Estrogen-dependent Gene Expression R-HSA-9018519	0.022920885159804495	15
Metabolism Of Amino Acids And Derivatives R-HSA-71291	0.0228703026550803	16
RHO GTPase Cycle R-HSA-9012999	0.022817924446871096	17
Mitotic Prometaphase R-HSA-68877	0.0227651002240481	14
Signaling By NOTCH R-HSA-157118	0.022598935008775602	19
L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827	0.0218918100592436	16
GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706	0.0218918100592436	16
Cap-dependent Translation Initiation R-HSA-72737	0.0218918100592436	16
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236	0.0216955298351686	16
Influenza Infection R-HSA-168255	0.021217998129208698	17
Cilium Assembly R-HSA-5617833	0.021210753224134897	11
Separation Of Sister Chromatids R-HSA-2467813	0.0209930738206372	15
Cellular Response To Starvation R-HSA-9711097	0.0209001686236673	15
Influenza Viral RNA Transcription And Replication R-HSA-168273	0.020679384782766996	16
Protein Localization R-HSA-9609507	0.020674848454153003	12
Antigen processing-Cross Presentation R-HSA-1236975	0.020588719092192	12
Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912	0.0203174608835517	10
DNA Replication R-HSA-69306	0.020227886272015404	16
Assembly Of Pre-Replicative Complex R-HSA-68867	0.020227886272015404	16
DNA Replication Pre-Initiation R-HSA-69002	0.020227886272015404	16
HIV Transcription Initiation R-HSA-167161	0.020186327443847595	11
Gene Silencing By RNA R-HSA-211000	0.020161593776869696	12
mRNA Splicing - Minor Pathway R-HSA-72165	0.019757740058244502	15
TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648	0.019691159985251297	12
Vesicle-mediated Transport R-HSA-5653656	0.019655995811876506	15
S Phase R-HSA-69242	0.0195724161850649	16
Activation Of HOX Genes During Differentiation R-HSA-5619507	0.0192143500116316	12
Chromosome Maintenance R-HSA-73886	0.0192113597274496	11
Mitotic G1 Phase And G1/S Transition R-HSA-453279	0.019105808915809597	15
Formation Of RNA Pol II Elongation Complex R-HSA-112382	0.018985684696984896	12
Interleukin-1 Family Signaling R-HSA-446652	0.018868446171149002	15
Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320	0.0186141100261309	9
Centrosome Maturation R-HSA-380287	0.0186141100261309	9
AURKA Activation By TPX2 R-HSA-8854518	0.0186141100261309	9
Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942	0.0186141100261309	9
Loss Of Nlp From Mitotic Centrosomes R-HSA-380259	0.0186141100261309	9
Membrane Trafficking R-HSA-199991	0.018609580234209503	13
Diseases Of Programmed Cell Death R-HSA-9645723	0.0184786317812883	12
G1/S Transition R-HSA-69206	0.018358020072983098	14
RAF/MAP Kinase Cascade R-HSA-5673001	0.018229701880122604	16
MAPK Family Signaling Cascades R-HSA-5683057	0.018229701880122604	16
MAPK1/MAPK3 Signaling R-HSA-5684996	0.018229701880122604	16
Formation Of A Pool Of Free 40S Subunits R-HSA-72689	0.0182153677383673	13
RNA Polymerase II Transcribes snRNA Genes R-HSA-6807505	0.018113396273325793	12
Transcription-Coupled Nucleotide Excision Repair (TC-NER) R-HSA-6781827	0.017793711992467397	13
Formation Of TC-NER Pre-Incision Complex R-HSA-6781823	0.017793711992467397	13
Nucleotide Excision Repair R-HSA-5696398	0.017793711992467397	13
RHO GTPase Effectors R-HSA-195258	0.017638669376568	12
Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517	0.0176371594642778	13
Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957	0.0174909029637293	14
Neddylation R-HSA-8951664	0.017461064368686004	16
Toll-like Receptor Cascades R-HSA-168898	0.017460566952861002	10
Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016	0.017460566952861002	10
ER-Phagosome Pathway R-HSA-1236974	0.0173913540163452	11
Asparagine N-linked Glycosylation R-HSA-446203	0.0173152828737017	9
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339	0.0172567769255404	12
Host Interactions Of HIV Factors R-HSA-162909	0.017180269081736	13
Regulated Necrosis R-HSA-5218859	0.017139339568061702	11
MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058	0.016987069033032102	9
PTEN Regulation R-HSA-6807070	0.016938140191385197	12
Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200	0.016861436796143898	11
Chromatin Modifying Enzymes R-HSA-3247509	0.0167707438575595	10
ABC-family Proteins Mediated Transport R-HSA-382556	0.0167440996045522	12
Transcriptional Regulation By Small RNAs R-HSA-5578749	0.0165887271522738	11
Interleukin-1 Signaling R-HSA-9020702	0.0165606134882557	13
Interferon Signaling R-HSA-913531	0.0164477917977921	10
SARS-CoV Infections R-HSA-9679506	0.0164053238289597	17
SARS-CoV-2 Infection R-HSA-9694516	0.0164053238289597	17
Telomere Maintenance R-HSA-157579	0.0162200326587045	10
Inhibition Of DNA Recombination At Telomere R-HSA-9670095	0.0162200326587045	10
Signaling By FGFR In Disease R-HSA-1226099	0.0161405421477175	12
Formation Of HIV-1 Elongation Complex Containing HIV-1 Tat R-HSA-167200	0.016077603171163798	11
Formation Of HIV Elongation Complex In Absence Of HIV Tat R-HSA-167152	0.016077603171163798	11
Cellular Senescence R-HSA-2559583	0.0156855427104621	13
Mitochondrial Translation R-HSA-5368287	0.015415574350360502	5
Mitochondrial Translation Initiation R-HSA-5368286	0.015415574350360502	5
Ribosomal Scanning And Start Codon Recognition R-HSA-72702	0.0153489295670855	12
mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662	0.0153489295670855	12
Translation Initiation Complex Formation R-HSA-72649	0.0153489295670855	12
PPARA Activates Gene Expression R-HSA-1989781	0.015237292796588697	8
Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206	0.015237292796588697	8
Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253	0.015101255115627899	12
Transcriptional Regulation Of White Adipocyte Differentiation R-HSA-381340	0.0150512362458424	7
Gap-filling DNA Repair Synthesis And Ligation In TC-NER R-HSA-6782210	0.0149494322189255	11
Dual Incision In TC-NER R-HSA-6782135	0.0149494322189255	11
Platelet Activation, Signaling And Aggregation R-HSA-76002	0.0149250121855404	13
HCMV Infection R-HSA-9609646	0.014884148315873699	7
HCMV Early Events R-HSA-9609690	0.014884148315873699	7
Ion Channel Transport R-HSA-983712	0.014524051909899	10
G2/M Checkpoints R-HSA-69481	0.0144051262291215	12
p53-Dependent G1 DNA Damage Response R-HSA-69563	0.014370304989865001	9
Stabilization Of P53 R-HSA-69541	0.014370304989865001	9
G1/S DNA Damage Checkpoints R-HSA-69615	0.014370304989865001	9
Regulation Of Apoptosis R-HSA-169911	0.0140879972976899	8
Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695	0.013995654247380501	11
Extracellular Matrix Organization R-HSA-1474244	0.013966492142037702	7
VEGFA-VEGFR2 Pathway R-HSA-4420097	0.013896255900973398	8
Signaling By VEGF R-HSA-194138	0.013896255900973398	8
Synthesis Of DNA R-HSA-69239	0.0138481287167772	12
Switching Of Origins To A Post-Replicative State R-HSA-69052	0.0138481287167772	12
Eukaryotic Translation Elongation R-HSA-156842	0.0134902362049928	10
mRNA Capping R-HSA-72086	0.013433408005327701	9
Formation Of Early Elongation Complex R-HSA-113418	0.013433408005327701	9
MicroRNA (miRNA) Biogenesis R-HSA-203927	0.013413141728062199	7
C-type Lectin Receptors (CLRs) R-HSA-5621481	0.0134032031028499	11
ER To Golgi Anterograde Transport R-HSA-199977	0.0131809129494339	6
Transport To Golgi And Subsequent Modification R-HSA-948021	0.0131809129494339	6
COPI-mediated Anterograde Transport R-HSA-6807878	0.0131809129494339	6
Respiratory Electron Transport R-HSA-611105	0.0131481392577488	9
Disorders Of Transmembrane Transporters R-HSA-5619115	0.012913338948323099	10
RIPK1-mediated Regulated Necrosis R-HSA-5213460	0.0129118353083689	8
Regulation Of Necroptotic Cell Death R-HSA-5675482	0.0129118353083689	8
Signaling By GPCR R-HSA-372790	0.012833302310148398	9
GPCR Downstream Signaling R-HSA-388396	0.012833302310148398	9
Transcriptional Regulation By RUNX3 R-HSA-8878159	0.012773937074227198	11
Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202	0.0127728940696215	11
Pausing And Recovery Of Tat-mediated HIV Elongation R-HSA-167238	0.012678379462383	9
HIV Elongation Arrest And Recovery R-HSA-167287	0.012678379462383	9
CLEC7A (Dectin-1) Signaling R-HSA-5607764	0.0126586039843553	10
Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756	0.0126392596211828	7
Cyclin E Associated Events During G1/S Transition R-HSA-69202	0.012624153683035998	9
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656	0.012624153683035998	9
SARS-CoV-2-host Interactions R-HSA-9705683	0.0126052351908212	13
rRNA Modification In Nucleus And Cytosol R-HSA-6790901	0.0125917830556205	6
RNA Polymerase II Transcription Termination R-HSA-73856	0.012590127091698	10
Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956	0.012551992631614899	10
ABC Transporter Disorders R-HSA-5619084	0.0125446444547538	9
Death Receptor Signaling R-HSA-73887	0.0125040346805241	10
Signaling By FGFR R-HSA-190236	0.012463460052792799	10
Neuronal System R-HSA-112316	0.0124538209087839	8
TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541	0.012300242270484499	9
Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012	0.0122970537519316	10
RNA Pol II CTD Phosphorylation And Interaction With CE R-HSA-77075	0.012208577444178099	8
Cellular Response To Chemical Stress R-HSA-9711123	0.012195395516458702	10
MyD88-independent TLR4 Cascade R-HSA-166166	0.0121865112054376	9
Muscle Contraction R-HSA-397014	0.012164841051968099	7
Transcriptional Regulation By RUNX2 R-HSA-8878166	0.012065952516601	10
Signaling By B Cell Receptor (BCR) R-HSA-983705	0.011884568220669299	10
Cell-Cell Communication R-HSA-1500931	0.0118780231089433	6
