Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Module
Reactome_2022	Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200	11/112	2.1949463493759566e-10	1.1347872626273701e-07	0	0	17.645349780879727	392.4271677551745	ATP5PF;NDUFA2;ATP5PO;NDUFS2;ETFA;NDUFS1;ETFB;SDHA;NDUFV2;SDHB;NDUFV1	2.0
Reactome_2022	Respiratory Electron Transport R-HSA-611105	9/90	8.671477690505582e-09	1.919292502372652e-06	0	0	17.729390681003583	329.11469710766363	NDUFA2;NDUFS2;ETFA;NDUFS1;ETFB;SDHA;NDUFV2;SDHB;NDUFV1	2.0
Reactome_2022	Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517	11/163	1.2029777568478638e-08	1.919292502372652e-06	0	0	11.69461820534944	213.2616635576176	ATP5PF;NDUFA2;ATP5PO;NDUFS2;NDUFS1;ETFA;ETFB;SDHA;NDUFV2;SDHB;NDUFV1	2.0
Reactome_2022	Programmed Cell Death R-HSA-5357801	12/208	1.4849458432283574e-08	1.919292502372652e-06	0	0	9.95328048574802	179.41089104137697	MED12;BCAP31;PSMA5;PSMD6;PSMD11;PSMD14;MAGED1;FASN;PSMD3;NDUFA2;FLOT1;FLOT2	2.0
GO_Biological_Process_2021	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	11/149	4.687566852645596e-09	2.9085480647466397e-06	0	0	12.890175813732478	247.2123314675564	PSMA5;DYNC1H1;PSMD6;PCM1;PSMD11;CEP135;PSMD14;PSMD3;CEP63;CEP43;NINL	2.0
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	12/188	4.768111581551867e-09	2.9085480647466397e-06	0	0	11.095604808414723	212.6063844560038	PSMA5;DYNC1H1;PSMD6;PCM1;TFAP4;PSMD11;CEP135;PSMD14;PSMD3;CEP63;CEP43;NINL	2.0
Reactome_2022	G2/M Transition R-HSA-69275	11/182	3.772370758336508e-08	3.1176386949599462e-06	0	0	10.385197967596588	177.51395095362074	PSMA5;DYNC1H1;PSMD6;PCM1;PSMD11;CEP135;PSMD14;PSMD3;CEP63;CEP43;NINL	2.0
Reactome_2022	Mitotic G2-G2/M Phases R-HSA-453274	11/184	4.221174248495091e-08	3.1176386949599462e-06	0	0	10.26409551786222	174.29016570695669	PSMA5;DYNC1H1;PSMD6;PCM1;PSMD11;CEP135;PSMD14;PSMD3;CEP63;CEP43;NINL	2.0
Reactome_2022	M Phase R-HSA-68886	15/380	3.660498274004548e-08	3.1176386949599462e-06	0	0	6.791966566055259	116.29939682061288	DYNC1H1;PSMD11;CEP135;PSMD14;NEK7;PDS5A;SMC1A;PSMA5;PSMD6;PCM1;RPS27;PSMD3;CEP63;CEP43;NINL	2.0
Reactome_2022	ER-Phagosome Pathway R-HSA-1236974	8/89	1.3900952850279445e-07	8.983490779493092e-06	0	0	15.633382716049384	246.83115481882027	PSMA5;PSMD6;PSMD11;PSMD14;PSMD3;NDUFA2;SEC61B;VAMP3	2.0
Reactome_2022	Metabolism Of RNA R-HSA-8953854	39/666	5.2805418724641394e-30	2.444890886950896e-27	0	0	17.117703349282298	1153.9647067601054	SF3B4;RBM28;PSMD12;SF3B3;RBM8A;SF3B6;SRSF1;RPL10L;NAT10;PPP2R2A;PRPF19;RPL6;EFTUD2;PSMD7;PUF60;BMS1;POLR2D;RPL14;RPL38;BCAS2;RPS12;HNRNPA0;PRMT5;SF3A2;KRR1;BYSL;FTSJ3;HNRNPM;NUDT21;RPS28;SNW1;RPS29;SNRPG;SRSF3;RNPS1;SRSF5;SNRPC;SRSF7;RBMX	5.0
