Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Module
GO_Biological_Process_2021	rRNA processing (GO:0006364)	10/173	4.78054343223993e-08	4.618004955543773e-05	0	0	11.86394803320101	199.9802090168956	UTP15;RSL1D1;KRR1;HEATR1;SBDS;DDX54;NAT10;LYAR;WDR43;BYSL	2.0
GO_Biological_Process_2021	ciliary basal body-plasma membrane docking (GO:0097711)	7/95	1.0525732368787732e-06	0.0004621189962872071	0	0	15.0	206.46409035116864	PCM1;CEP135;CNTRL;SCLT1;CEP63;NINL;CEP43	2.0
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	5/39	2.4897404920962395e-06	0.0004621189962872071	0	0	27.2869708631116	352.09284631192963	NDUFA2;NDUFS2;NDUFS1;NDUFV2;NDUFV1	2.0
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	6/70	2.639694226052297e-06	0.0004621189962872071	0	0	17.53301886792453	225.20895306429	NDUFA2;NDUFS2;NDUFS1;SDHA;NDUFV2;NDUFV1	2.0
GO_Biological_Process_2021	regulation of transcription by RNA polymerase I (GO:0006356)	4/18	2.683818051275421e-06	0.0004621189962872071	0	0	52.576719576719576	674.4683613471645	UTP15;HEATR1;LYAR;WDR43	2.0
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6/71	2.870304324765261e-06	0.0004621189962872071	0	0	17.262409288824383	220.2872016611224	NDUFA2;NDUFS2;NDUFS1;SDHA;NDUFV2;NDUFV1	2.0
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	8/162	3.628634190484113e-06	0.0005007515182868076	0	0	9.857142857142858	123.4770203317522	UTP15;KRR1;HEATR1;SBDS;DDX54;LYAR;WDR43;BYSL	2.0
GO_Biological_Process_2021	organelle assembly (GO:0070925)	12/425	4.718212425193736e-06	0.0005697241503421435	0	0	5.658595641646489	69.39747276926978	IFT20;YTHDF1;PCM1;PDCD6IP;CCDC57;TMOD3;NEK7;SCLT1;CEP63;ATP6V0D1;EIF2S1;LSM4	2.0
GO_Biological_Process_2021	regulation of necroptotic process (GO:0060544)	4/23	7.60052655370873e-06	0.0006696333000790844	0	0	38.73099415204678	456.5335774013559	PDCD6IP;FLOT1;FLOT2;SLC25A4	2.0
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase I (GO:0045943)	4/23	7.60052655370873e-06	0.0006696333000790844	0	0	38.73099415204678	456.5335774013559	UTP15;HEATR1;LYAR;WDR43	2.0
GO_Biological_Process_2021	regulation of cell cycle G2/M phase transition (GO:1902749)	6/85	8.225870835594328e-06	0.0006696333000790844	0	0	14.19321710054932	166.17739901919023	PCM1;CEP135;CNTRL;CEP63;NINL;CEP43	2.0
GO_Biological_Process_2021	G2/M transition of mitotic cell cycle (GO:0000086)	7/130	8.569303376119996e-06	0.0006696333000790844	0	0	10.712737127371271	124.98897622375137	PCM1;CEP135;CCDC57;CNTRL;CEP63;CEP43;NINL	2.0
GO_Biological_Process_2021	cell cycle G2/M phase transition (GO:0044839)	7/131	9.011628261933848e-06	0.0006696333000790844	0	0	10.625806451612902	123.43993813986056	PCM1;CEP135;CCDC57;CNTRL;CEP63;CEP43;NINL	2.0
GO_Biological_Process_2021	cilium assembly (GO:0060271)	10/314	1.0855475198076272e-05	0.0007490277886672628	0	0	6.315789473684211	72.19478512868311	IFT20;PCM1;CEP135;CCDC57;CNTRL;SCLT1;CEP63;ATP6V0D1;CEP43;NINL	2.0
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	8/192	1.2644686610322773e-05	0.0008143178177047865	0	0	8.237458193979933	92.90430614212198	UTP15;KRR1;HEATR1;SBDS;DDX54;LYAR;WDR43;BYSL	2.0
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	8/201	1.7616733772450033e-05	0.0009771370605038588	0	0	7.849740932642487	85.9284554794277	UTP15;KRR1;HEATR1;SBDS;DDX54;LYAR;WDR43;BYSL	2.0
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	5/58	1.820752286653153e-05	0.0009771370605038588	0	0	17.488097337330277	190.85942303656907	NDUFA2;NDUFS2;NDUFS1;NDUFV2;NDUFV1	2.0
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	5/58	1.820752286653153e-05	0.0009771370605038588	0	0	17.488097337330277	190.85942303656907	NDUFA2;NDUFS2;NDUFS1;NDUFV2;NDUFV1	2.0
GO_Biological_Process_2021	positive regulation of rRNA processing (GO:2000234)	3/10	1.993520596343318e-05	0.0010135478400356	0	0	78.16906946264744	846.0256558682161	UTP15;HEATR1;WDR43	2.0
GO_Biological_Process_2021	response to endoplasmic reticulum stress (GO:0034976)	6/110	3.5970544226463255e-05	0.0017373772861381	0	0	10.7677793904209	110.18464245850365	BCAP31;WFS1;ATP2A3;FLOT1;SYVN1;EIF2S1	2.0
GO_Biological_Process_2021	cytosolic transport (GO:0016482)	6/116	4.849648220662465e-05	0.0022308381815047	0	0	10.177358490566036	101.1020756120574	HOOK2;CLTCL1;VPS35;KLHL20;VTI1B;VAMP3	2.0
GO_Biological_Process_2021	respiratory electron transport chain (GO:0022904)	3/14	5.948991245216525e-05	0.0026121479740359	0	0	49.73394495412844	483.8965531298516	ETFB;SDHA;SDHB	2.0
GO_Biological_Process_2021	protein stabilization (GO:0050821)	7/179	6.723233575562767e-05	0.0028237581017363	0	0	7.641860465116279	73.41807581961447	PEX19;WFS1;FLOT1;SYVN1;FLOT2;PPIB;STK3	2.0
GO_Biological_Process_2021	electron transport chain (GO:0022900)	3/15	7.405932091693343e-05	0.0029808876669065	0	0	45.58715596330275	433.5632182634285	ETFB;SDHA;SDHB	2.0
GO_Biological_Process_2021	cellular respiration (GO:0045333)	4/42	8.851630940084048e-05	0.00337277104609	0	0	19.346978557504872	180.5522672104221	NDUFS1;ETFB;SDHA;SDHB	2.0
GO_Biological_Process_2021	regulation of rRNA processing (GO:2000232)	3/16	9.077851676846927e-05	0.00337277104609	0	0	42.07833450952717	391.6267579580848	UTP15;HEATR1;WDR43	2.0
GO_Biological_Process_2021	retrograde transport, endosome to Golgi (GO:0042147)	5/88	0.0001362490002787051	0.0048746864544158	0	0	11.150208309875014	99.24829922135775	SNX3;CLTCL1;VPS35;VAMP3;VTI1B	2.0
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	5/90	0.00015150100186876893	0.0052267845644725	0	0	10.88675096206707	95.74808548201356	NDUFA2;NDUFS2;NDUFS1;NDUFV2;NDUFV1	2.0
GO_Biological_Process_2021	mitotic cell cycle phase transition (GO:0044772)	7/209	0.00017640461610149189	0.0058541835345312	0	0	6.4970297029702975	56.15207512534879	PCM1;CEP135;CCDC57;CNTRL;CEP63;CEP43;NINL	2.0
GO_Biological_Process_2021	regulation of programmed necrotic cell death (GO:0062098)	3/20	0.00018180694206618904	0.0058541835345312	0	0	32.17107393416082	277.0754715471282	PDCD6IP;FLOT1;FLOT2	2.0
GO_Biological_Process_2021	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	6/149	0.00019323508545078535	0.0060214545982406	0	0	7.815674891146589	66.8365492444509	PCM1;CEP135;CNTRL;CEP63;CEP43;NINL	2.0
GO_Biological_Process_2021	vesicle fusion with Golgi apparatus (GO:0048280)	2/5	0.00030740049563306946	0.008998450872168	0	0	120.51515151515152	974.649309044046	BET1;VTI1B	2.0
GO_Biological_Process_2021	protein localization to membrane raft (GO:1903044)	2/5	0.00030740049563306946	0.008998450872168	0	0	120.51515151515152	974.649309044046	FLOT1;FLOT2	2.0
GO_Biological_Process_2021	ATP synthesis coupled electron transport (GO:0042773)	2/6	0.0004594133740524047	0.0126798091238463	0	0	90.38181818181818	694.6349006571187	NDUFS2;NDUFV1	2.0
GO_Biological_Process_2021	membrane raft assembly (GO:0001765)	2/6	0.0004594133740524047	0.0126798091238463	0	0	90.38181818181818	694.6349006571187	FLOT1;FLOT2	2.0
