Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Module
Reactome_2022	Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517	10/163	2.7157597908824823e-08	6.360924980733428e-06	0	0	12.645777265154427	220.3097867668137	CS;LDHB;NDUFA2;NDUFS2;NDUFS1;ETFB;SDHA;NDUFV2;SDHB;NDUFV1	2.0
Reactome_2022	Respiratory Electron Transport R-HSA-611105	8/90	3.9755781129583926e-08	6.360924980733428e-06	0	0	18.579737335834896	316.6082104442321	NDUFA2;NDUFS2;NDUFS1;ETFB;SDHA;NDUFV2;SDHB;NDUFV1	2.0
Reactome_2022	Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200	8/112	2.2026541136579282e-07	2.349497721235123e-05	0	0	14.633136094674557	224.30304038939252	NDUFA2;NDUFS2;NDUFS1;ETFB;SDHA;NDUFV2;SDHB;NDUFV1	2.0
Reactome_2022	Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912	7/97	1.2124791308212342e-06	9.699833046569872e-05	0	0	14.665185185185186	199.78152159073124	PCM1;CEP135;CNTRL;SCLT1;CEP63;NINL;CEP43	2.0
Reactome_2022	Loss Of Nlp From Mitotic Centrosomes R-HSA-380259	6/69	2.424411472220925e-06	0.0001551623342221392	0	0	17.812219227313566	230.31060089023492	PCM1;CEP135;CNTRL;CEP63;NINL;CEP43	2.0
Reactome_2022	AURKA Activation By TPX2 R-HSA-8854518	6/72	3.117065600362728e-06	0.0001662434986860122	0	0	17.0	215.53651469391423	PCM1;CEP135;CNTRL;CEP63;NINL;CEP43	2.0
Reactome_2022	Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320	6/80	5.7815042887142274e-06	0.0002486308442818616	0	0	15.15604283528812	182.7947084811589	PCM1;CEP135;CNTRL;CEP63;NINL;CEP43	2.0
Reactome_2022	Centrosome Maturation R-HSA-380287	6/81	6.21577110704654e-06	0.0002486308442818616	0	0	14.95320754716981	179.26534391818342	PCM1;CEP135;CNTRL;CEP63;NINL;CEP43	2.0
Reactome_2022	Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942	6/87	9.412101795819194e-06	0.00026761360676443507	0	0	13.84136967155835	160.19328943257986	PCM1;CEP135;CNTRL;CEP63;NINL;CEP43	2.0
Reactome_2022	Complex I Biogenesis R-HSA-6799198	5/51	9.629510415779907e-06	0.00026761360676443507	0	0	20.156440471353108	232.8205569964109	NDUFA2;NDUFS2;NDUFS1;NDUFV2;NDUFV1	2.0
