iteration,taxid,set,latestsppname,LatestSppName
1,72149,test,Aichivirus A,Aichivirus A
1,1986958,test,Aichivirus E,Aichivirus E
1,1972579,test,Alagoas vesiculovirus,Alagoas vesiculovirus
1,138184,test,Alcelaphine gammaherpesvirus 2,Alcelaphine gammaherpesvirus 2
1,333766,test,Alphapapillomavirus 13,Alphapapillomavirus 13
1,333767,test,Alphapapillomavirus 3,Alphapapillomavirus 3
1,337043,test,Alphapapillomavirus 4,Alphapapillomavirus 4
1,337042,test,Alphapapillomavirus 7,Alphapapillomavirus 7
1,2560293,test,Anativirus A,Anativirus A
1,1330066,test,Aquamavirus A,Aquamavirus A
1,56094,test,Aquareovirus A,Aquareovirus A
1,1972683,test,Arboretum almendravirus,Arboretum almendravirus
1,694014,test,Avian coronavirus,Avian coronavirus
1,2560316,test,Avian metaavulavirus 6,Avian metaavulavirus 6
1,3052594,test,Avian paraavulavirus 3,Avian paraavulavirus 3
1,1511772,test,Avisivirus A,Avisivirus A
1,1986118,test,Ball python nidovirus 1,Ball python nidovirus 1
1,1985699,test,Barley yellow striate mosaic cytorhabdovirus,Barley yellow striate mosaic cytorhabdovirus
1,3052470,test,Bayou orthohantavirus,Bayou orthohantavirus
1,694003,test,Betacoronavirus 1,Betacoronavirus 1
1,1891754,test,Bos taurus polyomavirus 1,Bos taurus polyomavirus 1
1,11246,test,Bovine orthopneumovirus,Bovine orthopneumovirus
1,3052299,test,Brazilian mammarenavirus,Brazilian mammarenavirus
1,3052384,test,Bwamba orthobunyavirus,Bwamba orthobunyavirus
1,10537,test,Canine mastadenovirus A,Canine mastadenovirus A
1,3052386,test,Capim orthobunyavirus,Capim orthobunyavirus
1,1821750,test,Cardiovirus B,Cardiovirus B
1,37124,test,Chikungunya virus,Chikungunya virus
1,745716,test,Coffee ringspot dichorhavirus,Coffee ringspot dichorhavirus
1,3052210,test,Cumuto goukovirus,Cumuto goukovirus
1,3052304,test,Cupixi mammarenavirus,Cupixi mammarenavirus
1,1658615,test,Deltaarterivirus pejah,Deltaarterivirus pejah
1,38767,test,Duvenhage lyssavirus,Duvenhage lyssavirus
