iteration,taxid,set,LatestSppName
1,337042,test,Alphapapillomavirus 7
1,337049,train,Alphapapillomavirus 11
1,333766,test,Alphapapillomavirus 13
1,64288,train,Royal Farm virus
1,337041,train,Alphapapillomavirus 9
1,147712,test,Rhinovirus B
1,337050,train,Alphapapillomavirus 6
1,333754,train,Alphapapillomavirus 10
1,337044,train,Alphapapillomavirus 5
1,334207,train,Betapapillomavirus 3
1,333924,train,Betapapillomavirus 2
1,37124,test,Chikungunya virus
1,249583,train,Irkut lyssavirus
1,333757,train,Alphapapillomavirus 8
1,64291,train,Israel turkey meningoencephalomyelitis virus
1,59302,train,Ndumu virus
1,1072176,train,Bokeloh bat lyssavirus
1,90961,train,Australian bat lyssavirus
1,237716,train,Khujand lyssavirus
1,44025,test,Koutango virus
1,11292,train,Rabies lyssavirus
1,334204,train,Mupapillomavirus 2
1,64297,train,Uganda S virus
1,337051,train,Betapapillomavirus 1
1,931244,train,Alphapapillomavirus 14
1,59301,test,Mayaro virus
1,38766,train,Lagos bat lyssavirus
1,12538,train,Mokola lyssavirus
1,64319,train,Yaounde virus
1,186541,test,Tai Forest ebolavirus
1,44158,train,Aura virus
1,59563,train,Ilheus virus
1,334208,train,Betapapillomavirus 4
1,11084,train,Tick-borne encephalitis virus
1,211977,train,Aravan lyssavirus
1,334209,train,Betapapillomavirus 5
1,3052426,test,Nyando orthobunyavirus
1,48544,train,Fort Morgan virus
1,64320,train,Zika virus
1,11072,train,Japanese encephalitis virus
1,337043,test,Alphapapillomavirus 4
1,3052637,train,Bujaru phlebovirus
1,57483,train,European bat 2 lyssavirus
1,333926,train,Gammapapillomavirus 1
1,337039,train,Alphapapillomavirus 2
1,130310,train,Human mastadenovirus D
1,337048,train,Alphapapillomavirus 1
1,40004,train,Tyuleniy virus
1,64283,train,Entebbe bat virus
1,59300,test,Getah virus
1,333767,test,Alphapapillomavirus 3
1,12542,train,Omsk hemorrhagic fever virus
1,2083199,train,Mosso das Pedras virus
1,11080,train,Saint Louis encephalitis virus
1,3052386,test,Capim orthobunyavirus
1,64303,train,Aroa virus
1,11036,train,Venezuelan equine encephalitis virus
1,11029,train,Ross River virus
1,11079,train,Murray Valley encephalitis virus
1,186540,train,Sudan ebolavirus
1,565995,train,Bundibugyo ebolavirus
1,44026,train,Sepik virus
1,333930,train,Gammapapillomavirus 4
1,2169701,train,Onyong-nyong virus
1,3052441,train,Simbu orthobunyavirus
1,59305,train,Bebaru virus
1,129954,train,Equine mastadenovirus A
1,11246,test,Bovine orthopneumovirus
1,60876,train,Pixuna virus
1,186538,train,Zaire ebolavirus
1,64293,train,Tembusu virus
1,1330521,train,Enterovirus J
1,3052440,train,Shuni orthobunyavirus
1,11023,test,Middelburg virus
1,130308,train,Human mastadenovirus E
1,57482,train,European bat 1 lyssavirus
1,64280,train,Apoi virus
1,1159195,train,Southern elephant seal virus
1,38767,test,Duvenhage lyssavirus
1,3052304,test,Cupixi mammarenavirus
1,11033,train,Semliki Forest virus
1,64307,train,Gadgets Gully virus
1,11024,train,Highlands J virus
1,138950,test,Enterovirus C
1,332097,test,Rio Negro virus
1,11086,test,Louping ill virus
1,1239570,train,Mamastrovirus 6
1,463676,train,Rhinovirus C
1,2083198,train,Everglades virus
1,3052148,train,Lloviu cuevavirus
1,194440,train,Primate T-lymphotropic virus 1
1,3051976,train,Tellina virus
1,333929,test,Gammapapillomavirus 3
1,64309,train,Jugra virus
1,33743,train,Kyasanur Forest disease virus
1,1440170,train,Madariaga virus
1,11263,train,Murine orthopneumovirus
1,186539,train,Reston ebolavirus
1,129951,train,Human mastadenovirus C
1,11676,train,Human immunodeficiency virus 1
1,11983,test,Norwalk virus
1,334203,train,Mupapillomavirus 1
