feature,class,shap_importance
P59991,other,0.017093249912286227
P59991,gastrointestinal,0.015919176412193505
P50454,other,0.015544095689760949
P50454,gastrointestinal,0.01410104422693331
Q9NUH8,neural,0.011301600144640978
O43493,neural,0.010717366167604894
O43493,respiratory,0.010167515934928298
Q5T7N2,neural,0.008979007561467741
Q15526,respiratory,0.008795366189794174
Q15526,neural,0.007527819041361793
Q8WUA7,respiratory,0.006797022086205166
P11912,systemic,0.006795604752562885
Q9Y5U2,systemic,0.006685295638931822
Q9Y2W7,respiratory,0.006598786612024464
Q9Y2W7,other,0.006337729720180748
Q8WUA7,other,0.006287478495944008
Q16629,viraemic,0.005918894148075223
P21730,viraemic,0.005621067035270843
Q9Y5U2,other,0.005558692790848227
Q9Y3C7,neural,0.005548385375741663
O14497,viraemic,0.005288611254906364
P52701,viraemic,0.005282681825997383
Q68EM7,neural,0.005254182792536192
Q5T7N2,viraemic,0.005221326159949791
Q96II8,viraemic,0.00517096999224098
O76021,neural,0.00514130631315906
P29597,neural,0.005131009917203207
Q0VD86,other,0.005005346898933567
P18206,neural,0.004973075567885431
P29597,viraemic,0.004971894474068731
P49458,viraemic,0.004951082723873895
P62273,neural,0.004899984122178611
P47929,systemic,0.00482693222137128
P50458,neural,0.004783402806702045
Q15050,neural,0.004773606763155488
P12110,viraemic,0.004759027900158736
P60468,viraemic,0.0047296982738225645
P04004,viraemic,0.004681833040053026
P26583,respiratory,0.004674223092008132
Q04837,systemic,0.00459038938968758
Q8N680,viraemic,0.004541984951920181
O15265,viraemic,0.0045131176599167
Q96T17,other,0.0045047307953128305
P14416,viraemic,0.004499865939155198
Q01094,systemic,0.004477160752899556
O43493,viraemic,0.004422634879417287
Q96AG4,neural,0.004402042650378732
O43493,systemic,0.004329882686446805
Q6NZI2,viraemic,0.0042857129100803484
P49721,viraemic,0.004196661011465895
P05114,systemic,0.004145088418829051
Q9UHB6,viraemic,0.0041275996159912875
P04004,neural,0.004093612839081178
Q9Y5L4,neural,0.004026953400007354
O75879,viraemic,0.004009832018882615
P60369,neural,0.003979653823922164
Q5TEC6,neural,0.003897615196015242
Q15526,other,0.0038974353888581
Q13315,viraemic,0.0038931527637937847
O43824,viraemic,0.0038460362024142557
P14174,neural,0.0037981402038141476
P38398,viraemic,0.003795270485284853
Q8IY92,viraemic,0.0037653376619957942
O75879,systemic,0.0037418573555866048
Q9UHB6,neural,0.0037402440951684874
Q9UKR5,neural,0.0037392162489011524
P52701,neural,0.003710071762262464
P49721,other,0.0036969081057860987
P11912,other,0.003609554755996511
A8MQ03,viraemic,0.0036007572973390635
Q5TEC6,viraemic,0.003599963567222462
P26583,neural,0.0035752610831788633
P60468,systemic,0.00355677152700999
P11686,viraemic,0.0035145477462698374
Q7KZF4,neural,0.0034647605416814023
Q14978,viraemic,0.0034302620541255837
P47929,neural,0.0034210430331307346
P60468,neural,0.003417235754038872
P59991,viraemic,0.0033960938687113483
O43809,neural,0.0033935043435884865
P35580,neural,0.0033678591258697044
Q68EM7,viraemic,0.0033636465499430595
Q96BP2,viraemic,0.00334181656151065
P05114,other,0.0033349999090341743
Q99742,neural,0.003315966063756169
Q9NRC8,other,0.0032755697339424887
A8MQ03,neural,0.003253103075501797
Q8N2F6,systemic,0.0032497382324773354
Q53GS7,neural,0.003244129462186104
Q13322,neural,0.003181123647933019
Q9GZR7,viraemic,0.0031792761492113017
Q7Z2W9,other,0.0031709954620857913
Q07157,viraemic,0.0031668788716096292
O43823,viraemic,0.003149076383627708
P60369,viraemic,0.0031366004412990292
Q96EP0,neural,0.0031355819212143367
P55081,neural,0.003088824319139203
O95295,neural,0.003088806304635436
Q8N0Y2,systemic,0.003082446130652152
Q99742,viraemic,0.0030755500723465353
