vtaxid,prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,pred_label
1032690,0.7412,0.0654,0.1189,0.0156,0.0106,0.0483,gastrointestinal
1032691,0.7412,0.0654,0.1189,0.0156,0.0106,0.0483,gastrointestinal
104580,0.8541,0.0274,0.0698,0.0087,0.0040,0.0360,gastrointestinal
106966,0.8627,0.0276,0.0591,0.0096,0.0041,0.0370,gastrointestinal
1074213,0.8553,0.0278,0.0663,0.0082,0.0041,0.0382,gastrointestinal
1076281,0.0845,0.1716,0.1625,0.1206,0.1254,0.3354,viraemic
1076282,0.0845,0.1716,0.1625,0.1206,0.1254,0.3354,viraemic
1076283,0.0845,0.1716,0.1625,0.1206,0.1254,0.3354,viraemic
1076284,0.0710,0.1623,0.1318,0.1155,0.1209,0.3985,viraemic
1076285,0.0845,0.1716,0.1625,0.1206,0.1254,0.3354,viraemic
10891,0.8345,0.0302,0.0879,0.0085,0.0040,0.0348,gastrointestinal
1095764,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
10970,0.0945,0.1648,0.0786,0.1090,0.0733,0.4798,viraemic
1105379,0.8607,0.0296,0.0572,0.0089,0.0043,0.0393,gastrointestinal
1105380,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1112700,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1141625,0.8349,0.0321,0.0755,0.0095,0.0045,0.0435,gastrointestinal
1156749,0.8557,0.0267,0.0654,0.0121,0.0043,0.0360,gastrointestinal
11665,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1181292,0.8540,0.0282,0.0650,0.0089,0.0042,0.0398,gastrointestinal
11819,0.8496,0.0314,0.0679,0.0095,0.0043,0.0373,gastrointestinal
11834,0.7173,0.0652,0.1220,0.0399,0.0078,0.0476,gastrointestinal
11840,0.8470,0.0307,0.0693,0.0092,0.0043,0.0394,gastrointestinal
11855,0.8259,0.0292,0.0898,0.0111,0.0046,0.0395,gastrointestinal
11856,0.8174,0.0344,0.0849,0.0103,0.0051,0.0479,gastrointestinal
1186059,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
11864,0.7401,0.0508,0.1256,0.0143,0.0069,0.0623,gastrointestinal
11884,0.6427,0.0781,0.1632,0.0449,0.0210,0.0500,gastrointestinal
11885,0.6025,0.0873,0.1845,0.0327,0.0164,0.0767,gastrointestinal
11901,0.8309,0.0365,0.0556,0.0136,0.0054,0.0581,gastrointestinal
1194163,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
