,Taxid,Species,Genome,Proteome,Tr.level,Tr.primary,Tr.direct.contact,Tr.faecal.oral,Tr.food.borne,Tr.respiratory,Tr.vector,Tr.vertical,Tr.multiple,Tp.primary,Tp.cardiac,Tp.circulatory,Tp.endocrine,Tp.gastrointestinal,Tp.hepatic,Tp.joints,Tp.muscular,Tp.neural,Tp.renal,Tp.reproductive,Tp.respiratory,Tp.sensory,Tp.skin,Tp.vascular,Tp.multiple
0,338079,African green monkey simian foamy virus,NC_010820.1,"YP_001956721.2,YP_001956722.2,YP_001956723.2,YP_001956725.2,YP_001956724.2",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,circulatory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,693997,Alphacoronavirus 1,MZ420153.1,"QWY12680.1,QWY12681.1,QWY12682.1,QWY12683.1,QWY12684.1,QWY12685.1,QWY12686.1,QWY12687.1,QWY12688.1,QWY12689.1,QWY12690.1",2,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2955291,Alphainfluenzavirus influenzae,"HE584745.1,HE584746.1,HE584747.1,HE584748.1,HE584749.1,HE584750.1,HE584751.1,HE584752.1","CCD30998.1,CCD30999.1,CCD31000.1,CCD31001.1,CCD31002.1,CCD31003.1,CCD31004.1,CCD31005.1,CCD31006.1,CCD31007.1",4,direct contact,1.0,0.0,0.0,1.0,0.0,1.0,1.0,respiratory,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
3,77763,Banna virus,"NC_004201.1,NC_004219.1,NC_004220.1,NC_004211.1,NC_004217.1,NC_004218.1,NC_004221.1,NC_004198.1,NC_004204.1,NC_004202.1,NC_004203.1,NC_004200.1","NP_694459.1,NP_694477.1,NP_694478.1,NP_694469.1,NP_694475.1,NP_694476.1,NP_694479.1,NP_694456.1,NP_694462.1,NP_694460.1,NP_694461.1,NP_694458.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,11020,Barmah Forest virus,MN115377.1,"QGR26074.1,QGR26075.1",3,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,694003,Betacoronavirus 1,ON554069.1,"WDE19672.1,WDE19673.1,WDE19674.1,WDE19675.1,WDE19676.1,WDE19677.1,WDE19678.1,WDE19679.1",4,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,respiratory,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
6,2955465,Betainfluenzavirus influenzae,"PP882635.1,PP882636.1,PP882637.1,PP882638.1,PP882639.1,PP882640.1,PP882641.1,PP882642.1","XBP28103.1,XBP28104.1,XBP28105.1,XBP28106.1,XBP28107.1,XBP28108.1,XBP28109.1,XBP28110.1,XBP28111.1,XBP28112.1,XBP28113.1",4,direct contact,1.0,0.0,0.0,1.0,0.0,0.0,1.0,respiratory,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
7,1821749,Cardiovirus A,NC_001479.1,"NP_056777.1,YP_006383902.1",2,,,,,,,,,viraemic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,1821750,Cardiovirus B,AB983594.1,BAP34790.1,4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
9,37124,Chikungunya virus,KF590567.1,"AIL00836.1,AIL00837.1",4,vector,0.0,0.0,0.0,0.0,1.0,1.0,0.0,viraemic,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
10,2748762,Colorado tick fever coltivirus,"MZ484422.1,MZ484423.1,MZ484424.1,MZ484425.1,MZ484426.1,MZ484427.1,MZ484428.1,MZ484429.1,MZ484430.1,MZ484431.1,MZ484432.1,MZ484433.1","UVC65861.1,UVC65862.1,UVC65863.1,UVC65864.1,UVC65865.1,UVC65866.1,UVC65867.1,UVC65868.1,UVC65870.1,UVC65869.1,UVC65871.1,UVC65872.1,UVC65873.1",3,vector,0.0,0.0,0.0,0.0,1.0,1.0,0.0,viraemic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,40053,Corriparta virus,"MW809639.1,MW809640.1,MW809641.1,MW809642.1,MW809643.1,MW809644.1,MW809645.1,MW809646.1,MW809647.1,MW809648.1","QWE80471.1,QWE80472.1,QWE80473.1,QWE80474.1,QWE80475.1,QWE80476.1,QWE80477.1,QWE80478.1,QWE80479.1,QWE80480.1,QWE80481.1,QWE80482.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1330491,Cosavirus A,MT023104.1,QIK01928.1,4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2003649,Cosavirus B,NC_012801.1,YP_002956075.1,4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2003650,Cosavirus D,NC_012802.1,YP_002956076.1,4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2003651,Cosavirus E,NC_012798.1,YP_002956072.1,4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,2003652,Cosavirus F,MN784123.1,QHN64364.1,4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,11021,Eastern equine encephalitis virus,MT782294.1,"QNS29840.1,QNS29841.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,138948,Enterovirus A,ON730871.1,WGM83099.1,4,direct contact,1.0,1.0,0.0,1.0,0.0,1.0,1.0,gastrointestinal,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1
19,138949,Enterovirus B,MZ229642.1,UWT50242.1,4,direct contact,1.0,1.0,0.0,0.0,0.0,1.0,1.0,gastrointestinal,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1
20,138950,Enterovirus C,MH484165.1,QCP69019.1,4,direct contact,1.0,1.0,0.0,1.0,0.0,1.0,1.0,gastrointestinal,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
21,138951,Enterovirus D,MT081371.1,QJA10582.1,4,direct contact,1.0,1.0,0.0,0.0,0.0,1.0,1.0,gastrointestinal,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
22,12064,Enterovirus E,NC_001859.1,NP_045756.1,2,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,47000,Equine rhinitis A virus,NC_039209.1,YP_009513027.1,2,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,312185,Erbovirus A,NC_003983.1,NP_653077.1,2,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2083198,Everglades virus,NC_038671.1,"YP_009507796.1,YP_009507797.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2747210,Eyach coltivirus,"NC_003697.1,NC_003702.1,NC_003703.1,NC_003700.1,NC_003704.1,NC_003705.1,NC_003706.1,NC_003707.1,NC_003696.1,NC_003701.1,NC_003699.1,NC_003698.1","NP_620281.1,NP_620286.1,NP_620287.1,NP_620284.1,NP_620288.1,NP_620289.1,NP_620290.1,NP_620291.1,NP_620292.1,NP_620280.1,NP_620285.1,NP_620283.1,NP_620282.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,12110,Foot-and-mouth disease virus,NC_039210.1,YP_009513028.1,2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,respiratory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,2955935,Gammainfluenzavirus influenzae,"OQ733376.1,OQ733377.1,OQ733378.1,OQ733379.1,OQ733380.1,OQ733381.1,OQ733382.1","WFD62643.1,WFD62644.1,WFD62645.1,WFD62646.1,WFD62647.1,WFD62649.1,WFD62648.1,WFD62650.1,WFD62651.1",4,direct contact,1.0,0.0,0.0,1.0,0.0,0.0,1.0,respiratory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,59300,Getah virus,NC_006558.1,"YP_164438.1,YP_164439.1,YP_006491251.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,204269,Great Island virus,"NC_014522.1,NC_014523.1,NC_014524.1,NC_014525.1,NC_014526.1,NC_014527.1,NC_014528.1,NC_014529.1,NC_014530.1,NC_014531.1","YP_003896058.1,YP_003896061.1,YP_003896062.1,YP_003896064.1,YP_003896066.1,YP_003896067.1,YP_003896068.1,YP_003896060.1,YP_003896063.1,YP_003896059.1,YP_003896065.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,3052223,Henipavirus hendraense,NC_001906.3,"NP_047106.1,NP_047107.2,NP_047108.1,NP_047109.1,NP_047110.2,NP_047111.2,NP_047112.2,NP_047113.3",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,systemic,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1
32,3052225,Henipavirus nipahense,JN808857.1,"AEZ01379.1,AEZ01375.1,AEZ01376.1,AEZ01377.1,AEZ01378.1,AEZ01380.1,AEZ01381.1,AEZ01382.1,AEZ01383.1",3,direct contact,1.0,1.0,1.0,1.0,0.0,0.0,1.0,neural,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
33,3052230,Hepacivirus hominis,NC_030791.1,"YP_009272536.1,YP_009305096.1",4,direct contact,1.0,0.0,0.0,0.0,0.0,1.0,0.0,hepatic,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1
34,12475,Hepatitis delta virus,OR428249.1,WNN93006.1,4,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hepatic,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
35,12092,Hepatovirus A,KX035096.1,ANY58560.1,4,faecal-oral,1.0,1.0,1.0,0.0,0.0,1.0,1.0,hepatic,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
36,11024,Highlands J virus,NC_012561.1,"YP_002802299.1,YP_002802300.1,YP_006491229.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,11137,Human coronavirus 229E,OK662398.1,"UPG58711.1,UPG58712.1,UPG58713.1,UPG58714.1,UPG58715.1,UPG58716.1,UPG58717.1",4,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,respiratory,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
38,290028,Human coronavirus HKU1,NC_006577.2,"YP_173236.1,YP_009944268.1,YP_173237.1,YP_173238.1,YP_173239.1,YP_173240.1,YP_173241.1,YP_173242.1,YP_173243.1",4,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,respiratory,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
39,277944,Human coronavirus NL63,MG428704.1,"AWK59960.1,AWK59961.1,AWK59962.1,AWK59963.1,AWK59964.1,AWK59965.1",4,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,respiratory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,11676,Human immunodeficiency virus 1,MN887110.1,"QIE10108.1,QIE10109.1,QIE10110.1,QIE10111.1,QIE10112.1,QIE10113.1,QIE10114.1,QIE10115.1,QIE10116.1",4,direct contact,1.0,0.0,0.0,0.0,0.0,1.0,0.0,circulatory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,11709,Human immunodeficiency virus 2,KU168287.1,"ALX35368.1,ALX35369.1,ALX35370.1,ALX35371.1,ALX35372.1,ALX35373.1,ALX35374.1,ALX35375.1,ALX35376.1",4,direct contact,1.0,0.0,0.0,0.0,0.0,1.0,0.0,circulatory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,67605,Human torovirus,KJ645983.1,"AIC64083.1,AIC64084.1",4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,72149,Kobuvirus aichi,OP255993.1,WJK44413.1,4,faecal-oral,0.0,1.0,1.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,40057,Lebombo virus,"NC_038594.1,NC_038595.1,NC_038596.1,NC_038597.1,NC_038598.1,NC_038599.1,NC_038600.1,NC_038601.1,NC_038602.1,NC_038603.1","YP_009507707.1,YP_009507708.1,YP_009507709.1,YP_009507710.1,YP_009507711.1,YP_009507712.1,YP_009507713.1,YP_009507714.1,YP_009507715.1,YP_009507716.1,YP_009507717.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
