feature,class,shap_importance
Q9Y224,3,0.040154916029101866
P68032,3,0.037986666220837774
Q9Y224,2,0.03677225742692415
P12318,2,0.02897366844483515
P12318,4,0.028762739864064243
P68032,2,0.026407065511300905
Q9Y6Q9,2,0.02445102269370859
Q0VD86,2,0.023525781531535395
A8MQ03,2,0.022099101366867952
Q92945,4,0.018667503095609803
P47929,4,0.01841087391441087
Q5BJF6,2,0.01822173921236826
Q96L14,2,0.01795354038108812
P30405,4,0.017849044621241768
P08758,3,0.01779171103718103
P47929,2,0.016970137243032642
O75386,2,0.016591192102450844
O75386,3,0.01646699806847945
P62273,4,0.015869141351974182
P20674,2,0.015650921077036185
Q5T7N2,2,0.015619459239871155
P20674,4,0.015578078795999952
A8MQ03,4,0.015481076138537586
Q0VD86,4,0.015362130374275093
P54707,2,0.015017062409207508
P08758,4,0.014917223310996382
P32322,2,0.014886028804278334
O75947,2,0.014690078028577235
Q96L14,3,0.014123222612210062
Q9Y6Q9,4,0.013962536833342186
P32322,3,0.013892705221560992
P07814,2,0.013806128511959144
P49459,2,0.013712883319383792
O43795,3,0.013514879107920721
P18206,4,0.013378315341323789
O75947,3,0.013192414206693768
P68032,4,0.013113104694205738
P08069,2,0.012873769707678536
Q92945,2,0.012557300480001433
O76024,3,0.012399595244249636
O43795,4,0.01238544321104524
P04264,3,0.012015810428063236
Q14186,3,0.011681401701528718
P16989,3,0.011678473440875083
Q9UJY1,2,0.011659249394104934
P25791,2,0.011567266321247213
Q5T7N2,4,0.01152987404711088
P30405,2,0.011340856687246744
P35711,2,0.011323344416467774
Q13315,4,0.011191676777778157
Q8N0Z3,2,0.011126564876578742
P18206,2,0.011003992802383126
Q4V328,2,0.010925244059456803
Q07065,2,0.01084809213734664
P08069,3,0.010844561692772285
P51812,3,0.010720739758045548
P51812,2,0.010679891332549717
P25791,3,0.010643707921187446
P19438,2,0.010640419290269017
P16989,2,0.01059989320924172
Q9H7B2,4,0.010547600882712305
P62273,2,0.010545804404083491
O76024,2,0.010543075756966383
Q13315,2,0.010491687315108553
Q9Y6Q9,3,0.0104067015099902
Q14697,3,0.010267947238765458
Q01860,4,0.010245181823638825
P48431,2,0.01012674800291104
Q4V328,4,0.009794109725440796
Q5BJF6,3,0.009649635089957946
Q92560,4,0.009580256471115418
P32246,3,0.009398762372751458
O14497,2,0.009365984297690968
P54707,3,0.009302414749208678
