vtaxid,no human-to-human,limited human-to-human,sustained human-to-human,pred_label
1032690,0.4760,0.0987,0.4254,no human-to-human
1032691,0.4760,0.0987,0.4254,no human-to-human
104580,0.0741,0.0289,0.8970,sustained human-to-human
106966,0.0710,0.0273,0.9017,sustained human-to-human
1074213,0.0741,0.0289,0.8970,sustained human-to-human
1076281,0.4549,0.1621,0.3830,no human-to-human
1076282,0.4549,0.1621,0.3830,no human-to-human
1076283,0.4549,0.1621,0.3830,no human-to-human
1076284,0.5480,0.1193,0.3326,no human-to-human
1076285,0.4549,0.1621,0.3830,no human-to-human
10891,0.0591,0.0346,0.9063,sustained human-to-human
1095764,0.0741,0.0289,0.8970,sustained human-to-human
10970,0.2764,0.1617,0.5619,sustained human-to-human
1105379,0.0788,0.0298,0.8913,sustained human-to-human
1105380,0.0741,0.0289,0.8970,sustained human-to-human
1112700,0.0741,0.0289,0.8970,sustained human-to-human
1141625,0.1886,0.0330,0.7784,sustained human-to-human
1156749,0.0858,0.0396,0.8745,sustained human-to-human
11665,0.0741,0.0289,0.8970,sustained human-to-human
1181292,0.0741,0.0289,0.8970,sustained human-to-human
11819,0.0741,0.0289,0.8970,sustained human-to-human
11834,0.4078,0.0271,0.5651,sustained human-to-human
11840,0.0741,0.0289,0.8970,sustained human-to-human
11855,0.1261,0.0260,0.8478,sustained human-to-human
11856,0.4285,0.0430,0.5285,sustained human-to-human
1186059,0.0741,0.0289,0.8970,sustained human-to-human
11864,0.1087,0.0581,0.8332,sustained human-to-human
11884,0.2079,0.0346,0.7575,sustained human-to-human
11885,0.7543,0.0350,0.2108,no human-to-human
11901,0.0705,0.0210,0.9084,sustained human-to-human
1194163,0.0741,0.0289,0.8970,sustained human-to-human
1194164,0.0741,0.0289,0.8970,sustained human-to-human
11970,0.1246,0.0317,0.8437,sustained human-to-human
1203029,0.0788,0.0298,0.8913,sustained human-to-human
1221646,0.0741,0.0289,0.8970,sustained human-to-human
1222038,0.0741,0.0289,0.8970,sustained human-to-human
1222039,0.0741,0.0289,0.8970,sustained human-to-human
1222040,0.0741,0.0289,0.8970,sustained human-to-human
1222041,0.0741,0.0289,0.8970,sustained human-to-human
1222042,0.0741,0.0289,0.8970,sustained human-to-human
1222043,0.0741,0.0289,0.8970,sustained human-to-human
1222044,0.0741,0.0289,0.8970,sustained human-to-human
1222045,0.0741,0.0289,0.8970,sustained human-to-human
1222046,0.0741,0.0289,0.8970,sustained human-to-human
1222047,0.0741,0.0289,0.8970,sustained human-to-human
1222048,0.0741,0.0289,0.8970,sustained human-to-human
1222049,0.0741,0.0289,0.8970,sustained human-to-human
1222050,0.0741,0.0289,0.8970,sustained human-to-human
1222051,0.0741,0.0289,0.8970,sustained human-to-human
12239,0.0741,0.0289,0.8970,sustained human-to-human
12286,0.0741,0.0289,0.8970,sustained human-to-human
1239438,0.0788,0.0298,0.8913,sustained human-to-human
1239439,0.0788,0.0298,0.8913,sustained human-to-human
1239567,0.0741,0.0289,0.8970,sustained human-to-human
1239568,0.0788,0.0298,0.8913,sustained human-to-human
1239569,0.5008,0.0452,0.4540,no human-to-human
1244521,0.8612,0.0618,0.0770,no human-to-human
1244522,0.8153,0.0661,0.1186,no human-to-human
1244525,0.5982,0.1222,0.2796,no human-to-human
1254425,0.1273,0.0346,0.8381,sustained human-to-human
1285463,0.0741,0.0289,0.8970,sustained human-to-human
1293419,0.0741,0.0289,0.8970,sustained human-to-human
1293420,0.0741,0.0289,0.8970,sustained human-to-human
1312874,0.0741,0.0289,0.8970,sustained human-to-human
1329782,0.1092,0.0330,0.8578,sustained human-to-human
1330066,0.0788,0.0298,0.8913,sustained human-to-human
1330068,0.0741,0.0289,0.8970,sustained human-to-human
1330521,0.0585,0.0291,0.9124,sustained human-to-human
1330993,0.0741,0.0289,0.8970,sustained human-to-human
1402035,0.0741,0.0289,0.8970,sustained human-to-human
1408279,0.3346,0.1363,0.5291,sustained human-to-human
1417603,0.0741,0.0289,0.8970,sustained human-to-human
1417604,0.0741,0.0289,0.8970,sustained human-to-human
1417605,0.0741,0.0289,0.8970,sustained human-to-human
1417606,0.0741,0.0289,0.8970,sustained human-to-human
1417607,0.0741,0.0289,0.8970,sustained human-to-human
1417608,0.0741,0.0289,0.8970,sustained human-to-human
1417609,0.0741,0.0289,0.8970,sustained human-to-human
1417610,0.0741,0.0289,0.8970,sustained human-to-human
1417611,0.0741,0.0289,0.8970,sustained human-to-human
1417612,0.0741,0.0289,0.8970,sustained human-to-human
1417613,0.0741,0.0289,0.8970,sustained human-to-human
1417614,0.0741,0.0289,0.8970,sustained human-to-human
1417615,0.0741,0.0289,0.8970,sustained human-to-human
1417616,0.0741,0.0289,0.8970,sustained human-to-human
1417617,0.0741,0.0289,0.8970,sustained human-to-human
1417618,0.0741,0.0289,0.8970,sustained human-to-human
1417619,0.0741,0.0289,0.8970,sustained human-to-human
1428481,0.0741,0.0289,0.8970,sustained human-to-human
1432857,0.0741,0.0289,0.8970,sustained human-to-human
1437125,0.0741,0.0289,0.8970,sustained human-to-human
1521109,0.0741,0.0289,0.8970,sustained human-to-human
1523264,0.0741,0.0289,0.8970,sustained human-to-human
1523265,0.0741,0.0289,0.8970,sustained human-to-human
1523266,0.0741,0.0289,0.8970,sustained human-to-human
1523268,0.0741,0.0289,0.8970,sustained human-to-human
1523273,0.0741,0.0289,0.8970,sustained human-to-human
1523276,0.0741,0.0289,0.8970,sustained human-to-human
1523277,0.0741,0.0289,0.8970,sustained human-to-human
1523278,0.0741,0.0289,0.8970,sustained human-to-human
1523281,0.0741,0.0289,0.8970,sustained human-to-human
1523282,0.0741,0.0289,0.8970,sustained human-to-human
1523285,0.0741,0.0289,0.8970,sustained human-to-human
1523287,0.0741,0.0289,0.8970,sustained human-to-human
1523288,0.0741,0.0289,0.8970,sustained human-to-human
1523289,0.0741,0.0289,0.8970,sustained human-to-human
1525176,0.0741,0.0289,0.8970,sustained human-to-human
1525177,0.0741,0.0289,0.8970,sustained human-to-human
1525178,0.0741,0.0289,0.8970,sustained human-to-human
