feature,class,shap_importance
Q9C0F1,vector,0.023832771206306867
Q9BYN8,direct contact,0.02187459974329037
Q9BYN8,faecal-oral,0.019541449286069767
P08069,direct contact,0.017294078375319114
P08069,vector,0.015242670207270725
P08581,vector,0.01425766240517523
P42858,direct contact,0.013745175893280193
Q13347,direct contact,0.013198383744597024
P59190,direct contact,0.012425564944392172
P42858,vector,0.01215304057374879
O00217,vector,0.012097816856074113
P54707,vector,0.012066874564712888
O95478,vector,0.011826707982158423
Q9H313,vector,0.011465980633377474
P41252,vector,0.01139683037326856
Q9C0F1,direct contact,0.011375788093633878
Q15291,direct contact,0.011327810722610524
P55735,faecal-oral,0.01110978312287313
O95684,direct contact,0.010922088027251463
O95478,faecal-oral,0.010918178284086035
P21580,direct contact,0.010821011384598109
Q96S59,direct contact,0.010778291867124437
Q06323,vector,0.010756132685506278
Q14108,direct contact,0.0106814581994072
P52815,direct contact,0.010619780726017294
Q5JTH9,direct contact,0.010513231395499575
Q07065,vector,0.010430885207923634
Q16637,direct contact,0.010310821196648301
P59190,faecal-oral,0.010287469291262336
P49760,direct contact,0.009962723516174228
P08779,direct contact,0.009931253473608225
Q01094,respiratory,0.009886562973553316
Q06323,direct contact,0.009829650487758052
Q01094,vector,0.009825897936857014
Q15291,faecal-oral,0.009788855334695064
P52815,vector,0.009786173319282766
A5D8V6,direct contact,0.009761872960895104
P55735,direct contact,0.009758995490117559
P00441,direct contact,0.009691482231664232
Q9UKB1,direct contact,0.009660525153693415
Q9H313,respiratory,0.009579929247241433
Q9Y297,direct contact,0.009437935284804024
P00441,faecal-oral,0.009357373987494306
P60660,vector,0.009344861042496416
Q9BT17,direct contact,0.009324406937174227
O15218,direct contact,0.009309798247097933
Q9NZT1,respiratory,0.009229289361105302
P49760,vector,0.009225676532325942
P51571,direct contact,0.009224551610847752
P21580,vector,0.009203428593341176
P51571,vector,0.009198359627625528
Q13315,vector,0.008893222288760974
A5D8V6,vector,0.00882259940464483
O76024,vector,0.008793868622653174
Q5T7N2,faecal-oral,0.008657478128174419
P07384,direct contact,0.008608047311801781
O75251,respiratory,0.008567135526927814
P41252,respiratory,0.008544178513210867
Q9C0F1,faecal-oral,0.008540527276504829
O75688,vector,0.008511672591195393
Q13347,faecal-oral,0.00850889595676969
P07384,faecal-oral,0.008462843302922128
P62273,vector,0.008397469745759967
P14635,vector,0.008364016826556507
Q9NY93,direct contact,0.008360742451682012
O95995,direct contact,0.008355665621884332
Q07157,faecal-oral,0.008299061685765361
O75147,direct contact,0.008279078373071779
P16989,vector,0.008230148928618453
Q9C005,vector,0.00820179935401669
O75147,vector,0.008159311819585494
Q13164,direct contact,0.008152791113948251
P08581,direct contact,0.00814861647685584
P21860,vector,0.008137674238042528
Q9H313,faecal-oral,0.008116954344213497
Q9Y297,faecal-oral,0.008106016279590891
O94972,direct contact,0.008066675815945685
P68032,respiratory,0.008017619535929135
Q8IWV7,direct contact,0.007963842034014311
P13647,respiratory,0.007922122064961021
Q9UHB9,vector,0.007909550487401745
O75340,vector,0.007878265569536583
O00217,direct contact,0.007865525609552157
O75208,vector,0.00775775086715881
P08779,vector,0.007729442404649704
P16234,direct contact,0.007686129804069546
Q07065,direct contact,0.007617399105321763
P07550,direct contact,0.0075775339432284546
Q6Y7W6,direct contact,0.007575746970149957
Q6P5Z2,direct contact,0.007565197440532279
P16989,direct contact,0.00747093491735652
Q08380,vector,0.007461752362447574
O95995,vector,0.007446521610928056
Q2TAC2,faecal-oral,0.007442673955731182
Q8TDT2,vector,0.0074011488441103395
P62273,faecal-oral,0.007396645940178057
O43889,vector,0.007380049998707072
O76024,respiratory,0.007373710426042476
Q96S59,vector,0.007345908262538157
O60232,respiratory,0.0073243855938045785
Q5T7N2,respiratory,0.0073235673343428065
O75208,direct contact,0.007319701763063832
Q16512,vector,0.007316413636469226
Q15646,vector,0.007299674476027601
Q9BZL6,direct contact,0.0072875996534710425
P08581,respiratory,0.007271061959197789
Q16526,direct contact,0.007261845029503222
P14735,direct contact,0.007260522416876655
Q9NS73,direct contact,0.007234005787979733
