vtaxid,prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,pred_label
1032690,0.2281,0.7022,0.0389,0.0308,faecal-oral
1032691,0.2281,0.7022,0.0389,0.0308,faecal-oral
104580,0.0772,0.8911,0.0137,0.0180,faecal-oral
106966,0.0724,0.8951,0.0139,0.0186,faecal-oral
1074213,0.0724,0.8951,0.0139,0.0186,faecal-oral
1076281,0.1924,0.0924,0.6994,0.0159,respiratory
1076282,0.1924,0.0924,0.6994,0.0159,respiratory
1076283,0.1924,0.0924,0.6994,0.0159,respiratory
1076284,0.2775,0.1176,0.5699,0.0351,respiratory
1076285,0.1924,0.0924,0.6994,0.0159,respiratory
10891,0.0975,0.8672,0.0155,0.0198,faecal-oral
1095764,0.0975,0.8672,0.0155,0.0198,faecal-oral
10970,0.4829,0.1642,0.2998,0.0531,direct contact
1105379,0.0975,0.8672,0.0155,0.0198,faecal-oral
1105380,0.0975,0.8672,0.0155,0.0198,faecal-oral
1112700,0.0975,0.8672,0.0155,0.0198,faecal-oral
1141625,0.0975,0.8672,0.0155,0.0198,faecal-oral
1156749,0.1306,0.8405,0.0143,0.0146,faecal-oral
11665,0.0975,0.8672,0.0155,0.0198,faecal-oral
1181292,0.0975,0.8672,0.0155,0.0198,faecal-oral
11819,0.0975,0.8672,0.0155,0.0198,faecal-oral
11834,0.2191,0.7498,0.0085,0.0226,faecal-oral
11840,0.0975,0.8672,0.0155,0.0198,faecal-oral
11855,0.2568,0.7066,0.0169,0.0198,faecal-oral
11856,0.1279,0.8318,0.0171,0.0233,faecal-oral
1186059,0.0975,0.8672,0.0155,0.0198,faecal-oral
11864,0.0934,0.8677,0.0071,0.0318,faecal-oral
11884,0.1217,0.8431,0.0200,0.0153,faecal-oral
11885,0.1030,0.7532,0.0724,0.0714,faecal-oral
11901,0.0958,0.8652,0.0206,0.0184,faecal-oral
1194163,0.0975,0.8672,0.0155,0.0198,faecal-oral
1194164,0.0975,0.8672,0.0155,0.0198,faecal-oral
