virus	virulence
10261	0.16857529
10271	0.186237
10273	0.19902724
10484	0.28768364
10493	0.16229355
10535	0.21791966
10570	0.3354164
10891	0.12702362
10970	0.9367306
11665	0.2386712
11768	0.6871473
11819	0.18725544
11830	0.2967446
11834	0.22843838
11840	0.16543394
11855	0.13787296
11856	0.13783848
11864	0.2755856
11884	0.30108246
11885	0.16671388
11901	0.16755462
11970	0.23315087
12239	0.10659263
12286	0.1434414
12480	0.40364692
28321	0.24108446
28871	0.1994295
28873	0.27652287
29256	0.12670726
35269	0.13939317
37140	0.11459922
37741	0.98357314
38016	0.17438452
39444	0.40864304
44088	0.11412815
46920	0.937426
47681	0.16214041
56094	0.15152173
57667	0.13544759
62099	0.16098288
64318	0.13512714
83191	0.24166183
87786	0.1323571
104382	0.21656054
104580	0.10807771
106966	0.13945699
158684	0.37526342
159183	0.13139664
159252	0.19381917
164250	0.16629136
178530	0.3015418
178534	0.16647457
180170	0.21352774
186805	0.19875212
190062	0.24894722
190064	0.35562658
196403	0.2617701
235406	0.25709558
262968	0.19835614
265522	0.17143954
269339	0.3372525
286540	0.94994724
295016	0.16071387
308159	0.8610513
315431	0.20221758
328615	0.19650266
336959	0.35503033
340016	0.3300581
340187	0.2488667
341730	0.122318976
342409	0.28502566
345195	0.40371525
345199	0.43233785
348136	0.18538456
354090	0.4807937
363747	0.10991954
384335	0.28786647
390157	0.14232956
394239	0.11158048
405554	0.15919758
419435	0.32051373
430511	0.8002173
430911	0.16986035
433731	0.14061984
433732	0.18978052
481494	0.27585393
481495	0.3999122
481497	0.14190789
481503	0.13724487
481504	0.28851292
481510	0.12209551
481513	0.20964368
496406	0.13414575
496407	0.110574536
496408	0.13414575
496409	0.11057456
497343	0.9322015
497344	0.9450543
497915	0.13414575
536079	0.18256016
537513	0.31469882
537514	0.3487775
537516	0.28178546
537517	0.23505016
537524	0.2922583
537526	0.2922583
537528	0.36871278
537530	0.30049103
537531	0.36871278
537534	0.32244006
537535	0.32244006
537539	0.11717428
537543	0.2208803
537547	0.2922583
537550	0.2922583
537551	0.30049103
537552	0.30182937
537553	0.14131686
537555	0.12189461
537557	0.21826035
537558	0.2922583
537559	0.27563474
537560	0.2275297
537561	0.12584953
537563	0.30049103
537565	0.11717428
537566	0.24482602
537570	0.10866596
537573	0.1699527
537574	0.30049103
537577	0.19755396
537578	0.14156924
537584	0.14131686
537587	0.28194234
537588	0.3518512
537589	0.11687955
537591	0.23656201
543937	0.62170875
546676	0.43789595
546677	0.5792499
546678	0.56873906
546679	0.5213571
546680	0.38110587
546681	0.3953391
546682	0.38110584
546683	0.35736102
546685	0.5792041
546687	0.5458535
546688	0.44836137
546689	0.44836137
546691	0.44836137
546692	0.26654074
546693	0.2591655
546694	0.27981722
546696	0.46566683
546697	0.26544222
546698	0.3161409
546699	0.5721863
546700	0.3253783
546701	0.36125094
546702	0.36868632
546703	0.58300775
546709	0.5835309
546710	0.5800943
546711	0.488853
546714	0.3675548
546715	0.39979964
546721	0.5072599
546722	0.20119692
546723	0.56031793
546725	0.51959383
546726	0.28389376
546727	0.26771885
546728	0.32945997
546729	0.57548994
580061	0.22623289
586421	0.26319635
595895	0.16357358
611726	0.31748188
611728	0.17819357
611730	0.37636006
611734	0.30056736
611737	0.23504238
611738	0.19566485
611739	0.19566485
611740	0.30056736
611741	0.22265182
611757	0.30529484
611758	0.13462275
611759	0.13462275
611761	0.114926584
611762	0.3479429
611763	0.26196712
611764	0.23338228
630716	0.15623751
630718	0.35251206
631345	0.24941732
641884	0.16617733
644610	0.16127945
646294	0.19638743
647367	0.33939496
647369	0.18445756
647372	0.1687206
647374	0.30980256
648998	0.26227227
650036	0.9855686
658667	0.13350798
659265	0.34780064
662948	0.13931115
682383	0.13043098
682384	0.13691315
686195	0.22306122
686196	0.2081709
686197	0.22306122
686198	0.21091081
686199	0.21074079
686200	0.2081709
686201	0.2081709
688450	0.2643519
688451	0.18952456
688452	0.26011533
688453	0.1795905
688454	0.24342914
688456	0.10895696
688457	0.19338006
688459	0.25497082
688461	0.2723114
688462	0.23882985
688463	0.14356661
688464	0.13967426
688466	0.1802956
694015	0.17365205
723802	0.16506578
741955	0.32808846
741956	0.32808846
741957	0.22131807
741958	0.22131807
741959	0.20343354
741960	0.2034335
742926	0.34035107
742927	0.30547738
742928	0.29373422
742929	0.34658626
742930	0.3348951
742931	0.34658623
742932	0.318428
742933	0.31428602
742934	0.29921013
742935	0.36202204
742936	0.31139365
742937	0.31299606
742938	0.38720474
742944	0.33073843
742945	0.3662135
742946	0.34556368
742948	0.27308908
742949	0.21680632
742950	0.23282357
742952	0.26892674
742954	0.3430176
742955	0.33659747
742956	0.36461422
742957	0.3021111
742958	0.35894188
742959	0.391468
742960	0.36196882
743528	0.20400369
743529	0.45122227
745091	0.19792372
745094	0.29810247
745095	0.3845836
745097	0.31654084
745098	0.204507
745099	0.25743797
745100	0.27705336
745101	0.3345716
745102	0.17145948
745103	0.36092666
745104	0.39621082
745105	0.2652773
745106	0.32203996
745108	0.19788997
745109	0.22165594
764239	0.27082372
764243	0.37090474
764252	0.14085639
764266	0.15186162
764267	0.15264872
764268	0.15129381
858567	0.18220997
858568	0.18220997
858571	0.2223643
858573	0.2592284
862148	0.22255355
862149	0.22617178
862150	0.22617178
862151	0.22617178
862152	0.22617178
862153	0.23721018
862154	0.22617178
862155	0.24261436
862156	0.24261436
862157	0.22494306
862158	0.22617178
862159	0.24216363
862160	0.22617178
862161	0.22717333
862162	0.25949436
862163	0.2164262
862164	0.22617178
862165	0.22617178
862166	0.22617178
862167	0.21688211
862168	0.20482388
862169	0.21688211
862170	0.21688211
862171	0.21688211
862172	0.21688211
862173	0.21688211
862174	0.21688211
862175	0.21688211
862176	0.21688211
862177	0.21688211
862178	0.21688211
862179	0.21688211
862180	0.21688211
862181	0.21688211
862182	0.21688211
862183	0.21688211
864560	0.13600948
864623	0.21688211
864624	0.21688211
870710	0.23892769
870711	0.16211824
870712	0.19417503
871260	0.15472788
934413	0.3136827
937784	0.6827073
941285	0.2869133
941292	0.34814015
941293	0.34797597
941305	0.32323715
941317	0.3521426
999535	0.27668217
1032690	0.1383643
1032691	0.1383643
1034800	0.12164483
1042528	0.49934876
1074213	0.12947878
1076255	0.18562959
1076281	0.9453306
1076282	0.9453306
1076283	0.9453306
1076284	0.94953734
1076285	0.9453306
1095764	0.25116664
1100043	0.22065388
1105379	0.14637326
1105380	0.19250394
1112700	0.15515329
1141625	0.18801008
1148801	0.35898992
1156749	0.32394767
1170423	0.27005044
1176150	0.26165575
1177757	0.24729164
1177763	0.3651006
1179664	0.17077532
1181292	0.14134708
1186059	0.19121474
1188015	0.59669256
1194163	0.3023356
1194164	0.3282975
1203029	0.21579772
1209382	0.27258947
1209383	0.26230267
1214906	0.19037949
1221646	0.2278506
1222019	0.23105574
1222038	0.2278506
1222039	0.23717774
1222040	0.2278506
1222041	0.22785056
1222042	0.26986423
1222043	0.2314862
1222044	0.29259068
1222045	0.26532522
1222046	0.27112004
1222047	0.27112004
1222048	0.22785056
1222049	0.22785056
1222050	0.22383323
1222051	0.26970214
1239438	0.14486392
1239439	0.1391306
1239567	0.50687206
1239568	0.14605376
1239569	0.1312813
1244521	0.9762937
1244522	0.9855332
1244525	0.9890617
1254425	0.12474099
1285463	0.116177686
1293419	0.17406324
1293420	0.2684521
1301280	0.17789318
1303386	0.22838466
1312874	0.20651233
1329782	0.14867996
1330066	0.15690282
1330068	0.17832066
1330521	0.13979991
1330993	0.14668077
1402035	0.2769989
1408279	0.19813101
1417603	0.24702397
1417604	0.2826421
1417605	0.19930315
1417606	0.19930315
1417607	0.19930315
1417608	0.2826421
1417609	0.19930315
1417610	0.24702397
1417611	0.19930315
1417612	0.2826421
1417613	0.19930315
1417614	0.19930315
1417615	0.19930315
1417616	0.2826421
1417617	0.19930315
1417618	0.19930315
1417619	0.2826421
1428481	0.46533623
1432857	0.15946944
1437125	0.3120627
1465751	0.17779455
1508710	0.3852416
1508712	0.23431274
1511894	0.5851651
1513248	0.35103837
1521109	0.30674842
1523264	0.2602916
1523265	0.2531611
1523266	0.24874528
1523268	0.2199237
1523273	0.26245448
1523276	0.34916022
1523277	0.2998766
1523278	0.17944004
1523281	0.15534115
1523282	0.18992783
1523285	0.21474478
1523287	0.2302898
1523288	0.28812504
1523289	0.27492496
1525174	0.2218704
1525176	0.24384303
1525177	0.2899924
1525178	0.2654744
1525179	0.31829214
1525180	0.29636177
1530251	0.26930392
1534553	0.1687808
1548417	0.17702366
1569923	0.14731528
1602211	0.12606281
1608040	0.28580594
1609130	0.12626784
1609131	0.28398526
1615798	0.28054395
1631191	0.22364907
1631192	0.21816395
1678146	0.3242212
1679172	0.18653862
1682185	0.19439706
1712394	0.2269348
1714296	0.15568773
1714297	0.13491596
1714298	0.1530316
1714360	0.22068454
1714361	0.17206496
1803959	0.12673838
1803960	0.21473877
1803961	0.19115011
1884453	0.16307147
1891730	0.27363122
1891750	0.33795837
1891754	0.3721316
1899067	0.29781213
1899068	0.21184197
1899069	0.29781216
1899070	0.29781216
1899071	0.29781213
1899072	0.19479941
1899073	0.29781213
1899074	0.16788793
1899075	0.18267627
1899076	0.20811628
1899077	0.16788793
1899078	0.17283212
1899079	0.14213882
1899080	0.29781216
1899081	0.29781216
1899082	0.29022253
1899083	0.16762064
1899084	0.29781216
1899085	0.16762067
1899086	0.16762066
1903319	0.15578736
1904886	0.28513098
1904888	0.30088624
1906931	0.67870116
1907787	0.15795742
1912147	0.13830732
1914549	0.22292976
1914575	0.15582141
1914576	0.16705838
1922835	0.15740752
1923094	0.21378201
1923116	0.23077574
1923133	0.19257371
1933176	0.14854383
1933263	0.11386105
1955201	0.2899817
1964822	0.1507343
1967472	0.11420669
1972587	0.3215312
1986019	0.19477102
1986021	0.187593
1986118	0.20364541
1987124	0.17391123
1993631	0.2254767
2044876	0.3335311
2053898	0.14147757
2081950	0.21714899
2093788	0.85884273
2093789	0.22231542
2094719	0.23371121
2152919	0.15266798
2169479	0.19171816
2184749	0.1444723
2219046	0.20077534
2219047	0.2147369
2219048	0.15273282
2219052	0.18911928
2219053	0.15086125
2219997	0.1683642
2231327	0.14898342
2269360	0.120041974
2364099	0.10931903
2448649	0.1587135
2497865	0.20248578
2497866	0.3169052
2497867	0.2198865
