vfam	count_pred	num_pos	num_neg	num_ictv
Picornaviridae	198	29	60	159
Hantaviridae	45	13	20	55
Adenoviridae	40	15	14	125
Circoviridae	35	22	2	160
Orthoherpesviridae	29	24	38	118
Sedoreoviridae	25	10	26	45
Caliciviridae	25	7	4	12
Astroviridae	22	7	8	22
Poxviridae	16	12	14	56
Peribunyaviridae	16	32	24	152
Flaviviridae	15	68	47	97
Phenuiviridae	8	28	15	159
Papillomaviridae	8	53	15	133
Dicistroviridae	6	0	0	16
Parvoviridae	6	19	8	243
Picobirnaviridae	6	2	1	3
Iridoviridae	6	0	0	22
Alloherpesviridae	4	0	0	13
Anelloviridae	4	61	0	243
Nudiviridae	4	0	0	13
Hepadnaviridae	4	2	2	27
Coronaviridae	4	7	23	54
Genomoviridae	4	10	0	237
Polydnaviriformidae	3	0	0	53
Rhabdoviridae	3	30	95	580
Polyomaviridae	3	15	4	122
Arenaviridae	3	11	24	71
Retroviridae	3	19	25	65
Nairoviridae	3	9	8	60
Pneumoviridae	2	6	3	5
Spinareoviridae	2	7	25	58
Tobaniviridae	2	1	8	22
Nodaviridae	2	0	0	9
Iflaviridae	2	0	0	16
Hepeviridae	2	1	4	10
Ascoviridae	2	0	0	4
Arteriviridae	2	0	17	23
Paramyxoviridae	1	28	36	153
Nyamiviridae	1	0	0	29
Nimaviridae	1	0	0	1
Mesoniviridae	1	1	0	14
Filoviridae	1	11	1	17
Smacoviridae	1	10	0	143
Solinviviridae	1	0	0	2
Sunviridae	1	0	1	1
Noraviridae	1	0	0	1
