,A,C,D,E,F,G,H,I,K,L,M,N,P,Q,R,S,T,U,V,W,X,Y,risk_label
hpv10,153,74,151,130,93,171,53,107,98,208,39,72,143,103,149,183,171,0,169,37,0,96,0
hpv102,161,66,138,125,89,154,56,99,108,181,44,71,133,104,123,169,175,0,167,35,0,90,0
hpv106,170,66,139,110,88,161,55,109,103,194,43,65,152,109,129,148,186,0,156,40,0,95,0
hpv114,146,64,136,121,81,154,56,91,102,179,45,75,150,102,123,168,168,0,154,36,0,90,0
hpv125,152,61,138,123,80,161,54,93,98,194,40,75,146,110,126,165,174,0,175,32,0,89,0
hpv13,141,71,122,120,92,132,65,121,133,195,45,95,137,109,102,187,183,0,157,34,0,82,0
hpv16,124,69,134,106,80,133,59,126,128,184,42,108,133,95,99,170,200,0,130,28,0,100,1
hpv18,136,63,143,106,98,148,59,114,113,175,38,99,139,100,117,174,196,0,144,35,0,88,1
hpv2,153,57,141,128,94,166,59,94,107,199,50,76,164,93,130,176,174,0,173,39,0,84,0
hpv27,155,60,139,129,85,166,57,93,111,196,48,88,159,96,138,164,182,0,174,37,0,93,0
hpv27b,155,60,139,129,85,166,57,93,111,196,48,88,159,96,138,164,182,0,174,37,0,93,0
hpv3,156,84,153,124,96,164,55,109,112,217,49,79,146,118,141,177,185,0,186,37,0,94,0
hpv39,130,66,143,106,80,133,50,112,114,170,44,102,129,99,116,173,209,0,141,34,0,102,1
hpv43,133,57,124,116,89,135,66,116,130,168,50,85,126,93,112,180,187,0,152,35,0,88,0
hpv53,116,70,127,115,86,126,57,120,126,157,44,95,131,118,113,177,177,0,159,37,0,92,1
hpv54,150,63,133,111,84,134,60,111,109,179,51,92,151,109,124,162,168,0,142,35,0,87,0
hpv57,168,63,145,128,87,167,62,98,116,189,50,84,157,110,135,168,184,0,180,39,0,93,0
hpv57c,163,59,138,127,85,161,51,100,111,188,48,75,154,98,127,164,166,0,165,41,0,88,0
hpv59,132,71,142,105,98,126,63,122,126,180,41,115,139,97,122,178,196,0,165,35,0,88,1
hpv6,144,65,124,127,90,143,79,125,123,180,55,101,146,102,103,175,188,0,162,35,0,85,0
hpv62,154,64,139,122,86,150,61,107,108,189,43,68,144,105,125,167,183,0,171,36,0,89,1
hpv67,116,73,127,117,92,123,49,124,134,162,46,101,141,105,111,187,191,0,147,29,0,81,0
hpv68,124,69,146,103,83,128,58,117,117,168,44,105,137,95,113,167,204,0,144,35,0,91,1
hpv68a,125,69,150,99,83,129,57,110,116,172,47,103,133,98,115,160,209,0,149,34,0,90,1
hpv68b,126,66,145,104,82,130,57,117,118,170,44,107,136,94,113,165,205,0,143,35,0,91,1
hpv69,128,77,125,112,89,131,48,130,119,168,37,92,133,110,109,183,189,0,136,31,0,91,1
hpv6b,141,66,125,124,96,143,79,129,123,194,54,95,145,104,102,175,193,0,173,37,0,89,0
hpv72b,155,57,123,121,77,149,56,96,101,163,41,72,145,107,128,167,158,0,146,40,0,87,0
hpv81,187,82,133,126,95,149,70,107,107,196,49,75,156,105,120,163,172,0,182,42,0,96,0
hpv82,143,67,127,114,93,137,53,124,124,161,49,107,140,116,115,176,195,0,150,32,0,95,1
hpv83,168,66,139,127,80,156,72,101,114,193,47,75,149,119,130,178,188,0,177,39,0,94,0
hpv84,161,67,140,122,88,171,74,100,118,204,49,85,155,115,147,168,193,0,161,41,0,94,0
hpv86,145,57,137,120,82,158,59,85,107,187,44,72,147,108,124,181,159,0,161,37,0,81,0
hpv87,139,61,135,118,80,146,57,89,113,187,48,77,142,103,133,170,175,0,160,35,0,91,0
hpv90,158,57,137,106,83,163,51,91,100,192,43,70,149,104,124,156,175,0,163,38,0,87,0
hpv94,164,70,151,129,89,167,53,97,105,200,39,77,147,94,149,170,166,0,173,38,0,88,0
hpv97,125,67,130,107,95,137,58,121,122,181,42,109,133,102,108,186,195,0,139,35,0,101,1
hpvxs2,152,80,150,131,97,175,51,117,113,205,45,70,147,106,154,175,187,0,182,42,0,97,0
