hpv69_AB027020.1_5	hpv69_AB027020.1_5
hpv81_AJ620209.1_4	hpv81_AJ620209.1_4
hpv69_AB027020.1_2	hpv69_AB027020.1_2
hpvxs2_KC138720.1_5	hpvxs2_KC138720.1_5
hpv43_AJ620205.1_3	hpv43_AJ620205.1_3
hpv83_AF151983.1_7	hpv83_AF151983.1_7
hpv13_X62843.1_2	hpv13_X62843.1_2
hpv125_FN547152.2_1	hpv125_FN547152.2_1
hpv27b_AB211993.1_7	hpv27b_AB211993.1_7
hpv27b_AB211993.1_7	hpv27_AB211993.1_7
hpv81_AJ620209.1_3	hpv81_AJ620209.1_3
hpv81_AJ620209.1_3	hpv62_AY395706.1_3
hpv81_AJ620209.1_3	hpv72b_KJ145795.1_2
hpv27b_AB211993.1_2	hpv27b_AB211993.1_2
hpv27b_AB211993.1_2	hpv57c_AB361563.1_2
hpv27b_AB211993.1_2	hpv27_AB211993.1_2
hpv27b_AB211993.1_2	hpv57_X55965.1_2
hpv27b_AB211993.1_2	hpv2_EF117890.1_2
hpv18_NC_001357.1_5	hpv18_NC_001357.1_5
hpv10_NC_001576.1_2	hpv10_NC_001576.1_2
hpv10_NC_001576.1_2	hpv3_X74462.1_2
hpv10_NC_001576.1_2	hpvxs2_KC138720.1_2
hpv10_NC_001576.1_2	hpv94_AJ620211.1_2
hpv6b_NC_001355.1_2	hpv6b_NC_001355.1_2
hpv6b_NC_001355.1_2	hpv6_FR751330.1_2
hpv6b_NC_001355.1_6	hpv6b_NC_001355.1_6
hpv82_AB027021.1_6	hpv82_AB027021.1_6
hpv27_AB211993.1_1	hpv27_AB211993.1_1
hpv27_AB211993.1_1	hpv57c_AB361563.1_1
hpv27_AB211993.1_1	hpv2_EF117890.1_1
hpv27_AB211993.1_1	hpv27b_AB211993.1_1
hpv27_AB211993.1_1	hpv57_X55965.1_1
hpv84_AF293960.1_7	hpv84_AF293960.1_7
hpv6b_NC_001355.1_4	hpv6b_NC_001355.1_4
hpv6b_NC_001355.1_4	hpv6_FR751330.1_4
hpv16_NC_001526.4_2	hpv16_NC_001526.4_2
hpv27b_AB211993.1_3	hpv27b_AB211993.1_3
hpv27b_AB211993.1_3	hpv2_EF117890.1_3
hpv27b_AB211993.1_3	hpv57c_AB361563.1_3
hpv27b_AB211993.1_3	hpv57_X55965.1_3
hpv27b_AB211993.1_3	hpv27_AB211993.1_3
hpv10_NC_001576.1_3	hpv10_NC_001576.1_3
hpv10_NC_001576.1_3	hpv3_X74462.1_3
hpv10_NC_001576.1_3	hpv125_FN547152.2_2
hpv10_NC_001576.1_3	hpvxs2_KC138720.1_3
hpv10_NC_001576.1_3	hpv94_AJ620211.1_3
hpv72b_KJ145795.1_1	hpv72b_KJ145795.1_1
hpv2_EF117890.1_4	hpv2_EF117890.1_4
hpv2_EF117890.1_4	hpv57_X55965.1_4
hpv2_EF117890.1_4	hpv57c_AB361563.1_4
hpv2_EF117890.1_4	hpv27b_AB211993.1_4
hpv2_EF117890.1_4	hpv27_AB211993.1_4
hpv57_X55965.1_6	hpv57_X55965.1_6
hpv57_X55965.1_6	hpv57c_AB361563.1_6
hpv57_X55965.1_6	hpv2_EF117890.1_6
hpv57_X55965.1_6	hpv27_AB211993.1_6
hpv57_X55965.1_6	hpv27b_AB211993.1_6
hpv72b_KJ145795.1_5	hpv72b_KJ145795.1_5
hpv72b_KJ145795.1_5	hpv84_AF293960.1_6
hpv72b_KJ145795.1_5	hpv86_AF349909.1_6
hpv72b_KJ145795.1_5	hpv114_GQ244463.1_6
hpv72b_KJ145795.1_5	hpv87_AJ400628.2_6
hpv72b_KJ145795.1_5	hpv81_AJ620209.1_7
hpv72b_KJ145795.1_5	hpv62_AY395706.1_6
hpv72b_KJ145795.1_5	hpv83_AF151983.1_6
hpv72b_KJ145795.1_5	hpv102_DQ080083.1_7
hpv18_NC_001357.1_1	hpv18_NC_001357.1_1
hpv97_DQ080080.1_5	hpv97_DQ080080.1_5
hpv97_DQ080080.1_5	hpv18_NC_001357.1_7
hpv54_NC_001676.1_5	hpv54_NC_001676.1_5
hpv53_NC_001593.1_3	hpv53_NC_001593.1_3
hpv69_AB027020.1_1	hpv69_AB027020.1_1
hpv6b_NC_001355.1_5	hpv6b_NC_001355.1_5
hpv84_AF293960.1_8	hpv84_AF293960.1_8
hpv68b_FR751039.1_3	hpv68b_FR751039.1_3
hpv68b_FR751039.1_3	hpv68a_DQ080079.1_3
hpv68b_FR751039.1_3	hpv68_KC470281.1_3
hpv68b_FR751039.1_3	hpv39_KC470236.1_3
hpv3_X74462.1_5	hpv3_X74462.1_5
hpv82_AB027021.1_1	hpv82_AB027021.1_1
hpv62_AY395706.1_2	hpv62_AY395706.1_2
hpv62_AY395706.1_2	hpv81_AJ620209.1_2
hpv53_NC_001593.1_8	hpv53_NC_001593.1_8
hpv106_DQ080082.1_4	hpv106_DQ080082.1_4
hpv39_KC470236.1_2	hpv39_KC470236.1_2
hpv39_KC470236.1_2	hpv68_KC470281.1_2
hpv39_KC470236.1_2	hpv68b_FR751039.1_2
hpv39_KC470236.1_2	hpv68a_DQ080079.1_2
hpv81_AJ620209.1_8	hpv81_AJ620209.1_8
hpv67_D21208.1_7	hpv67_D21208.1_7
hpv67_D21208.1_7	hpv16_NC_001526.4_4
hpv54_NC_001676.1_2	hpv54_NC_001676.1_2
hpv59_X77858.1_3	hpv59_X77858.1_3
hpv68b_FR751039.1_4	hpv68b_FR751039.1_4
hpv68b_FR751039.1_4	hpv68a_DQ080079.1_4
hpv68b_FR751039.1_4	hpv39_KC470236.1_4
hpv68b_FR751039.1_4	hpv68_KC470281.1_4
hpv86_AF349909.1_1	hpv86_AF349909.1_1
hpv86_AF349909.1_1	hpv87_AJ400628.2_1
hpv114_GQ244463.1_3	hpv114_GQ244463.1_3
hpv114_GQ244463.1_3	hpv84_AF293960.1_3
hpv114_GQ244463.1_3	hpv87_AJ400628.2_3
hpv114_GQ244463.1_3	hpv86_AF349909.1_3
hpv6_FR751330.1_5	hpv6_FR751330.1_5
hpv57c_AB361563.1_7	hpv57c_AB361563.1_7
hpv13_X62843.1_4	hpv13_X62843.1_4
hpv69_AB027020.1_6	hpv69_AB027020.1_6
hpv59_X77858.1_6	hpv59_X77858.1_6
hpv18_NC_001357.1_3	hpv18_NC_001357.1_3
hpv68_KC470281.1_5	hpv68_KC470281.1_5
hpv68_KC470281.1_5	hpv68a_DQ080079.1_5
hpv68_KC470281.1_5	hpv68b_FR751039.1_5
hpv68_KC470281.1_5	hpv39_KC470236.1_5
hpv114_GQ244463.1_1	hpv114_GQ244463.1_1
hpv114_GQ244463.1_1	hpv84_AF293960.1_1
hpv97_DQ080080.1_2	hpv97_DQ080080.1_2
hpv82_AB027021.1_3	hpv82_AB027021.1_3
hpv57_X55965.1_8	hpv57_X55965.1_8
hpv53_NC_001593.1_5	hpv53_NC_001593.1_5
hpv16_NC_001526.4_6	hpv16_NC_001526.4_6
hpv43_AJ620205.1_1	hpv43_AJ620205.1_1
hpv67_D21208.1_6	hpv67_D21208.1_6
hpv18_NC_001357.1_4	hpv18_NC_001357.1_4
hpv18_NC_001357.1_4	hpv97_DQ080080.1_3
hpv13_X62843.1_7	hpv13_X62843.1_7
hpv13_X62843.1_7	hpv6_FR751330.1_7
hpv13_X62843.1_7	hpv6b_NC_001355.1_8
hpv59_X77858.1_8	hpv59_X77858.1_8
hpv72b_KJ145795.1_3	hpv72b_KJ145795.1_3
hpv27_AB211993.1_5	hpv27_AB211993.1_5
hpv27_AB211993.1_5	hpv2_EF117890.1_5
hpv27_AB211993.1_5	hpv27b_AB211993.1_5
hpv27_AB211993.1_5	hpv57_X55965.1_5
hpv27_AB211993.1_5	hpv57c_AB361563.1_5
hpv82_AB027021.1_8	hpv82_AB027021.1_8
hpv83_AF151983.1_1	hpv83_AF151983.1_1
hpv83_AF151983.1_1	hpv102_DQ080083.1_1
hpvxs2_KC138720.1_8	hpvxs2_KC138720.1_8
hpv53_NC_001593.1_1	hpv53_NC_001593.1_1
hpv67_D21208.1_4	hpv67_D21208.1_4
hpv13_X62843.1_1	hpv13_X62843.1_1
hpv16_NC_001526.4_5	hpv16_NC_001526.4_5
hpv94_AJ620211.1_5	hpv94_AJ620211.1_5
hpv94_AJ620211.1_5	hpv10_NC_001576.1_5
hpv94_AJ620211.1_5	hpv125_FN547152.2_4
hpv81_AJ620209.1_5	hpv81_AJ620209.1_5
hpv69_AB027020.1_4	hpv69_AB027020.1_4
hpv59_X77858.1_2	hpv59_X77858.1_2
hpv59_X77858.1_5	hpv59_X77858.1_5
hpv3_X74462.1_8	hpv3_X74462.1_8
hpv3_X74462.1_8	hpv10_NC_001576.1_7
hpv3_X74462.1_8	hpv125_FN547152.2_6
hpv3_X74462.1_8	hpvxs2_KC138720.1_7
hpv3_X74462.1_8	hpv94_AJ620211.1_7
hpv43_AJ620205.1_7	hpv43_AJ620205.1_7
hpv67_D21208.1_1	hpv67_D21208.1_1
hpv27b_AB211993.1_8	hpv27b_AB211993.1_8
hpv27b_AB211993.1_8	hpv27_AB211993.1_8
hpv27b_AB211993.1_8	hpv2_EF117890.1_7
hpv16_NC_001526.4_1	hpv16_NC_001526.4_1
hpv3_X74462.1_9	hpv3_X74462.1_9
hpv90_NC_004104.1_1	hpv90_NC_004104.1_1
hpv90_NC_004104.1_1	hpv106_DQ080082.1_1
hpv53_NC_001593.1_4	hpv53_NC_001593.1_4
hpv54_NC_001676.1_1	hpv54_NC_001676.1_1
hpv82_AB027021.1_2	hpv82_AB027021.1_2
hpv6_FR751330.1_1	hpv6_FR751330.1_1
hpv6_FR751330.1_1	hpv6b_NC_001355.1_1
hpv97_DQ080080.1_4	hpv97_DQ080080.1_4
hpv102_DQ080083.1_2	hpv102_DQ080083.1_2
hpv102_DQ080083.1_2	hpv83_AF151983.1_2
hpv102_DQ080083.1_3	hpv102_DQ080083.1_3
hpv102_DQ080083.1_3	hpv83_AF151983.1_3
hpv53_NC_001593.1_7	hpv53_NC_001593.1_7
hpv81_AJ620209.1_6	hpv81_AJ620209.1_6
hpv81_AJ620209.1_6	hpv62_AY395706.1_5
hpv59_X77858.1_1	hpv59_X77858.1_1
hpv68_KC470281.1_1	hpv68_KC470281.1_1
hpv68_KC470281.1_1	hpv68b_FR751039.1_1
hpv68_KC470281.1_1	hpv39_KC470236.1_1
hpv68_KC470281.1_1	hpv68a_DQ080079.1_1
hpv90_NC_004104.1_3	hpv90_NC_004104.1_3
